factor,compared_rows,changed_rows,max_absolute_difference,mean_absolute_difference,v1_missing_v2_present,v1_present_v2_missing
alpha158_KLOW,1273,422,0.0002948139160034377,1.0166038106531892e-05,0,0
alpha158_KLOW2,1273,422,9.484542345919618e-05,5.376734145213721e-06,0,0
alpha158_KMID,1273,422,0.00016525650987820467,6.715056003355894e-06,0,0
alpha158_KMID2,1273,422,0.0001823627364651026,7.275696937992958e-06,0,0
alpha158_KSFT,1273,422,0.00012885275715328326,6.3417839782091105e-06,0,0
alpha158_KSFT2,1273,422,0.0001368978251589381,6.745655599251546e-06,0,0
alpha158_KUP,1273,422,0.000367763931518425,1.1921917747555245e-05,0,0
alpha158_KUP2,1273,422,0.00013321842239936814,5.710640702839606e-06,0,0
alpha158_LOW0,1273,422,0.000375317009235699,1.303513932593361e-05,0,0
alpha158_MA10,1273,422,0.00022706152959498654,9.086654781127292e-06,0,0
alpha158_MA20,1273,422,0.0002936021496597156,1.1323540219243925e-05,0,0
alpha158_MA30,1273,422,0.0003439529362403819,1.2660431523399603e-05,0,0
alpha158_MA5,1273,422,0.0001601737317083428,7.706217181945974e-06,0,0
alpha158_MA60,1273,422,0.0003582275745532826,1.4425117551833945e-05,0,0
alpha158_MAX10,1273,422,0.00020670033260022924,8.663709381151998e-06,0,0
alpha158_MAX20,1273,422,0.0001721165314635953,7.5246823613261754e-06,0,0
alpha158_MAX30,1273,422,0.00016848981430139798,7.193529892559126e-06,0,0
alpha158_MAX5,1273,422,0.0002829957138703494,9.920007821049855e-06,0,0
alpha158_MAX60,1273,422,0.000130090324127502,6.7759922646202855e-06,0,0
alpha158_MIN10,1273,422,0.00041734600295263713,1.7090018100612894e-05,0,0
alpha158_MIN20,1273,422,0.0005236820379370122,1.883028310731011e-05,0,0
alpha158_MIN30,1273,422,0.0005214500271161595,1.963594492446337e-05,0,0
alpha158_MIN5,1273,422,0.00031381371300634106,1.554519755685837e-05,0,0
alpha158_MIN60,1273,422,0.0005490613514253506,2.091172822523814e-05,0,0
alpha158_OPEN0,1273,422,0.00016524863294320458,6.715063739763029e-06,0,0
alpha158_QTLD10,1273,422,0.0002607070707361797,1.1683090526965588e-05,0,0
alpha158_QTLD20,1273,422,0.0003692757999607388,1.4227662748115275e-05,0,0
alpha158_QTLD30,1273,422,0.00041074827388970503,1.5459931426288727e-05,0,0
alpha158_QTLD5,1273,422,0.00014427159809593526,9.829850983584405e-06,0,0
alpha158_QTLD60,1273,422,0.00045548051493649044,1.744352436309824e-05,0,0
alpha158_QTLU10,1273,422,0.00018106578368593668,6.748986153582527e-06,0,0
alpha158_QTLU20,1273,422,0.0002339041930713437,8.118396224601315e-06,0,0
alpha158_QTLU30,1273,422,0.0002600647775519403,9.206909421655926e-06,0,0
alpha158_QTLU5,1273,422,0.0001695301065558017,6.194905912747281e-06,0,0
alpha158_QTLU60,1273,422,0.00030547088536458933,1.0960000537206503e-05,0,0
alpha158_RANK10,1273,422,0.0001891671790778468,8.789417088579998e-06,0,0
alpha158_RANK20,1273,422,0.00029184203519312495,1.0556475267889472e-05,0,0
alpha158_RANK30,1273,422,0.00033333797454672756,1.183481399878259e-05,0,0
alpha158_RANK60,1273,422,0.00037472865905555097,1.4295291659963082e-05,0,0
alpha158_RESI10,1273,513,0.00018101709371005914,7.635982233121946e-06,0,0
alpha158_RESI20,1273,426,0.0001986982964591183,6.4618062349601e-06,0,0
alpha158_RESI30,1273,426,0.00011651935690541043,6.84500292236663e-06,0,0
alpha158_RESI5,1273,588,0.00015059069622223864,9.055387372100853e-06,0,0
alpha158_RESI60,1273,422,0.0002767360946456937,8.176012513681212e-06,0,0
alpha158_ROC10,1273,1137,0.00041721107401414097,4.357762365016932e-05,0,0
alpha158_ROC20,1273,1136,0.00044076652450888987,5.0491420073215065e-05,0,0
alpha158_ROC30,1273,1147,0.0005906047636594636,5.4941229686666294e-05,0,0
alpha158_ROC5,1273,1023,0.0002542008072346502,2.767169073321524e-05,0,0
alpha158_ROC60,1273,1155,0.0004458899083517598,5.767600442903358e-05,0,0
alpha158_RSQR10,1273,272,0.0001080512550506868,3.6390702143398438e-06,0,0
alpha158_RSQR20,1273,15,9.673499871902871e-05,2.744878466981149e-07,0,0
alpha158_RSQR30,1273,13,3.44868671085935e-05,1.6032014936257966e-07,0,0
alpha158_RSQR5,1273,544,0.00010766597131630154,6.9659869283187155e-06,0,0
alpha158_RSQR60,1273,0,1.6653345369377348e-16,4.523858050801391e-17,0,0
alpha158_RSV10,1273,422,0.00025482605668378233,9.039607626536473e-06,0,0
alpha158_RSV20,1273,422,0.0003271355891064538,1.0860906643882049e-05,0,0
alpha158_RSV30,1273,422,0.0003817610901118776,1.2134008392072562e-05,0,0
alpha158_RSV5,1273,422,0.0001543473025551051,7.81427852307046e-06,0,0
alpha158_RSV60,1273,422,0.0003618446679029691,1.4145919900404756e-05,0,0
alpha158_STD10,1273,513,0.000498202817538148,2.1731702356355895e-05,0,0
alpha158_STD20,1273,426,0.0006607509552286617,1.80476406403355e-05,0,0
alpha158_STD30,1273,426,0.0006611365687265169,1.7116281145021516e-05,0,0
alpha158_STD5,1273,588,0.0004508396161034796,2.422167253722575e-05,0,0
alpha158_STD60,1273,422,0.0004841659344722721,1.5447508967222693e-05,0,0
alpha158_SUMD10,1273,258,0.00018232393382358603,5.695449036434975e-06,0,0
alpha158_SUMD20,1273,15,0.00022146941527498298,5.150615007065601e-07,0,0
alpha158_SUMD30,1273,12,6.435464545773151e-05,1.96065099513309e-07,0,0
alpha158_SUMD5,1273,456,0.00016139126585593827,8.959361885088294e-06,0,0
alpha158_SUMD60,1273,0,1.6653345369377348e-16,4.4162480042649983e-17,0,0
alpha158_SUMN10,1273,258,0.00018232287823136822,5.6954533988273704e-06,0,0
alpha158_SUMN20,1273,15,0.00022147014068384097,5.150619241043293e-07,0,0
alpha158_SUMN30,1273,12,6.435464545773151e-05,1.9606519489279008e-07,0,0
alpha158_SUMN5,1273,456,0.00016139066725373574,8.956160639537425e-06,0,0
alpha158_SUMN60,1273,0,2.220446049250313e-16,4.667021922703383e-17,0,0
alpha158_SUMP10,1273,258,0.00018232404745843755,5.695455163966147e-06,0,0
alpha158_SUMP20,1273,15,0.00022147002029675178,5.150626891194023e-07,0,0
alpha158_SUMP30,1273,12,6.435419147494958e-05,1.9606496201826322e-07,0,0
alpha158_SUMP5,1273,456,0.00016139066725373574,8.962063072126926e-06,0,0
alpha158_SUMP60,1273,0,2.220446049250313e-16,4.609909678256056e-17,0,0
alpha158_VMA10,1273,422,0.00013141700863830708,6.002056461392946e-06,0,0
alpha158_VMA20,1273,422,0.00013305868711429615,7.119938042376296e-06,0,0
alpha158_VMA30,1273,422,0.00014512953891267916,7.939592581213082e-06,0,0
alpha158_VMA5,1273,422,0.00012947900836238202,5.463062589827856e-06,0,0
alpha158_VMA60,1273,422,0.0001795320882762852,1.0093161942367041e-05,0,0
alpha158_VSTD10,1273,513,0.00010889314150981308,6.8544254284850605e-06,0,0
alpha158_VSTD20,1273,426,0.00010946757471897144,6.0883495802637555e-06,0,0
alpha158_VSTD30,1273,426,0.00014123314934941754,7.190646608856211e-06,0,0
alpha158_VSTD5,1273,588,0.00012503083040282803,7.331507825450199e-06,0,0
alpha158_VSTD60,1273,422,0.0001871763996347392,1.0221656382120029e-05,0,0
alpha158_VSUMD10,1273,258,9.495243271195539e-05,3.95186194065813e-06,0,0
alpha158_VSUMD20,1273,15,8.266978344913245e-05,2.3965239344442564e-07,0,0
alpha158_VSUMD30,1273,12,3.271820870728165e-05,8.220853544652524e-08,0,0
alpha158_VSUMD5,1273,456,8.842755829364946e-05,5.614485484607603e-06,0,0
alpha158_VSUMD60,1273,0,1.3877787807814457e-16,4.5445490762067315e-17,0,0
alpha158_VSUMN10,1273,258,9.495243271195539e-05,3.951862965370029e-06,0,0
alpha158_VSUMN20,1273,15,8.266972820630825e-05,2.396531311781968e-07,0,0
alpha158_VSUMN30,1273,12,3.271824374066756e-05,8.220880133765393e-08,0,0
alpha158_VSUMN5,1273,456,8.842755829364946e-05,5.614488975816784e-06,0,0
alpha158_VSUMN60,1273,0,1.6653345369377348e-16,4.546376218762238e-17,0,0
alpha158_VSUMP10,1273,258,9.495243271195539e-05,3.95185962995019e-06,0,0
alpha158_VSUMP20,1273,15,8.266996241412805e-05,2.396535214192963e-07,0,0
alpha158_VSUMP30,1273,12,3.271820870728165e-05,8.220763458809676e-08,0,0
alpha158_VSUMP5,1273,456,8.842755829364946e-05,5.614487379587404e-06,0,0
alpha158_VSUMP60,1273,0,1.6653345369377348e-16,4.772414645914221e-17,0,0
alpha158_VWAP0,1273,422,0.00011249649701304543,6.112573533303603e-06,0,0
alpha158_WVMA10,1273,396,0.00010069520788532488,4.2637757309476185e-06,0,0
alpha158_WVMA20,1273,21,9.538309634456003e-05,2.760708915297853e-07,0,0
alpha158_WVMA30,1273,18,3.4555410659997676e-05,1.6085996494806294e-07,0,0
alpha158_WVMA5,1273,642,0.00011908056532248211,6.519208120000521e-06,0,0
alpha158_WVMA60,1273,0,1.249000902703301e-16,4.530191435251623e-17,0,0
alpha360_CLOSE1,1273,676,0.00020245308617488494,1.160167148790923e-05,0,0
alpha360_CLOSE10,1273,1137,0.00041721107401414097,4.357762365016932e-05,0,0
alpha360_CLOSE11,1273,1140,0.0003956186141835169,4.50351655483398e-05,0,0
alpha360_CLOSE12,1273,1135,0.00043925988360084614,4.551980851469978e-05,0,0
alpha360_CLOSE13,1273,1128,0.0005157288984337649,4.563024604788538e-05,0,0
alpha360_CLOSE14,1273,1132,0.0006065412292248634,4.570802773979159e-05,0,0
alpha360_CLOSE15,1273,1136,0.0004183613672589029,4.633347946587199e-05,0,0
alpha360_CLOSE16,1273,1131,0.000493928062807257,4.735046057775091e-05,0,0
alpha360_CLOSE17,1273,1131,0.0004856840067946691,4.6430034097424524e-05,0,0
alpha360_CLOSE18,1273,1138,0.0005178681082575881,4.772089981755587e-05,0,0
alpha360_CLOSE19,1273,1139,0.0005072321956084008,4.833138386987904e-05,0,0
alpha360_CLOSE2,1273,802,0.00035396881169297983,1.642509048345794e-05,0,0
alpha360_CLOSE20,1273,1136,0.00044076652450888987,5.0491420073215065e-05,0,0
alpha360_CLOSE21,1273,1137,0.0005132937968423124,5.1021277296225876e-05,0,0
alpha360_CLOSE22,1273,1138,0.0005201672533762108,5.156682663320391e-05,0,0
alpha360_CLOSE23,1273,1142,0.0005100272019016444,5.297203522467621e-05,0,0
alpha360_CLOSE24,1273,1143,0.0005455516673446015,5.42901099174133e-05,0,0
alpha360_CLOSE25,1273,1137,0.0005785918191704327,5.58918177178211e-05,0,0
alpha360_CLOSE26,1273,1139,0.0005399700149015252,5.575368266684039e-05,0,0
alpha360_CLOSE27,1273,1140,0.0006527769961527097,5.528364609235188e-05,0,0
alpha360_CLOSE28,1273,1137,0.0006457182805166412,5.489413618060044e-05,0,0
alpha360_CLOSE29,1273,1139,0.0005241829160236161,5.513581815156759e-05,0,0
alpha360_CLOSE3,1273,903,0.00036528954679966585,1.9787016395318197e-05,0,0
alpha360_CLOSE30,1273,1147,0.0005906047636594636,5.4941229686666294e-05,0,0
alpha360_CLOSE31,1273,1158,0.0005975382160824903,5.511184687824692e-05,0,0
alpha360_CLOSE32,1273,1158,0.00044764819282483437,5.409332381971314e-05,0,0
alpha360_CLOSE33,1273,1149,0.00044787991533547233,5.353358657415278e-05,0,0
alpha360_CLOSE34,1273,1140,0.0004914751265774203,5.3576498527843054e-05,0,0
alpha360_CLOSE35,1273,1144,0.00047118978860183694,5.3222391429785963e-05,0,0
alpha360_CLOSE36,1273,1148,0.0005023712217192174,5.375153786083302e-05,0,0
alpha360_CLOSE37,1273,1149,0.0004218972695947537,5.361176592974141e-05,0,0
alpha360_CLOSE38,1273,1150,0.0004732405492439834,5.4436576031932296e-05,0,0
alpha360_CLOSE39,1273,1151,0.0004576822881953782,5.4097222711711724e-05,0,0
alpha360_CLOSE4,1273,967,0.00021593139920645515,2.382184835362093e-05,0,0
alpha360_CLOSE40,1273,1150,0.0004599066513490263,5.3850064207011e-05,0,0
alpha360_CLOSE41,1273,1152,0.00042311584043587536,5.360523656847029e-05,0,0
alpha360_CLOSE42,1273,1152,0.00037309502430490915,5.379691156158264e-05,0,0
alpha360_CLOSE43,1273,1157,0.0005639479795886415,5.404108806426487e-05,0,0
alpha360_CLOSE44,1273,1156,0.000420271707365652,5.4064877726446466e-05,0,0
alpha360_CLOSE45,1273,1153,0.0005190020053214006,5.3482544845237104e-05,0,0
alpha360_CLOSE46,1273,1153,0.0004814184053207604,5.438153778558169e-05,0,0
alpha360_CLOSE47,1273,1154,0.00045812030228140066,5.4803255998755245e-05,0,0
alpha360_CLOSE48,1273,1154,0.00046919531507605416,5.516149752638441e-05,0,0
alpha360_CLOSE49,1273,1147,0.0004863183766399687,5.582881464045691e-05,0,0
alpha360_CLOSE5,1273,1023,0.0002542008072346502,2.767169073321524e-05,0,0
alpha360_CLOSE50,1273,1157,0.00043834863758942556,5.746804800212463e-05,0,0
alpha360_CLOSE51,1273,1160,0.0004599071698998536,5.847224985154492e-05,0,0
alpha360_CLOSE52,1273,1157,0.000594784285292374,5.896373034234087e-05,0,0
alpha360_CLOSE53,1273,1157,0.0005019414203630279,5.909214607208836e-05,0,0
alpha360_CLOSE54,1273,1154,0.0005030319205832877,5.943723211966388e-05,0,0
alpha360_CLOSE55,1273,1157,0.0005165862523554762,5.95281799027782e-05,0,0
alpha360_CLOSE56,1273,1158,0.0005017414735553616,5.8894559076513555e-05,0,0
alpha360_CLOSE57,1273,1159,0.0005152692361651695,5.71895473504784e-05,0,0
alpha360_CLOSE58,1273,1158,0.0005099001084656885,5.564823078502615e-05,0,0
alpha360_CLOSE59,1273,1152,0.0005519598816788318,5.6345136669807345e-05,0,0
alpha360_CLOSE6,1273,1053,0.0002861738058694604,3.096838984949934e-05,0,0
alpha360_CLOSE7,1273,1078,0.00035974975595502723,3.430362736069667e-05,0,0
alpha360_CLOSE8,1273,1097,0.0003782181309539834,3.6982508380514084e-05,0,0
alpha360_CLOSE9,1273,1119,0.0004113078712472927,3.953397532696292e-05,0,0
alpha360_HIGH0,1273,422,0.0003868118357118755,1.2539784868388406e-05,0,0
alpha360_HIGH1,1273,676,0.0002371382407117817,1.2186706093818238e-05,0,0
alpha360_HIGH10,1273,1137,0.00033403347017730125,3.7648529904831775e-05,0,0
alpha360_HIGH11,1273,1140,0.0003576562006241575,3.9173884163216646e-05,0,0
alpha360_HIGH12,1273,1135,0.0003671366496927758,3.998790393608151e-05,0,0
alpha360_HIGH13,1273,1128,0.0004939822114020803,4.0036846640671044e-05,0,0
alpha360_HIGH14,1273,1132,0.0005745348876688983,4.0616651757158374e-05,0,0
alpha360_HIGH15,1273,1136,0.0003742451309122069,4.1425965616899886e-05,0,0
alpha360_HIGH16,1273,1131,0.00044331391461829156,4.23593989498844e-05,0,0
alpha360_HIGH17,1273,1131,0.0004524354546055036,4.173681822518021e-05,0,0
alpha360_HIGH18,1273,1138,0.00045812713912556785,4.3064461281705656e-05,0,0
alpha360_HIGH19,1273,1139,0.0004601997431938204,4.4062640439329755e-05,0,0
alpha360_HIGH2,1273,802,0.00022088813044568445,1.4547915372299506e-05,0,0
alpha360_HIGH20,1273,1136,0.0004112498943094206,4.62398730402854e-05,0,0
alpha360_HIGH21,1273,1137,0.0004523911478924482,4.700213992265051e-05,0,0
alpha360_HIGH22,1273,1138,0.00046132404220999845,4.7694768640309e-05,0,0
alpha360_HIGH23,1273,1142,0.0004972264708750368,4.9246796340014766e-05,0,0
alpha360_HIGH24,1273,1143,0.000528729523420618,5.039553354130775e-05,0,0
alpha360_HIGH25,1273,1137,0.0005298322782400638,5.2104077890126106e-05,0,0
alpha360_HIGH26,1273,1139,0.0005241214527739874,5.19756768604758e-05,0,0
alpha360_HIGH27,1273,1140,0.0006294170612074629,5.168396943306933e-05,0,0
alpha360_HIGH28,1273,1137,0.0006055952678404447,5.140980573596945e-05,0,0
alpha360_HIGH29,1273,1139,0.0005014005051242748,5.178737243831426e-05,0,0
alpha360_HIGH3,1273,903,0.00030546818092740124,1.6947159265627537e-05,0,0
alpha360_HIGH30,1273,1147,0.000567059129630388,5.1582175422010375e-05,0,0
alpha360_HIGH31,1273,1158,0.0005548529297261968,5.162751810917548e-05,0,0
alpha360_HIGH32,1273,1158,0.0004377350093762722,5.065467265840731e-05,0,0
alpha360_HIGH33,1273,1149,0.00041661240315561676,5.009335003488008e-05,0,0
alpha360_HIGH34,1273,1140,0.0004583049345408749,5.029397191152212e-05,0,0
alpha360_HIGH35,1273,1144,0.00044953542582369665,5.0041201362870094e-05,0,0
alpha360_HIGH36,1273,1148,0.0004607785600058492,5.075578298325905e-05,0,0
alpha360_HIGH37,1273,1149,0.0003990064456079745,5.050980252316808e-05,0,0
alpha360_HIGH38,1273,1150,0.0004397220489332637,5.1449845993842276e-05,0,0
alpha360_HIGH39,1273,1151,0.00044250195590061353,5.115764736716372e-05,0,0
alpha360_HIGH4,1273,967,0.00017218655284867608,2.0359396322095014e-05,0,0
alpha360_HIGH40,1273,1150,0.0004375568229698229,5.0975801197279364e-05,0,0
alpha360_HIGH41,1273,1152,0.00040591112867416346,5.085994958600212e-05,0,0
alpha360_HIGH42,1273,1152,0.0003531441257849932,5.130155089689502e-05,0,0
alpha360_HIGH43,1273,1157,0.0005446480131416354,5.1404900999435973e-05,0,0
alpha360_HIGH44,1273,1156,0.0004243975974148051,5.1394545420547996e-05,0,0
alpha360_HIGH45,1273,1153,0.0005049280773981035,5.079086348380346e-05,0,0
alpha360_HIGH46,1273,1153,0.00047398164259729314,5.1811624672313336e-05,0,0
alpha360_HIGH47,1273,1154,0.00044607331173346365,5.2216298723251975e-05,0,0
alpha360_HIGH48,1273,1154,0.00045137286284960276,5.2534108171051234e-05,0,0
alpha360_HIGH49,1273,1147,0.00046029189336788123,5.323563339213559e-05,0,0
alpha360_HIGH5,1273,1023,0.000215995686475675,2.3492963489469236e-05,0,0
alpha360_HIGH50,1273,1157,0.0004320889754494406,5.507666568387655e-05,0,0
alpha360_HIGH51,1273,1160,0.00045278733892767375,5.5996008676027694e-05,0,0
alpha360_HIGH52,1273,1157,0.000587264776211946,5.636322773674412e-05,0,0
alpha360_HIGH53,1273,1157,0.0004968634201340111,5.654177549802308e-05,0,0
alpha360_HIGH54,1273,1154,0.0004873134652269989,5.6806274141132495e-05,0,0
alpha360_HIGH55,1273,1157,0.0005002345483285896,5.699580989169982e-05,0,0
alpha360_HIGH56,1273,1158,0.0004957398397924147,5.6481752191854596e-05,0,0
alpha360_HIGH57,1273,1159,0.000496684814292804,5.4780049595203494e-05,0,0
alpha360_HIGH58,1273,1158,0.00049626643248777,5.344857800348884e-05,0,0
alpha360_HIGH59,1273,1152,0.0005365146111079855,5.42110161643821e-05,0,0
alpha360_HIGH6,1273,1053,0.00020108160272130915,2.5932993265362966e-05,0,0
alpha360_HIGH7,1273,1078,0.0003065152071070887,2.86816533728108e-05,0,0
alpha360_HIGH8,1273,1097,0.0003293008258719726,3.13943063087553e-05,0,0
alpha360_HIGH9,1273,1119,0.0003468375906511209,3.4081096729723455e-05,0,0
alpha360_LOW0,1273,422,0.000375317009235699,1.303513932593361e-05,0,0
alpha360_LOW1,1273,676,0.0004829901335676101,1.819459786428447e-05,0,0
alpha360_LOW10,1273,1137,0.00046371696941717097,5.046653427437497e-05,0,0
alpha360_LOW11,1273,1140,0.0004810559042875296,5.1817453358277645e-05,0,0
alpha360_LOW12,1273,1135,0.00047060872956194294,5.1841451134596294e-05,0,0
alpha360_LOW13,1273,1128,0.0005428233063488747,5.1413152289250035e-05,0,0
alpha360_LOW14,1273,1132,0.0006278797454792456,5.145160164129071e-05,0,0
alpha360_LOW15,1273,1136,0.00045797960596248577,5.176572584737297e-05,0,0
alpha360_LOW16,1273,1131,0.0005196816995047746,5.264579838906629e-05,0,0
alpha360_LOW17,1273,1131,0.0005392288148835939,5.191417964460047e-05,0,0
alpha360_LOW18,1273,1138,0.0005576092648829079,5.275694692852277e-05,0,0
alpha360_LOW19,1273,1139,0.0005489448754895238,5.315353566108106e-05,0,0
alpha360_LOW2,1273,802,0.00045427287496624044,2.2647140291268513e-05,0,0
alpha360_LOW20,1273,1136,0.00048315742868149103,5.516314533902187e-05,0,0
alpha360_LOW21,1273,1137,0.0005448918547487983,5.558984189710366e-05,0,0
alpha360_LOW22,1273,1138,0.0005617081170100346,5.584656157820405e-05,0,0
alpha360_LOW23,1273,1142,0.0005565220206085932,5.735012300943327e-05,0,0
alpha360_LOW24,1273,1143,0.0005874926156172241,5.874293793974437e-05,0,0
alpha360_LOW25,1273,1137,0.0006129244852133291,5.995349867717712e-05,0,0
alpha360_LOW26,1273,1139,0.000575279623971775,5.961471724864435e-05,0,0
alpha360_LOW27,1273,1140,0.0006706603817935031,5.903874706194631e-05,0,0
alpha360_LOW28,1273,1137,0.0006643757998009286,5.846721279874887e-05,0,0
alpha360_LOW29,1273,1139,0.0005354727533826709,5.873721102261257e-05,0,0
alpha360_LOW3,1273,903,0.00042935231579601524,2.6018935258427606e-05,0,0
alpha360_LOW30,1273,1147,0.0006197123722665732,5.8481015984303987e-05,0,0
alpha360_LOW31,1273,1158,0.0006222738147927398,5.861059844914366e-05,0,0
alpha360_LOW32,1273,1158,0.00046823649615224117,5.75048253690952e-05,0,0
alpha360_LOW33,1273,1149,0.0004681492355577549,5.672883057015986e-05,0,0
alpha360_LOW34,1273,1140,0.0005063887582460735,5.7013792391883524e-05,0,0
alpha360_LOW35,1273,1144,0.0005073910618473669,5.6536942463795844e-05,0,0
alpha360_LOW36,1273,1148,0.0005365199692541067,5.703132911789713e-05,0,0
alpha360_LOW37,1273,1149,0.0004292005506048302,5.6715918780884166e-05,0,0
alpha360_LOW38,1273,1150,0.0004970889194240574,5.7584304888484376e-05,0,0
alpha360_LOW39,1273,1151,0.00046278971404385694,5.7075817608111746e-05,0,0
alpha360_LOW4,1273,967,0.000272411198395453,3.066230181535604e-05,0,0
alpha360_LOW40,1273,1150,0.0005060965954543778,5.67607207295547e-05,0,0
alpha360_LOW41,1273,1152,0.00043876501186392025,5.630182616220361e-05,0,0
alpha360_LOW42,1273,1152,0.0003896883921966354,5.661397456060746e-05,0,0
alpha360_LOW43,1273,1157,0.0005800139406519078,5.6828083428704095e-05,0,0
alpha360_LOW44,1273,1156,0.00045645456083395763,5.688971043813868e-05,0,0
alpha360_LOW45,1273,1153,0.0005320347935531822,5.622142450292947e-05,0,0
alpha360_LOW46,1273,1153,0.00048660451072549127,5.71851285458554e-05,0,0
alpha360_LOW47,1273,1154,0.00046400752269390444,5.749543298045999e-05,0,0
alpha360_LOW48,1273,1154,0.0004684799685029384,5.764389758391179e-05,0,0
alpha360_LOW49,1273,1147,0.0004917783931279451,5.8255794140763956e-05,0,0
alpha360_LOW5,1273,1023,0.00029562906689323265,3.4572152621841035e-05,0,0
alpha360_LOW50,1273,1157,0.0004472197299459678,6.020258403904878e-05,0,0
alpha360_LOW51,1273,1160,0.00047394991677160436,6.117930749599955e-05,0,0
alpha360_LOW52,1273,1157,0.0006166373088346416,6.174622048391994e-05,0,0
alpha360_LOW53,1273,1157,0.0005147067006186778,6.18763441683982e-05,0,0
alpha360_LOW54,1273,1154,0.0005137552605521713,6.20383466020691e-05,0,0
alpha360_LOW55,1273,1157,0.000525152398585263,6.211414008414923e-05,0,0
alpha360_LOW56,1273,1158,0.0005257208028580304,6.146004062451978e-05,0,0
alpha360_LOW57,1273,1159,0.0005267871826390158,5.956050715107245e-05,0,0
alpha360_LOW58,1273,1158,0.0005215620925722378,5.807445237222146e-05,0,0
alpha360_LOW59,1273,1152,0.0005376580912701545,5.8726756777047576e-05,0,0
alpha360_LOW6,1273,1053,0.00038060905195590883,3.8511681867947e-05,0,0
