batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_pair_count,median_pair_count,max_factor_missing_count,max_label_missing_count,rank_ic_ir
alpha360_004,alpha360_HIGH27,1273,0.06977153395661094,0.1656911613521007,0,1991.0,23,2000,0.42109387964481393
alpha360_004,alpha360_HIGH28,1273,0.07079709624627156,0.1667200519468091,0,1991.0,23,2000,0.42464655822479525
alpha360_004,alpha360_HIGH29,1273,0.07157695489124473,0.16746168186580107,0,1991.0,23,2000,0.427422883215782
alpha360_004,alpha360_HIGH3,1273,0.008130794041753079,0.15089345723245262,0,1993.0,24,2000,0.05388433793539188
alpha360_004,alpha360_HIGH30,1273,0.07208244616126522,0.16815879031877023,0,1991.0,24,2000,0.42865702128697597
alpha360_004,alpha360_HIGH31,1273,0.07264090372878586,0.1689288476652261,0,1991.0,23,2000,0.4300088749361602
alpha360_004,alpha360_HIGH32,1273,0.07301336183599466,0.169589659401972,0,1991.0,23,2000,0.4305295623180293
alpha360_004,alpha360_HIGH33,1273,0.07337337907209916,0.1701456690957442,0,1991.0,24,2000,0.43123859374175766
alpha360_004,alpha360_HIGH34,1273,0.07382310266263599,0.17055588835952135,0,1991.0,23,2000,0.43283819381844746
alpha360_004,alpha360_HIGH35,1273,0.0743002435461157,0.17058016880783852,0,1991.0,23,2000,0.435573748492512
alpha360_004,alpha360_HIGH36,1273,0.07467343084192714,0.17043314014289773,0,1991.0,23,2000,0.43813914816870736
alpha360_004,alpha360_HIGH37,1273,0.07489257803700326,0.17046213132826543,0,1991.0,23,2000,0.4393502383985788
alpha360_004,alpha360_HIGH38,1273,0.07466411875075371,0.17021070801895846,0,1991.0,22,2000,0.43865700119429296
alpha360_004,alpha360_HIGH39,1273,0.07420881030890869,0.17008237936562112,0,1991.0,22,2000,0.4363109840401761
alpha360_004,alpha360_HIGH4,1273,0.013430202818516685,0.1499390464819909,0,1993.0,24,2000,0.08957108327436095
alpha360_004,alpha360_HIGH40,1273,0.07362880785234525,0.17002861786049783,0,1991.0,23,2000,0.4330377366988595
