batch_id,factor_count,daily_row_count,runtime_seconds,output_path,output_sha256,status
alpha360_011,25,32350,18.85031919999983,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_011.parquet,4b540b1ca8dcd5eac8a0114b9be2f5e6fd473d98aedb7037d8940e3ef38e4482,pass
alpha360_012,25,32350,19.46888990000025,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_012.parquet,f6f32c82a911477ce6a5487c67e22a20da48a66caa58d40d31a4840067d99413,pass
alpha360_013,25,32350,19.20473420000053,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_013.parquet,5a9bd5d46f48171b6e2759675549372a27f25af725c4c9aa11a957dd419b01dd,pass
alpha360_014,25,32350,18.682450100000096,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_014.parquet,10b060628512ce65f592efd7e9141c2d9957dbdd201fccf602d3282f224a1ffd,pass
alpha360_015,8,10352,10.688992899999903,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_015.parquet,1105a939db4e1cee1e429333c345ecd8cf950e0bdb14e1a72b391657a68d9603,pass
ta_001,25,32350,23.03165809999973,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/ta_001.parquet,ba26872c6d03cf469aa1693cb40bbb1058b4592eddb804772188e41e2a288e8a,pass
ta_002,25,32350,20.316416800000297,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/ta_002.parquet,393833ab504f8a293d53e7d60cb44bb2d489f7b36e56e7641925c4fe4cee82b9,pass
ta_003,25,32350,23.380969199999527,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/ta_003.parquet,bf15bbde7bd417b4e9ae6e9e67dcbb71ca76ca9aac5d8a6e278ac4b178284587,pass
ta_004,2,2588,7.867715000000317,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/ta_004.parquet,7b28bcd97684bfad298e3b1e7a9b4f029ed7abdd54f456dc74e4428403f6c353,pass
alpha101_001,25,32350,23.047348000000056,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha101_001.parquet,acd46441f7e5a5bbc6b1047b77d0abb2b7be35c418efa064a291bc0f7526828c,pass
alpha101_002,25,32350,23.003692400000546,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha101_002.parquet,1349d088addb94dc4e25147d879a55a23d5ca08e3d6736c503fefc1e3139ac83,pass
alpha101_003,14,18116,25.239912199999708,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha101_003.parquet,d5b68d9a3bcf4ff51243d81f0e9c53dede6490a63d4043d82807d24a8f53d446,pass
project_basic_001,15,19410,16.392015999999785,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/project_basic_001.parquet,a64df2535d3fc2352404f252f4c7413d5f41adc12f665758d33a3c3d03dd4c95,pass
