factor,year,rows,finite_count,missing_count,infinite_count,finite_dates,observed_dates,first_finite_date,last_finite_date,constant_dates,min_count_variable_dates,coverage
kunquant_alpha101_alpha072,2017,488000,375682,112318,0,244,244,2017-01-03,2017-12-29,0,244,0.7698401639344262
kunquant_alpha101_alpha072,2018,485999,390979,95020,0,243,243,2018-01-02,2018-12-28,0,243,0.8044851944139803
kunquant_alpha101_alpha072,2019,487969,419718,68251,0,244,244,2019-01-02,2019-12-31,0,244,0.860132508417543
kunquant_alpha101_alpha072,2020,485973,420756,65217,0,243,243,2020-01-02,2020-12-31,0,243,0.865801186485669
kunquant_alpha101_alpha072,2021,485981,430283,55698,0,243,243,2021-01-04,2021-12-31,0,243,0.8853905811132534
kunquant_alpha101_alpha072,2022,483983,420632,63351,0,242,242,2022-01-04,2022-12-30,0,242,0.8691049065772971
kunquant_alpha101_alpha072,2023,483926,422409,61517,0,242,242,2023-01-03,2023-12-29,0,242,0.8728793245248241
kunquant_alpha101_alpha072_canonical_vwap_v2,2010,355454,136863,218591,0,223,223,2010-01-29,2010-12-31,0,223,0.3850371637398932
kunquant_alpha101_alpha072_canonical_vwap_v2,2011,455402,178295,277107,0,244,244,2011-01-04,2011-12-30,0,244,0.3915112362264549
kunquant_alpha101_alpha072_canonical_vwap_v2,2012,485960,253904,232056,0,243,243,2012-01-04,2012-12-31,0,243,0.5224792163964113
kunquant_alpha101_alpha072_canonical_vwap_v2,2013,475975,382584,93391,0,238,238,2013-01-04,2013-12-31,0,238,0.8037901150270498
kunquant_alpha101_alpha072_canonical_vwap_v2,2014,489995,363269,126726,0,245,245,2014-01-02,2014-12-31,0,245,0.7413728711517464
kunquant_alpha101_alpha072_canonical_vwap_v2,2015,487993,288857,199136,0,244,244,2015-01-05,2015-12-31,0,244,0.5919285727459206
kunquant_alpha101_alpha072_canonical_vwap_v2,2016,488000,368902,119098,0,244,244,2016-01-04,2016-12-30,0,244,0.7559467213114754
kunquant_alpha101_alpha072_canonical_vwap_v2,2017,488000,375679,112321,0,244,244,2017-01-03,2017-12-29,0,244,0.7698340163934426
kunquant_alpha101_alpha072_canonical_vwap_v2,2018,485999,390979,95020,0,243,243,2018-01-02,2018-12-28,0,243,0.8044851944139803
kunquant_alpha101_alpha072_canonical_vwap_v2,2019,487969,419715,68254,0,244,244,2019-01-02,2019-12-31,0,244,0.8601263604860144
kunquant_alpha101_alpha072_canonical_vwap_v2,2020,485973,420756,65217,0,243,243,2020-01-02,2020-12-31,0,243,0.865801186485669
kunquant_alpha101_alpha072_canonical_vwap_v2,2021,485981,430283,55698,0,243,243,2021-01-04,2021-12-31,0,243,0.8853905811132534
kunquant_alpha101_alpha072_canonical_vwap_v2,2022,483983,420632,63351,0,242,242,2022-01-04,2022-12-30,0,242,0.8691049065772971
kunquant_alpha101_alpha072_canonical_vwap_v2,2023,483926,422409,61517,0,242,242,2023-01-03,2023-12-29,0,242,0.8728793245248241
kunquant_alpha101_alpha078,2010,355454,120908,234546,0,223,223,2010-01-29,2010-12-31,0,223,0.3401509056024127
kunquant_alpha101_alpha078,2011,455402,159025,296377,0,244,244,2011-01-04,2011-12-30,0,244,0.3491969732236573
kunquant_alpha101_alpha078,2012,485960,235848,250112,0,243,243,2012-01-04,2012-12-31,0,243,0.4853238949707795
kunquant_alpha101_alpha078,2013,475975,381404,94571,0,238,238,2013-01-04,2013-12-31,0,238,0.8013109932244341
kunquant_alpha101_alpha078,2014,489995,360810,129185,0,245,245,2014-01-02,2014-12-31,0,245,0.736354452596455
kunquant_alpha101_alpha078,2015,487993,282383,205610,0,244,244,2015-01-05,2015-12-31,0,244,0.5786619890039406
kunquant_alpha101_alpha078,2016,488000,362925,125075,0,244,244,2016-01-04,2016-12-30,0,244,0.7436987704918033
kunquant_alpha101_alpha078,2017,488000,373274,114726,0,244,244,2017-01-03,2017-12-29,0,244,0.764905737704918
kunquant_alpha101_alpha078,2018,485999,394325,91674,0,243,243,2018-01-02,2018-12-28,0,243,0.8113699822427618
kunquant_alpha101_alpha078,2019,487969,425009,62960,0,244,244,2019-01-02,2019-12-31,0,244,0.8709754103231968
kunquant_alpha101_alpha078,2020,485973,427572,58401,0,243,243,2020-01-02,2020-12-31,0,243,0.879826657036502
kunquant_alpha101_alpha078,2021,485981,428472,57509,0,243,243,2021-01-04,2021-12-31,0,243,0.8816640979791391
kunquant_alpha101_alpha078,2022,483983,427490,56493,0,242,242,2022-01-04,2022-12-30,0,242,0.8832748257686737
kunquant_alpha101_alpha078,2023,483926,430510,53416,0,242,242,2023-01-03,2023-12-29,0,242,0.8896194872769804
kunquant_alpha101_alpha078_canonical_vwap_v2,2010,355454,120908,234546,0,223,223,2010-01-29,2010-12-31,0,223,0.3401509056024127
kunquant_alpha101_alpha078_canonical_vwap_v2,2011,455402,159025,296377,0,244,244,2011-01-04,2011-12-30,0,244,0.3491969732236573
kunquant_alpha101_alpha078_canonical_vwap_v2,2012,485960,235848,250112,0,243,243,2012-01-04,2012-12-31,0,243,0.4853238949707795
kunquant_alpha101_alpha078_canonical_vwap_v2,2013,475975,381404,94571,0,238,238,2013-01-04,2013-12-31,0,238,0.8013109932244341
kunquant_alpha101_alpha078_canonical_vwap_v2,2014,489995,360810,129185,0,245,245,2014-01-02,2014-12-31,0,245,0.736354452596455
kunquant_alpha101_alpha078_canonical_vwap_v2,2015,487993,282383,205610,0,244,244,2015-01-05,2015-12-31,0,244,0.5786619890039406
kunquant_alpha101_alpha078_canonical_vwap_v2,2016,488000,362925,125075,0,244,244,2016-01-04,2016-12-30,0,244,0.7436987704918033
kunquant_alpha101_alpha078_canonical_vwap_v2,2017,488000,373274,114726,0,244,244,2017-01-03,2017-12-29,0,244,0.764905737704918
kunquant_alpha101_alpha078_canonical_vwap_v2,2018,485999,394325,91674,0,243,243,2018-01-02,2018-12-28,0,243,0.8113699822427618
kunquant_alpha101_alpha078_canonical_vwap_v2,2019,487969,425009,62960,0,244,244,2019-01-02,2019-12-31,0,244,0.8709754103231968
kunquant_alpha101_alpha078_canonical_vwap_v2,2020,485973,427572,58401,0,243,243,2020-01-02,2020-12-31,0,243,0.879826657036502
kunquant_alpha101_alpha078_canonical_vwap_v2,2021,485981,428472,57509,0,243,243,2021-01-04,2021-12-31,0,243,0.8816640979791391
kunquant_alpha101_alpha078_canonical_vwap_v2,2022,483983,427490,56493,0,242,242,2022-01-04,2022-12-30,0,242,0.8832748257686737
kunquant_alpha101_alpha078_canonical_vwap_v2,2023,483926,430510,53416,0,242,242,2023-01-03,2023-12-29,0,242,0.8896194872769804
kunquant_alpha101_alpha098,2010,355454,186622,168832,0,223,223,2010-01-29,2010-12-31,0,223,0.525024335075706
kunquant_alpha101_alpha098,2011,455402,241995,213407,0,244,244,2011-01-04,2011-12-30,0,244,0.5313876531064862
kunquant_alpha101_alpha098,2012,485960,315488,170472,0,243,243,2012-01-04,2012-12-31,0,243,0.6492056959420528
kunquant_alpha101_alpha098,2013,475975,409076,66899,0,238,238,2013-01-04,2013-12-31,0,238,0.859448500446452
kunquant_alpha101_alpha098,2014,489995,393931,96064,0,245,245,2014-01-02,2014-12-31,0,245,0.8039490198879581
kunquant_alpha101_alpha098,2015,487993,331291,156702,0,244,244,2015-01-05,2015-12-31,0,244,0.6788847381007515
kunquant_alpha101_alpha098,2016,488000,397077,90923,0,244,244,2016-01-04,2016-12-30,0,244,0.8136823770491803
kunquant_alpha101_alpha098,2017,488000,405549,82451,0,244,244,2017-01-03,2017-12-29,0,244,0.8310430327868853
kunquant_alpha101_alpha098,2018,485999,421970,64029,0,243,243,2018-01-02,2018-12-28,0,243,0.868252815335011
kunquant_alpha101_alpha098,2019,487969,447085,40884,0,244,244,2019-01-02,2019-12-31,0,244,0.9162159891304572
kunquant_alpha101_alpha098,2020,485973,448442,37531,0,243,243,2020-01-02,2020-12-31,0,243,0.9227714296884806
kunquant_alpha101_alpha098,2021,485981,449332,36649,0,243,243,2021-01-04,2021-12-31,0,243,0.924587586757507
kunquant_alpha101_alpha098,2022,483983,447215,36768,0,242,242,2022-01-04,2022-12-30,0,242,0.9240303894971518
kunquant_alpha101_alpha098,2023,483926,449740,34186,0,242,242,2023-01-03,2023-12-29,0,242,0.929356967800862
kunquant_alpha101_alpha098_canonical_vwap_v2,2010,355454,186622,168832,0,223,223,2010-01-29,2010-12-31,0,223,0.525024335075706
kunquant_alpha101_alpha098_canonical_vwap_v2,2011,455402,241995,213407,0,244,244,2011-01-04,2011-12-30,0,244,0.5313876531064862
kunquant_alpha101_alpha098_canonical_vwap_v2,2012,485960,315488,170472,0,243,243,2012-01-04,2012-12-31,0,243,0.6492056959420528
kunquant_alpha101_alpha098_canonical_vwap_v2,2013,475975,409076,66899,0,238,238,2013-01-04,2013-12-31,0,238,0.859448500446452
kunquant_alpha101_alpha098_canonical_vwap_v2,2014,489995,393931,96064,0,245,245,2014-01-02,2014-12-31,0,245,0.8039490198879581
kunquant_alpha101_alpha098_canonical_vwap_v2,2015,487993,331291,156702,0,244,244,2015-01-05,2015-12-31,0,244,0.6788847381007515
kunquant_alpha101_alpha098_canonical_vwap_v2,2016,488000,397077,90923,0,244,244,2016-01-04,2016-12-30,0,244,0.8136823770491803
kunquant_alpha101_alpha098_canonical_vwap_v2,2017,488000,405549,82451,0,244,244,2017-01-03,2017-12-29,0,244,0.8310430327868853
kunquant_alpha101_alpha098_canonical_vwap_v2,2018,485999,421970,64029,0,243,243,2018-01-02,2018-12-28,0,243,0.868252815335011
kunquant_alpha101_alpha098_canonical_vwap_v2,2019,487969,447085,40884,0,244,244,2019-01-02,2019-12-31,0,244,0.9162159891304572
kunquant_alpha101_alpha098_canonical_vwap_v2,2020,485973,448442,37531,0,243,243,2020-01-02,2020-12-31,0,243,0.9227714296884806
kunquant_alpha101_alpha098_canonical_vwap_v2,2021,485981,449332,36649,0,243,243,2021-01-04,2021-12-31,0,243,0.924587586757507
kunquant_alpha101_alpha098_canonical_vwap_v2,2022,483983,447215,36768,0,242,242,2022-01-04,2022-12-30,0,242,0.9240303894971518
kunquant_alpha101_alpha098_canonical_vwap_v2,2023,483926,449740,34186,0,242,242,2023-01-03,2023-12-29,0,242,0.929356967800862
mature_dividend_yield_ttm,2010,355454,190515,164939,0,223,223,2010-01-29,2010-12-31,0,223,0.5359765257951803
mature_dividend_yield_ttm,2011,455402,263084,192318,0,244,244,2011-01-04,2011-12-30,0,244,0.5776961893008814
mature_dividend_yield_ttm,2012,485960,311813,174147,0,243,243,2012-01-04,2012-12-31,0,243,0.6416433451312865
mature_dividend_yield_ttm,2013,475975,332426,143549,0,238,238,2013-01-04,2013-12-31,0,238,0.6984106308104417
mature_dividend_yield_ttm,2014,489995,349153,140842,0,245,245,2014-01-02,2014-12-31,0,245,0.7125644139225911
mature_dividend_yield_ttm,2015,487993,326658,161335,0,244,244,2015-01-05,2015-12-31,0,244,0.6693907494574717
mature_dividend_yield_ttm,2016,488000,335301,152699,0,244,244,2016-01-04,2016-12-30,0,244,0.6870922131147541
mature_dividend_yield_ttm,2017,488000,345714,142286,0,244,244,2017-01-03,2017-12-29,0,244,0.7084303278688524
mature_dividend_yield_ttm,2018,485999,378525,107474,0,243,243,2018-01-02,2018-12-28,0,243,0.7788596272831837
mature_dividend_yield_ttm,2019,487969,370457,117512,0,244,244,2019-01-02,2019-12-31,0,244,0.7591814234100936
mature_dividend_yield_ttm,2020,485973,358772,127201,0,243,243,2020-01-02,2020-12-31,0,243,0.7382550059365438
mature_dividend_yield_ttm,2021,485981,366192,119789,0,243,243,2021-01-04,2021-12-31,0,243,0.7535109397280964
mature_dividend_yield_ttm,2022,483983,352242,131741,0,242,242,2022-01-04,2022-12-30,0,242,0.7277982904358211
mature_dividend_yield_ttm,2023,483926,344525,139401,0,242,242,2023-01-03,2023-12-29,0,242,0.7119373623239916
mature_extra_large_order_imbalance,2010,355454,235016,120438,0,223,223,2010-01-29,2010-12-31,0,223,0.6611713470660058
mature_extra_large_order_imbalance,2011,455402,245587,209815,0,244,244,2011-01-04,2011-12-30,0,244,0.5392751898322801
mature_extra_large_order_imbalance,2012,485960,231970,253990,0,243,243,2012-01-04,2012-12-31,0,243,0.4773438143057041
mature_extra_large_order_imbalance,2013,475975,298955,177020,0,238,238,2013-01-04,2013-12-31,0,238,0.6280897105940438
mature_extra_large_order_imbalance,2014,489995,355248,134747,0,245,245,2014-01-02,2014-12-31,0,245,0.7250033163603711
mature_extra_large_order_imbalance,2015,487993,420802,67191,0,244,244,2015-01-05,2015-12-31,0,244,0.8623115495509157
mature_extra_large_order_imbalance,2016,488000,434745,53255,0,244,244,2016-01-04,2016-12-30,0,244,0.8908709016393442
mature_extra_large_order_imbalance,2017,488000,408512,79488,0,244,244,2017-01-03,2017-12-29,0,244,0.8371147540983607
mature_extra_large_order_imbalance,2018,485999,351781,134218,0,243,243,2018-01-02,2018-12-28,0,243,0.7238307074705915
mature_extra_large_order_imbalance,2019,487969,406790,81179,0,244,244,2019-01-02,2019-12-31,0,244,0.8336390221509973
mature_extra_large_order_imbalance,2020,485973,447201,38772,0,243,243,2020-01-02,2020-12-31,0,243,0.9202177898772154
mature_extra_large_order_imbalance,2021,485981,447497,38484,0,243,243,2021-01-04,2021-12-31,0,243,0.9208117189766678
mature_extra_large_order_imbalance,2022,483983,448316,35667,0,242,242,2022-01-04,2022-12-30,0,242,0.9263052627881558
mature_extra_large_order_imbalance,2023,483926,451888,32038,0,242,242,2023-01-03,2023-12-29,0,242,0.9337956629732646
mature_max_drawdown_60,2010,355454,132378,223076,0,223,223,2010-01-29,2010-12-31,0,223,0.3724194973189217
mature_max_drawdown_60,2011,455402,173225,282177,0,244,244,2011-01-04,2011-12-30,0,244,0.3803782152911054
mature_max_drawdown_60,2012,485960,250669,235291,0,243,243,2012-01-04,2012-12-31,0,243,0.5158222899004034
mature_max_drawdown_60,2013,475975,386685,89290,0,238,238,2013-01-04,2013-12-31,0,238,0.8124061137664793
mature_max_drawdown_60,2014,489995,367032,122963,0,245,245,2014-01-02,2014-12-31,0,245,0.7490525413524628
mature_max_drawdown_60,2015,487993,291436,196557,0,244,244,2015-01-05,2015-12-31,0,244,0.5972134846196564
mature_max_drawdown_60,2016,488000,369467,118533,0,244,244,2016-01-04,2016-12-30,0,244,0.7571045081967213
mature_max_drawdown_60,2017,488000,379592,108408,0,244,244,2017-01-03,2017-12-29,0,244,0.7778524590163934
mature_max_drawdown_60,2018,485999,399837,86162,0,243,243,2018-01-02,2018-12-28,0,243,0.822711569365369
mature_max_drawdown_60,2019,487969,429370,58599,0,244,244,2019-01-02,2019-12-31,0,244,0.8799124534550351
mature_max_drawdown_60,2020,485973,431592,54381,0,243,243,2020-01-02,2020-12-31,0,243,0.8880987215339123
mature_max_drawdown_60,2021,485981,439645,46336,0,243,243,2021-01-04,2021-12-31,0,243,0.9046547087231804
mature_max_drawdown_60,2022,483983,431243,52740,0,242,242,2022-01-04,2022-12-30,0,242,0.8910292303655294
mature_max_drawdown_60,2023,483926,434248,49678,0,242,242,2023-01-03,2023-12-29,0,242,0.8973438087641499
mature_momentum_12_1,2010,355454,315733,39721,0,223,223,2010-01-29,2010-12-31,0,223,0.8882527696973448
mature_momentum_12_1,2011,455402,356595,98807,0,244,244,2011-01-04,2011-12-30,0,244,0.7830334517634968
mature_momentum_12_1,2012,485960,387323,98637,0,243,243,2012-01-04,2012-12-31,0,243,0.797026504239032
mature_momentum_12_1,2013,475975,389342,86633,0,238,238,2013-01-04,2013-12-31,0,238,0.817988339723725
mature_momentum_12_1,2014,489995,391618,98377,0,245,245,2014-01-02,2014-12-31,0,245,0.799228563556771
mature_momentum_12_1,2015,487993,346330,141663,0,244,244,2015-01-05,2015-12-31,0,244,0.709702803113979
mature_momentum_12_1,2016,488000,320246,167754,0,244,244,2016-01-04,2016-12-30,0,244,0.6562418032786885
mature_momentum_12_1,2017,488000,319739,168261,0,244,244,2017-01-03,2017-12-29,0,244,0.655202868852459
mature_momentum_12_1,2018,485999,316660,169339,0,243,243,2018-01-02,2018-12-28,0,243,0.6515651266772153
mature_momentum_12_1,2019,487969,340460,147509,0,244,244,2019-01-02,2019-12-31,0,244,0.6977082560572495
mature_momentum_12_1,2020,485973,357116,128857,0,243,243,2020-01-02,2020-12-31,0,243,0.7348474092182076
mature_momentum_12_1,2021,485981,452555,33426,0,243,243,2021-01-04,2021-12-31,0,243,0.9312195332739346
mature_momentum_12_1,2022,483983,370866,113117,0,242,242,2022-01-04,2022-12-30,0,242,0.7662789808732952
mature_momentum_12_1,2023,483926,356474,127452,0,242,242,2023-01-03,2023-12-29,0,242,0.7366291540442134
ta_trend_adx,2010,355454,43,355411,0,43,223,2010-01-29,2010-04-07,43,0,0.0001209720526425
ta_trend_adx,2011,455402,198,455204,0,165,244,2011-01-04,2011-09-02,132,0,0.0004347806992503
ta_trend_adx,2012,485960,88,485872,0,88,243,2012-01-04,2012-05-18,88,0,0.0001810848629516
ta_trend_adx,2013,475975,1575,474400,0,238,238,2013-01-04,2013-12-31,0,0,0.0033089973212878
ta_trend_adx,2014,489995,155764,334231,0,245,245,2014-01-02,2014-12-31,0,245,0.3178889580505923
ta_trend_adx,2015,487993,104042,383951,0,244,244,2015-01-05,2015-12-31,0,244,0.2132038779244784
ta_trend_adx,2016,488000,73032,414968,0,244,244,2016-01-04,2016-12-30,0,244,0.149655737704918
ta_trend_adx,2017,488000,134988,353012,0,244,244,2017-01-03,2017-12-29,0,244,0.2766147540983606
ta_trend_adx,2018,485999,162944,323055,0,243,243,2018-01-02,2018-12-28,0,243,0.3352764100337655
ta_trend_adx,2019,487969,208783,279186,0,244,244,2019-01-02,2019-12-31,0,244,0.4278611961005719
ta_trend_adx,2020,485973,253235,232738,0,243,243,2020-01-02,2020-12-31,0,243,0.521088620149679
ta_trend_adx,2021,485981,440310,45671,0,243,243,2021-01-04,2021-12-31,0,243,0.9060230749761822
ta_trend_adx,2022,483983,428159,55824,0,242,242,2022-01-04,2022-12-30,0,242,0.8846571057247878
ta_trend_adx,2023,483926,418944,64982,0,242,242,2023-01-03,2023-12-29,0,242,0.8657191388766051
ta_trend_adx_neg,2010,355454,43,355411,0,43,223,2010-01-29,2010-04-07,43,0,0.0001209720526425
ta_trend_adx_neg,2011,455402,198,455204,0,165,244,2011-01-04,2011-09-02,132,0,0.0004347806992503
ta_trend_adx_neg,2012,485960,88,485872,0,88,243,2012-01-04,2012-05-18,88,0,0.0001810848629516
ta_trend_adx_neg,2013,475975,1575,474400,0,238,238,2013-01-04,2013-12-31,0,0,0.0033089973212878
ta_trend_adx_neg,2014,489995,155764,334231,0,245,245,2014-01-02,2014-12-31,0,245,0.3178889580505923
ta_trend_adx_neg,2015,487993,104042,383951,0,244,244,2015-01-05,2015-12-31,0,244,0.2132038779244784
ta_trend_adx_neg,2016,488000,73032,414968,0,244,244,2016-01-04,2016-12-30,0,244,0.149655737704918
ta_trend_adx_neg,2017,488000,134988,353012,0,244,244,2017-01-03,2017-12-29,0,244,0.2766147540983606
ta_trend_adx_neg,2018,485999,162944,323055,0,243,243,2018-01-02,2018-12-28,0,243,0.3352764100337655
ta_trend_adx_neg,2019,487969,208783,279186,0,244,244,2019-01-02,2019-12-31,0,244,0.4278611961005719
ta_trend_adx_neg,2020,485973,253235,232738,0,243,243,2020-01-02,2020-12-31,0,243,0.521088620149679
ta_trend_adx_neg,2021,485981,440310,45671,0,243,243,2021-01-04,2021-12-31,0,243,0.9060230749761822
ta_trend_adx_neg,2022,483983,428159,55824,0,242,242,2022-01-04,2022-12-30,0,242,0.8846571057247878
ta_trend_adx_neg,2023,483926,418944,64982,0,242,242,2023-01-03,2023-12-29,0,242,0.8657191388766051
ta_trend_adx_pos,2010,355454,43,355411,0,43,223,2010-01-29,2010-04-07,43,0,0.0001209720526425
ta_trend_adx_pos,2011,455402,198,455204,0,165,244,2011-01-04,2011-09-02,132,0,0.0004347806992503
ta_trend_adx_pos,2012,485960,88,485872,0,88,243,2012-01-04,2012-05-18,88,0,0.0001810848629516
ta_trend_adx_pos,2013,475975,1575,474400,0,238,238,2013-01-04,2013-12-31,0,0,0.0033089973212878
ta_trend_adx_pos,2014,489995,155764,334231,0,245,245,2014-01-02,2014-12-31,0,245,0.3178889580505923
ta_trend_adx_pos,2015,487993,104042,383951,0,244,244,2015-01-05,2015-12-31,0,244,0.2132038779244784
ta_trend_adx_pos,2016,488000,73032,414968,0,244,244,2016-01-04,2016-12-30,0,244,0.149655737704918
ta_trend_adx_pos,2017,488000,134988,353012,0,244,244,2017-01-03,2017-12-29,0,244,0.2766147540983606
ta_trend_adx_pos,2018,485999,162944,323055,0,243,243,2018-01-02,2018-12-28,0,243,0.3352764100337655
ta_trend_adx_pos,2019,487969,208783,279186,0,244,244,2019-01-02,2019-12-31,0,244,0.4278611961005719
ta_trend_adx_pos,2020,485973,253235,232738,0,243,243,2020-01-02,2020-12-31,0,243,0.521088620149679
ta_trend_adx_pos,2021,485981,440310,45671,0,243,243,2021-01-04,2021-12-31,0,243,0.9060230749761822
ta_trend_adx_pos,2022,483983,428159,55824,0,242,242,2022-01-04,2022-12-30,0,242,0.8846571057247878
ta_trend_adx_pos,2023,483926,418944,64982,0,242,242,2023-01-03,2023-12-29,0,242,0.8657191388766051
ta_trend_kst,2010,355454,171888,183566,0,223,223,2010-01-29,2010-12-31,0,223,0.4835731205725635
ta_trend_kst,2011,455402,223021,232381,0,244,244,2011-01-04,2011-12-30,0,244,0.4897233652904467
ta_trend_kst,2012,485960,298457,187503,0,243,243,2012-01-04,2012-12-31,0,243,0.6141596016133015
ta_trend_kst,2013,475975,403375,72600,0,238,238,2013-01-04,2013-12-31,0,238,0.8474709806187299
ta_trend_kst,2014,489995,386999,102996,0,245,245,2014-01-02,2014-12-31,0,245,0.7898019367544566
ta_trend_kst,2015,487993,320853,167140,0,244,244,2015-01-05,2015-12-31,0,244,0.6574950870196908
ta_trend_kst,2016,488000,390383,97617,0,244,244,2016-01-04,2016-12-30,0,244,0.7999651639344262
ta_trend_kst,2017,488000,399059,88941,0,244,244,2017-01-03,2017-12-29,0,244,0.8177438524590164
ta_trend_kst,2018,485999,416723,69276,0,243,243,2018-01-02,2018-12-28,0,243,0.8574564968240675
ta_trend_kst,2019,487969,442619,45350,0,244,244,2019-01-02,2019-12-31,0,244,0.9070637683951236
ta_trend_kst,2020,485973,444240,41733,0,243,243,2020-01-02,2020-12-31,0,243,0.9141248587884512
ta_trend_kst,2021,485981,475039,10942,0,243,243,2021-01-04,2021-12-31,0,243,0.9774847164806856
ta_trend_kst,2022,483983,476841,7142,0,242,242,2022-01-04,2022-12-30,0,242,0.9852432833384644
ta_trend_kst,2023,483926,480429,3497,0,242,242,2023-01-03,2023-12-29,0,242,0.9927736885391568
ta_trend_kst_diff,2010,355454,171888,183566,0,223,223,2010-01-29,2010-12-31,0,223,0.4835731205725635
ta_trend_kst_diff,2011,455402,223021,232381,0,244,244,2011-01-04,2011-12-30,0,244,0.4897233652904467
ta_trend_kst_diff,2012,485960,298457,187503,0,243,243,2012-01-04,2012-12-31,0,243,0.6141596016133015
