instrument,start_time,end_time,lifecycle_start,lifecycle_end,missing_lifecycle,starts_before_lifecycle,ends_after_lifecycle,missing_feature_dir
SH600195,2008-07-01,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600201,2014-06-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600208,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600216,2014-12-09,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600219,2020-12-08,2021-11-15,1999-12-23,2020-09-25,False,False,True,False
SH600233,2021-11-16,2022-03-21,2000-06-08,2020-09-25,False,False,True,False
SH600236,2021-11-16,2022-03-21,2000-03-23,2020-09-25,False,False,True,False
SH600256,2019-12-10,2022-03-21,2000-05-26,2020-09-25,False,False,True,False
SH600258,2018-06-05,2022-03-21,2000-06-01,2020-09-25,False,False,True,False
SH600259,2014-12-09,2022-03-21,2000-05-25,2020-09-25,False,False,True,False
SH600260,2013-01-04,2021-08-09,2000-07-06,2020-09-25,False,False,True,False
SH600263,2007-01-15,2012-02-27,,,True,False,False,True
SH600266,2016-06-07,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600271,2021-06-16,2022-03-21,2003-07-11,2020-09-25,False,False,True,False
SH600273,2019-12-10,2021-06-15,2003-06-27,2020-09-25,False,False,True,False
SH600277,2016-06-07,2021-06-15,2000-07-25,2020-09-25,False,False,True,False
SH600282,2015-12-08,2022-03-21,2000-09-19,2020-09-25,False,False,True,False
SH600291,2016-12-06,2021-06-15,2000-07-31,2020-09-25,False,False,True,False
SH600297,2021-08-10,2022-03-21,2000-11-16,2020-09-25,False,False,True,False
SH600298,2008-01-03,2020-12-07,2000-08-18,2020-09-25,False,False,True,False
SH600298,2021-11-16,2022-03-21,2000-08-18,2020-09-25,False,False,True,False
SH600299,2021-11-16,2022-03-21,2000-04-20,2020-09-25,False,False,True,False
SH600307,2016-12-06,2022-03-21,2000-12-20,2020-09-25,False,False,True,False
SH600312,2012-06-26,2021-11-15,2001-02-21,2020-09-25,False,False,True,False
SH600315,2016-12-06,2022-03-21,2001-03-15,2020-09-25,False,False,True,False
SH600316,2015-12-08,2022-03-21,2000-12-15,2020-09-25,False,False,True,False
SH600325,2011-06-28,2022-03-21,2004-02-25,2020-09-25,False,False,True,False
SH600329,2009-12-29,2022-03-21,2001-06-06,2020-09-25,False,False,True,False
SH600335,2013-06-25,2020-12-07,2001-03-05,2020-09-25,False,False,True,False
SH600338,2016-12-06,2021-06-15,2000-12-27,2020-09-25,False,False,True,False
SH600339,2019-12-10,2022-03-21,2000-12-25,2020-09-25,False,False,True,False
SH600348,2015-12-08,2022-03-21,2003-08-21,2020-09-25,False,False,True,False
SH600350,2018-06-05,2022-03-21,2002-03-18,2020-09-25,False,False,True,False
SH600369,2021-06-16,2022-03-21,2001-01-09,2020-09-25,False,False,True,False
SH600372,2020-12-08,2022-03-21,2001-07-06,2020-09-25,False,False,True,False
SH600373,2018-12-11,2022-03-21,2002-03-04,2020-09-25,False,False,True,False
SH600376,2018-12-11,2022-03-21,2001-03-12,2020-09-25,False,False,True,False
SH600377,2021-06-16,2022-03-21,2001-01-16,2020-09-25,False,False,True,False
SH600380,2012-06-26,2022-03-21,2001-06-08,2020-09-25,False,False,True,False
SH600388,2015-12-08,2021-11-15,2000-12-29,2020-09-25,False,False,True,False
SH600390,2021-06-16,2022-03-21,2001-01-15,2020-09-25,False,False,True,False
SH600392,2013-12-10,2022-03-21,2003-05-29,2020-09-25,False,False,True,False
SH600398,2020-12-08,2022-03-21,2000-12-28,2020-09-25,False,False,True,False
SH600399,2021-11-16,2022-03-21,2000-12-29,2020-09-25,False,False,True,False
SH600401,2013-06-25,2015-06-08,,,True,False,False,True
SH600409,2009-06-30,2022-03-21,2003-06-18,2020-09-25,False,False,True,False
SH600410,2008-01-03,2021-11-15,2004-04-27,2020-09-25,False,False,True,False
SH600415,2019-12-10,2022-03-21,2002-05-09,2020-09-25,False,False,True,False
SH600418,2013-01-04,2022-03-21,2001-08-24,2020-09-25,False,False,True,False
SH600426,2011-01-05,2021-06-15,2002-06-20,2020-09-25,False,False,True,False
SH600428,2012-06-26,2020-12-07,2002-04-18,2020-09-25,False,False,True,False
SH600435,2011-01-05,2022-03-21,2003-07-04,2020-09-25,False,False,True,False
SH600446,2019-12-10,2022-03-21,2003-12-24,2020-09-25,False,False,True,False
SH600460,2008-01-03,2021-11-15,2003-03-11,2020-09-25,False,False,True,False
SH600466,2016-06-07,2022-03-21,2001-02-12,2020-09-25,False,False,True,False
SH600478,2009-06-30,2020-12-07,2003-09-18,2020-09-25,False,False,True,False
SH600482,2021-11-16,2022-03-21,2004-07-14,2020-09-25,False,False,True,False
SH600486,2019-06-11,2022-03-21,2002-04-25,2020-09-25,False,False,True,False
SH600487,2021-06-16,2022-03-21,2003-08-22,2020-09-25,False,False,True,False
SH600497,2019-06-11,2022-03-21,2004-04-20,2020-09-25,False,False,True,False
SH600498,2021-06-16,2022-03-21,2001-08-23,2020-09-25,False,False,True,False
SH600500,2015-06-09,2022-03-21,2000-03-01,2020-09-25,False,False,True,False
SH600507,2018-12-11,2022-03-21,2003-09-30,2020-09-25,False,False,True,False
SH600511,2010-06-29,2022-03-21,2002-11-27,2020-09-25,False,False,True,False
SH600515,2019-06-11,2021-03-08,2002-08-06,2020-09-25,False,False,True,False
SH600516,2020-12-08,2022-03-21,2002-08-30,2020-09-25,False,False,True,False
SH600517,2020-12-08,2022-03-21,2003-10-10,2020-09-25,False,False,True,False
SH600521,2019-06-11,2020-12-07,2003-03-04,2020-09-25,False,False,True,False
SH600521,2021-11-16,2022-03-21,2003-03-04,2020-09-25,False,False,True,False
SH600522,2021-11-16,2022-03-21,2002-10-24,2020-09-25,False,False,True,False
SH600528,2018-06-05,2022-03-21,2001-05-29,2020-09-25,False,False,True,False
SH600529,2020-06-09,2022-03-21,2002-06-03,2020-09-25,False,False,True,False
SH600535,2020-06-09,2022-03-21,2002-08-23,2020-09-25,False,False,True,False
SH600536,2021-06-16,2022-03-21,2002-05-17,2020-09-25,False,False,True,False
SH600545,2010-06-29,2021-06-15,2003-12-03,2020-09-25,False,False,True,False
SH600546,2020-12-08,2022-03-21,2003-07-31,2020-09-25,False,False,True,False
SH600549,2019-06-11,2022-03-21,2002-11-07,2020-09-25,False,False,True,False
SH600553,2007-01-15,2011-02-14,,,True,False,False,True
SH600556,2020-12-08,2022-03-21,2001-08-07,2020-09-25,False,False,True,False
SH600557,2007-01-15,2020-12-07,2002-09-18,2020-09-25,False,False,True,False
SH600563,2007-01-15,2022-03-21,2002-12-10,2020-09-25,False,False,True,False
SH600565,2016-06-07,2020-12-07,2002-07-23,2020-09-25,False,False,True,False
SH600566,2020-06-09,2022-03-21,2001-08-22,2020-09-25,False,False,True,False
SH600567,2018-12-11,2022-03-21,2001-12-18,2020-09-25,False,False,True,False
SH600572,2012-01-05,2022-03-21,2004-04-12,2020-09-25,False,False,True,False
SH600575,2017-12-05,2021-06-15,2003-03-28,2020-09-25,False,False,True,False
SH600580,2007-01-15,2022-03-21,2002-06-06,2020-09-25,False,False,True,False
SH600582,2017-06-06,2022-03-21,2002-05-15,2020-09-25,False,False,True,False
SH600597,2015-12-08,2022-03-21,2002-08-28,2020-09-25,False,False,True,False
SH600598,2017-12-05,2022-03-21,2002-03-29,2020-09-25,False,False,True,False
SH600607,2007-01-15,2010-02-08,,,True,False,False,True
SH600623,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600633,2016-06-07,2021-11-15,1999-11-12,2020-09-25,False,False,True,False
SH600637,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600639,2010-06-29,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600640,2013-12-10,2021-11-15,1999-11-10,2020-09-25,False,False,True,False
SH600642,2017-06-06,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600643,2011-01-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600645,2013-01-04,2021-11-15,1999-11-10,2020-09-25,False,False,True,False
SH600648,2017-06-06,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600649,2018-06-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600657,2011-06-28,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600663,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600664,2015-06-09,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600667,2020-06-09,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600673,2008-07-01,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600675,2020-06-09,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600694,2014-06-10,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600699,2018-12-11,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600704,2019-12-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600705,2021-11-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600707,2019-06-11,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600717,2016-06-07,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600718,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600728,2019-12-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600729,2013-01-04,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600732,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600733,2020-06-09,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600737,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600739,2019-06-11,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600747,2010-06-29,2015-12-07,,,True,False,False,True
SH600748,2011-06-28,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600751,2015-12-08,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600754,2017-06-06,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600755,2009-12-29,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600757,2013-01-04,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600764,2021-03-09,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600765,2008-12-30,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600770,2013-06-25,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600776,2019-12-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600777,2018-06-05,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600779,2018-12-11,2021-11-15,1999-11-10,2020-09-25,False,False,True,False
SH600782,2018-12-11,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600787,2008-12-30,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600801,2008-12-30,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600803,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600804,2018-12-11,2021-11-15,1999-11-10,2020-09-25,False,False,True,False
SH600808,2015-06-09,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600811,2014-06-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600820,2018-12-11,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600823,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600827,2018-06-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600835,2011-01-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600839,2017-06-06,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600840,2007-01-15,2009-08-24,,,True,False,False,True
SH600845,2019-06-11,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600859,2014-06-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600862,2016-12-06,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600863,2016-12-06,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600867,2020-12-08,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600869,2012-01-05,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600871,2020-12-08,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600874,2010-06-29,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600875,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600879,2012-06-26,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600881,2013-12-10,2021-11-15,1999-11-10,2020-09-25,False,False,True,False
SH600884,2007-06-26,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600885,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600895,2018-06-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600901,2018-12-11,2022-03-21,2018-03-07,2020-09-25,False,False,True,False
SH600903,2019-06-11,2022-03-21,2017-11-07,2020-09-25,False,False,True,False
SH600906,2021-11-16,2022-03-21,,,True,False,False,True
SH600908,2017-12-05,2022-03-21,2016-09-26,2020-09-25,False,False,True,False
SH600909,2019-06-11,2022-03-21,2016-12-06,2020-09-25,False,False,True,False
SH600917,2015-06-09,2022-03-21,2014-09-30,2020-09-25,False,False,True,False
SH600928,2020-12-08,2022-03-21,2019-03-11,2020-09-25,False,False,True,False
SH600956,2021-03-09,2022-03-21,2020-06-29,2020-09-25,False,False,True,False
SH600959,2018-12-11,2022-03-21,2015-04-28,2020-09-25,False,False,True,False
SH600967,2014-06-10,2022-03-21,2004-05-18,2020-09-25,False,False,True,False
SH600968,2020-12-08,2022-03-21,2019-07-01,2020-09-25,False,False,True,False
SH600970,2014-06-10,2022-03-21,2005-04-12,2020-09-25,False,False,True,False
SH600985,2019-06-11,2022-03-21,2004-04-28,2020-09-25,False,False,True,False
SH600988,2021-06-16,2022-03-21,2004-04-14,2020-09-25,False,False,True,False
SH600991,2008-01-03,2012-03-19,,,True,False,False,True
SH600996,2017-06-06,2020-12-07,2016-12-26,2020-09-25,False,False,True,False
SH600998,2021-06-16,2022-03-21,2010-11-02,2020-09-25,False,False,True,False
SH601000,2013-06-25,2022-03-21,2010-07-05,2020-09-25,False,False,True,False
SH601003,2018-12-11,2022-03-21,2007-02-27,2020-09-25,False,False,True,False
SH601005,2018-12-11,2022-03-21,2007-02-28,2020-09-25,False,False,True,False
SH601016,2016-12-06,2022-03-21,2014-09-29,2020-09-25,False,False,True,False
SH601019,2018-06-05,2020-12-07,2017-11-22,2020-09-25,False,False,True,False
SH601068,2019-06-11,2021-11-15,2018-09-12,2020-09-25,False,False,True,False
SH601077,2021-11-16,2022-03-21,2019-10-29,2020-09-25,False,False,True,False
SH601098,2018-06-05,2022-03-21,2010-10-28,2020-09-25,False,False,True,False
SH601099,2019-12-10,2021-11-15,2007-12-28,2020-09-25,False,False,True,False
SH601106,2018-12-11,2022-03-21,2010-02-09,2020-09-25,False,False,True,False
SH601117,2021-06-16,2022-03-21,2010-01-07,2020-09-25,False,False,True,False
SH601118,2019-06-11,2022-03-21,2011-01-07,2020-09-25,False,False,True,False
SH601127,2017-12-05,2021-11-15,2016-06-15,2020-09-25,False,False,True,False
SH601128,2017-12-05,2022-03-21,2016-10-10,2020-09-25,False,False,True,False
SH601139,2019-06-11,2022-03-21,2009-12-25,2020-09-25,False,False,True,False
SH601156,2021-11-16,2022-03-21,,,True,False,False,True
SH601168,2015-12-08,2022-03-21,2007-07-12,2020-09-25,False,False,True,False
SH601179,2018-06-05,2022-03-21,2010-01-28,2020-09-25,False,False,True,False
SH601187,2021-06-16,2022-03-21,,,True,False,False,True
SH601198,2021-06-16,2022-03-21,2015-02-26,2020-09-25,False,False,True,False
SH601200,2017-12-05,2022-03-21,2017-03-31,2020-09-25,False,False,True,False
SH601228,2019-12-10,2022-03-21,2017-03-30,2020-09-25,False,False,True,False
SH601233,2019-12-10,2021-11-15,2011-05-18,2020-09-25,False,False,True,False
SH601298,2020-12-08,2022-03-21,2019-01-24,2020-09-25,False,False,True,False
SH601333,2019-06-11,2022-03-21,2006-12-22,2020-09-25,False,False,True,False
SH601456,2020-12-08,2022-03-21,2020-07-31,2020-09-25,False,False,True,False
SH601512,2020-06-09,2021-11-15,2019-12-20,2020-09-25,False,False,True,False
SH601555,2021-11-16,2022-03-21,2011-12-12,2020-09-25,False,False,True,False
SH601568,2021-06-16,2022-03-21,,,True,False,False,True
SH601577,2021-06-16,2022-03-21,2018-09-27,2020-09-25,False,False,True,False
SH601598,2019-01-15,2019-06-10,2019-01-18,2020-09-25,False,True,False,False
SH601598,2019-12-10,2022-03-21,2019-01-18,2020-09-25,False,False,True,False
SH601608,2018-06-05,2022-03-21,2012-07-06,2020-09-25,False,False,True,False
SH601611,2019-06-11,2022-03-21,2016-06-06,2020-09-25,False,False,True,False
SH601615,2019-06-11,2022-03-21,2019-01-30,2020-09-25,False,False,True,False
SH601636,2021-06-16,2022-03-21,2011-08-12,2020-09-25,False,False,True,False
SH601665,2021-11-16,2022-03-21,,,True,False,False,True
SH601678,2011-01-05,2020-12-07,2010-02-23,2020-09-25,False,False,True,False
SH601689,2016-12-06,2022-03-21,2015-03-19,2020-09-25,False,False,True,False
SH601699,2019-06-11,2022-03-21,2006-09-22,2020-09-25,False,False,True,False
SH601717,2014-06-10,2022-03-21,2010-08-03,2020-09-25,False,False,True,False
SH601718,2018-12-11,2022-03-21,2010-08-16,2020-09-25,False,False,True,False
SH601778,2020-12-08,2022-03-21,2020-05-19,2020-09-25,False,False,True,False
SH601799,2019-12-10,2021-06-15,2011-02-01,2020-09-25,False,False,True,False
SH601801,2018-06-05,2021-11-15,2010-01-18,2020-09-25,False,False,True,False
SH601811,2017-06-06,2020-12-07,2016-08-08,2020-09-25,False,False,True,False
SH601828,2020-12-08,2022-03-21,2018-01-24,2020-09-25,False,False,True,False
SH601860,2019-12-10,2022-03-21,2019-01-10,2020-09-25,False,False,True,False
SH601865,2019-12-10,2021-06-15,2019-03-13,2020-09-25,False,False,True,False
SH601866,2018-12-11,2022-03-21,2007-12-12,2020-09-25,False,False,True,False
SH601868,2021-09-28,2021-11-15,,,True,False,False,True
SH601869,2018-12-11,2022-03-21,2018-07-31,2020-09-25,False,False,True,False
SH601872,2021-11-16,2022-03-21,2006-12-01,2020-09-25,False,False,True,False
SH601880,2012-01-05,2022-03-21,2010-12-06,2020-09-25,False,False,True,False
SH601928,2017-06-06,2022-03-21,2011-11-30,2020-09-25,False,False,True,False
SH601958,2018-12-11,2022-03-21,2008-04-17,2020-09-25,False,False,True,False
SH601966,2018-06-05,2021-06-15,2016-07-06,2020-09-25,False,False,True,False
SH601969,2017-12-05,2022-03-21,2014-12-09,2020-09-25,False,False,True,False
SH601975,2019-12-10,2022-03-21,2019-01-08,2020-09-25,False,False,True,False
SH601991,2021-06-16,2022-03-21,2006-12-20,2020-09-25,False,False,True,False
SH601992,2020-12-08,2022-03-21,2011-03-01,2020-09-25,False,False,True,False
SH601997,2020-12-08,2022-03-21,2016-08-17,2020-09-25,False,False,True,False
SH603000,2017-06-06,2022-03-21,2012-04-27,2020-09-25,False,False,True,False
SH603025,2015-12-08,2020-12-07,2015-04-22,2020-09-25,False,False,True,False
SH603056,2018-06-05,2022-03-21,2018-02-05,2020-09-25,False,False,True,False
SH603077,2013-01-04,2022-03-21,2012-07-31,2020-09-25,False,False,True,False
SH603127,2021-11-16,2022-03-21,2017-08-25,2020-09-25,False,False,True,False
SH603156,2021-06-16,2022-03-21,2018-02-14,2020-09-25,False,False,True,False
SH603198,2016-06-07,2022-03-21,2015-05-28,2020-09-25,False,False,True,False
SH603218,2021-11-16,2022-03-21,2016-12-28,2020-09-25,False,False,True,False
SH603225,2017-12-05,2022-03-21,2017-04-18,2020-09-25,False,False,True,False
SH603228,2017-06-06,2022-03-21,2017-01-06,2020-09-25,False,False,True,False
SH603233,2018-12-11,2020-12-07,2017-07-31,2020-09-25,False,False,True,False
SH603256,2019-12-10,2021-11-15,2019-07-19,2020-09-25,False,False,True,False
SH603260,2020-12-08,2021-11-15,2017-10-30,2020-09-25,False,False,True,False
SH603267,2021-11-16,2022-03-21,2019-05-22,2020-09-25,False,False,True,False
SH603290,2020-12-08,2022-03-21,2020-02-04,2020-09-25,False,False,True,False
SH603317,2019-12-10,2022-03-21,2019-04-24,2020-09-25,False,False,True,False
SH603328,2014-12-09,2021-06-15,2014-07-01,2020-09-25,False,False,True,False
SH603338,2019-12-10,2021-06-15,2015-03-25,2020-09-25,False,False,True,False
SH603345,2020-12-08,2021-06-15,2017-02-22,2020-09-25,False,False,True,False
SH603355,2015-12-08,2022-03-21,2015-05-13,2020-09-25,False,False,True,False
SH603377,2016-12-06,2021-11-15,2016-02-05,2020-09-25,False,False,True,False
SH603379,2019-12-10,2022-03-21,2019-04-09,2020-09-25,False,False,True,False
SH603444,2017-06-06,2022-03-21,2017-01-04,2020-09-25,False,False,True,False
SH603456,2021-11-16,2022-03-21,2014-10-10,2020-09-25,False,False,True,False
SH603486,2018-12-11,2021-11-15,2018-05-28,2020-09-25,False,False,True,False
SH603515,2017-06-06,2022-03-21,2016-08-19,2020-09-25,False,False,True,False
SH603517,2019-06-11,2020-12-07,2017-03-17,2020-09-25,False,False,True,False
SH603556,2017-06-06,2020-12-07,2016-11-10,2020-09-25,False,False,True,False
SH603568,2015-12-08,2022-03-21,2015-05-28,2020-09-25,False,False,True,False
SH603589,2020-12-08,2022-03-21,2015-06-29,2020-09-25,False,False,True,False
SH603605,2020-06-09,2022-03-21,2017-11-15,2020-09-25,False,False,True,False
SH603613,2021-11-16,2022-03-21,2019-07-30,2020-09-25,False,False,True,False
SH603638,2020-12-08,2022-03-21,2017-01-20,2020-09-25,False,False,True,False
SH603650,2018-12-11,2022-03-21,2018-07-10,2020-09-25,False,False,True,False
SH603659,2018-06-05,2020-12-07,2017-11-03,2020-09-25,False,False,True,False
SH603707,2019-12-10,2020-12-07,2017-07-19,2020-09-25,False,False,True,False
SH603707,2021-06-16,2022-03-21,2017-07-19,2020-09-25,False,False,True,False
SH603708,2020-08-11,2022-03-21,2016-12-13,2020-09-25,False,False,True,False
SH603712,2018-12-11,2022-03-21,2018-03-19,2020-09-25,False,False,True,False
SH603719,2020-12-08,2022-03-21,2020-02-24,2020-09-25,False,False,True,False
SH603737,2020-12-08,2021-11-15,2016-06-03,2020-09-25,False,False,True,False
SH603766,2013-06-25,2020-12-07,2012-08-10,2020-09-25,False,False,True,False
SH603786,2020-06-09,2022-03-21,2019-10-15,2020-09-25,False,False,True,False
SH603806,2015-12-08,2021-06-15,2014-09-05,2020-09-25,False,False,True,False
SH603816,2017-06-06,2021-06-15,2016-10-14,2020-09-25,False,False,True,False
SH603858,2019-12-10,2022-03-21,2016-11-18,2020-09-25,False,False,True,False
SH603866,2018-12-11,2022-03-21,2015-12-22,2020-09-25,False,False,True,False
SH603868,2016-12-06,2022-03-21,2016-04-18,2020-09-25,False,False,True,False
SH603882,2019-12-10,2021-06-15,2017-09-08,2020-09-25,False,False,True,False
SH603883,2015-12-08,2022-03-21,2015-04-23,2020-09-25,False,False,True,False
SH603885,2018-06-05,2022-03-21,2015-05-27,2020-09-25,False,False,True,False
SH603888,2017-06-06,2021-11-15,2016-10-28,2020-09-25,False,False,True,False
SH603893,2020-12-08,2022-03-21,2020-02-07,2020-09-25,False,False,True,False
SH603927,2020-12-08,2022-03-21,2019-09-09,2020-09-25,False,False,True,False
SH603939,2019-06-11,2020-12-07,2015-02-17,2020-09-25,False,False,True,False
SH603983,2019-12-10,2022-03-21,2019-07-25,2020-09-25,False,False,True,False
SH605358,2021-06-16,2022-03-21,2020-09-11,2020-09-25,False,False,True,False
