instrument,median_amount,mean_amount,valid_days
SH601118,193667.0,273381.94,240
SH601866,193617.609375,252536.53,239
SZ300327,193382.5625,275422.4,244
SH601998,193330.0703125,249233.27,244
SZ000021,193316.0234375,249387.39,244
SZ002131,193026.203125,242860.4,232
SH600537,192777.4765625,258442.83,240
SZ002245,192625.09375,264563.53,239
SZ002191,191925.84375,286410.7,235
SZ300256,191859.2734375,287898.56,244
SH600360,191718.9375,271523.53,244
SH600038,191702.953125,211710.95,244
SZ002192,191685.46875,296424.88,243
SZ002079,191298.0625,240002.98,244
SZ002153,191177.4296875,220523.97,244
SZ000545,191071.5234375,239246.88,244
SZ000018,190864.40625,279975.2,233
SZ002432,190713.125,233360.86,227
SZ300500,190311.484375,208104.11,221
SZ002123,189960.3203125,224201.11,244
SZ002547,189807.671875,243308.75,198
SZ300160,189634.78125,253635.33,244
SZ300302,189264.453125,209884.03,244
SH600206,188831.7265625,267956.62,244
SZ002501,188831.421875,240095.48,244
SH603398,188547.140625,255406.48,235
SZ300264,188407.953125,258885.77,234
SH600498,188158.5703125,245760.4,242
SZ002099,187796.828125,254183.44,218
SZ300493,187767.21875,228537.67,239
SZ002325,187756.4765625,216933.34,244
SZ002489,187708.9296875,258250.97,244
SZ300247,187598.0703125,255643.36,180
SZ001696,187426.8359375,218193.64,244
SH603996,187411.015625,272065.84,244
SZ002185,187244.046875,230157.1,244
SH601216,187113.875,289799.0,241
SZ002167,186891.578125,208759.6,244
SZ000615,186822.375,222369.94,219
SH600376,186548.4296875,231764.66,244
SZ002421,186179.1875,222243.78,244
SH600196,186042.90625,215911.7,243
SZ002664,185407.65625,270812.47,192
SZ002279,185271.7578125,217124.02,244
SZ002781,184969.8046875,240591.08,244
SZ300209,184732.734375,220255.12,239
SH600694,184366.2421875,226061.33,244
SZ002022,184008.3359375,206182.12,244
SZ300001,183774.7265625,240984.8,240
SH600568,183516.5,214048.45,237
SZ300101,183375.390625,255075.45,239
SZ300484,183342.765625,308641.53,193
SZ002378,182886.734375,223181.0,244
SZ000598,182781.6328125,212908.97,244
SH600598,182596.4140625,216702.84,244
SH600399,181826.9453125,260044.95,244
SH600086,181815.0859375,220020.17,242
SH603118,181724.15625,224043.62,244
SH600967,181713.234375,228800.16,239
SH603988,181542.1015625,202086.11,244
SH600176,181447.15625,213541.88,244
SH600583,181339.5,210805.38,244
SH600079,181314.4453125,219564.75,236
SZ002045,181286.2421875,237768.08,244
SZ300499,181271.171875,202581.61,223
SZ000895,180584.2734375,221032.45,244
SZ000799,180121.96875,240893.56,243
SZ300369,179867.0625,206271.88,244
SZ000059,179810.65625,237584.69,243
SZ300205,179728.6875,196073.12,244
SH600073,179680.4140625,232441.75,244
SH600380,179590.46875,242246.2,235
SZ300297,179396.7734375,232243.2,236
SZ000676,179348.6796875,233971.5,186
SZ300016,179155.3671875,220772.73,244
SZ002263,179115.7890625,239597.81,230
SZ002148,178605.7421875,196622.47,244
SZ002790,178574.0,212453.88,203
SZ300075,177948.265625,225223.14,242
SH600200,177744.65625,220042.77,191
SZ300055,177440.984375,216449.72,241
SZ002792,176970.21875,265070.4,189
SH603618,176705.46875,295490.97,241
SZ002570,176356.0,207819.28,244
SZ000733,175971.3671875,233451.73,244
SH603028,175861.2890625,257212.97,186
SZ002640,175688.203125,203495.34,201
SZ002600,175600.890625,331155.53,238
SZ000952,175460.1015625,198461.44,244
SH600123,175441.9140625,253163.42,244
SZ300128,175268.421875,247570.06,235
SH600108,175210.21875,211167.77,243
SZ002308,175146.2421875,218821.89,230
SZ300380,174797.8203125,211872.97,244
SH600401,174765.3828125,212919.3,232
SH600170,174590.2578125,248793.12,224
SH600325,174475.5625,208626.86,241
SZ000011,174467.7265625,238024.73,244
SZ300221,174356.65625,234138.69,189
SZ002496,174318.015625,281084.9,244
SH600601,174273.59375,223633.11,244
SZ000062,174225.03125,205334.95,233
SH603766,173973.984375,213110.44,242
SZ300222,173955.78125,304627.0,235
SZ300481,173733.125,248226.33,239
SH600871,173589.5390625,280281.38,244
SZ002512,173453.859375,232182.86,187
SZ002701,173339.0859375,200664.89,244
SZ000581,173314.7109375,192932.02,244
SH600208,173310.984375,213501.56,243
SZ300076,173087.0,304001.4,185
SZ300133,172843.96875,222161.38,244
SZ002304,172571.8125,197366.77,244
SZ000959,172566.5625,226184.62,234
SZ300203,172565.8671875,194918.62,244
SZ300005,172533.0390625,184411.17,212
SZ000800,172409.8125,213407.16,244
SH600836,172226.421875,216627.92,240
SZ002475,171949.53125,191705.8,244
SZ300208,171689.09375,207866.92,209
SH600755,171374.8515625,221521.55,244
SH600365,171323.453125,196308.17,243
SH600166,171271.8671875,224346.7,240
SZ000338,170935.6171875,211731.81,242
SH600526,170895.0859375,219912.53,244
SZ002649,170545.359375,210135.52,244
SZ300026,170519.8359375,219460.05,244
SZ002002,170357.7421875,208742.7,238
SZ300157,170251.5703125,216477.75,234
SZ300065,170248.28125,183724.45,227
SZ002121,170231.453125,235605.9,244
SH601599,170149.265625,206252.38,185
SZ002299,170123.75,202372.66,244
SH600315,170108.46875,210031.78,243
SH600161,169908.890625,227121.8,218
SZ300244,168984.2890625,187268.28,236
SZ002634,168681.828125,237811.94,244
SZ000488,168561.46875,233209.36,239
SH600388,167875.5625,207639.73,244
SZ002364,166938.296875,202058.45,244
SZ002629,166669.9453125,192683.3,184
SZ002182,166632.3828125,212100.31,244
SZ000979,166609.765625,238695.11,244
SH600846,166412.8671875,196641.89,244
SH601018,166215.6484375,261945.33,208
SZ002156,165760.625,248866.44,189
SZ000875,165388.625,208075.69,244
SZ002560,165252.015625,207317.52,234
SZ002038,164820.7109375,183015.44,244
SZ002783,164807.2265625,210492.12,244
SH600307,164778.0,205711.02,244
SZ002440,164753.890625,196216.83,194
SZ002271,164623.8046875,202796.02,244
SH600309,164519.6171875,186194.97,244
SZ002741,164458.703125,270489.62,244
SH600332,164295.484375,188703.44,244
SH601933,164115.34375,214026.11,244
SZ002779,164009.4609375,205363.28,200
SZ002639,163707.9453125,271931.25,238
SZ300467,163675.3203125,197370.69,244
SZ002597,163565.3203125,185953.75,244
SZ002510,163480.578125,232306.45,183
SZ002368,163457.625,209742.66,244
SZ000425,163147.8671875,203032.67,234
SH600595,163005.125,207777.06,233
SZ300032,162775.578125,228005.95,228
SH600138,162555.828125,190495.31,244
SH600611,162526.109375,232055.25,244
SH600800,162436.6796875,202757.84,244
SZ300097,162255.765625,204608.6,244
SZ300197,162115.7421875,195526.27,238
SH600297,162112.71875,210301.02,244
SH600183,162106.6328125,216959.97,244
SH600880,161642.9609375,246076.48,232
SH600682,161621.4609375,236145.22,210
SH601258,161275.09375,212569.14,241
SZ300148,161155.96875,220713.56,234
SZ002604,161153.671875,200130.22,239
SH600789,160703.796875,208261.67,235
SH600639,160681.109375,270264.1,244
SH601519,160580.5078125,203761.95,244
SH600735,160379.078125,182202.95,224
SZ002352,160375.765625,280596.2,199
SZ002240,160284.84375,208736.88,230
SZ300322,160248.6484375,204571.33,244
SH600031,160027.1875,208083.19,244
SZ002625,160024.7109375,212888.0,244
SH600053,160000.03125,228097.83,242
SZ000670,159934.03125,252430.19,183
SZ002615,159807.6953125,228284.0,234
SH600635,159667.2890625,201317.42,244
SZ000657,159513.28125,232209.67,211
SH600275,159503.25,414173.28,195
SZ300109,159335.5,185362.58,244
SZ000532,159271.6875,197650.78,244
SZ002137,159027.640625,202358.58,244
SZ300146,158995.796875,198199.02,244
SZ002151,158780.265625,227023.56,211
SZ000157,158717.8046875,198339.52,244
SZ002769,158535.8359375,179265.53,244
SZ002681,158514.8984375,206423.48,234
SZ002261,158362.03125,219355.03,227
SZ000400,158236.4609375,182240.12,244
SZ300339,158219.5390625,173847.47,240
SZ002339,158080.1875,188295.89,239
SZ300348,158050.921875,221446.2,244
SH600754,158034.8671875,197247.9,244
SZ300296,157966.6640625,182610.81,240
SZ000823,157868.1875,215987.39,244
SZ002128,157724.3359375,189265.95,244
SH600112,157686.390625,192140.22,244
SZ002004,157534.2734375,178909.66,244
SZ002402,157440.765625,241238.03,244
SZ300229,157400.8984375,193907.06,244
SH601607,157380.2890625,187170.14,244
SZ002383,157312.75,201704.77,188
SZ002318,157159.515625,205147.55,244
SH601877,157074.59375,197590.86,238
SH600563,156922.34375,191404.95,244
SZ300271,156823.9765625,195055.58,234
SZ300199,156816.484375,169611.39,244
SZ300135,156594.5546875,212355.66,244
SH600155,156516.046875,193603.7,220
SH601689,155967.6484375,182218.69,234
SZ002668,155783.296875,185521.12,244
SH600151,155693.5625,188155.42,208
SZ000156,155690.3828125,185352.56,244
SH600338,155563.53125,174549.9,231
SZ002508,155547.5625,169472.0,244
SZ002424,155358.25,201287.97,244
