datetime,factor,quantile,mean_label,count
2018-09-05,amplitude_20,5,0.003636598,382
2018-09-06,amplitude_20,1,-0.012667475,381
2018-09-06,amplitude_20,2,-0.017275704,381
2018-09-06,amplitude_20,3,-0.019930694,381
2018-09-06,amplitude_20,4,-0.023118017,381
2018-09-06,amplitude_20,5,-0.021653192,381
2018-09-07,amplitude_20,1,0.00033437987,382
2018-09-07,amplitude_20,2,-0.0005299419,381
2018-09-07,amplitude_20,3,0.0013238755,381
2018-09-07,amplitude_20,4,0.0033373726,381
2018-09-07,amplitude_20,5,0.007669439,382
2018-09-10,amplitude_20,1,0.0013733713,382
2018-09-10,amplitude_20,2,0.0027974264,382
2018-09-10,amplitude_20,3,0.003069984,381
2018-09-10,amplitude_20,4,0.0007441223,382
2018-09-10,amplitude_20,5,-0.003706865,382
2018-09-11,amplitude_20,1,0.008162065,382
2018-09-11,amplitude_20,2,0.008930005,382
2018-09-11,amplitude_20,3,0.008529005,381
2018-09-11,amplitude_20,4,0.009595164,382
2018-09-11,amplitude_20,5,0.008948014,382
2018-09-12,amplitude_20,1,-0.0019447014,382
2018-09-12,amplitude_20,2,-0.0028584404,382
2018-09-12,amplitude_20,3,-0.0068555367,381
2018-09-12,amplitude_20,4,-0.012303245,382
2018-09-12,amplitude_20,5,-0.019207861,382
2018-09-13,amplitude_20,1,-0.01244769,383
2018-09-13,amplitude_20,2,-0.015331793,382
2018-09-13,amplitude_20,3,-0.014679575,382
2018-09-13,amplitude_20,4,-0.018724568,382
2018-09-13,amplitude_20,5,-0.015789859,382
2018-09-14,amplitude_20,1,0.012760267,383
2018-09-14,amplitude_20,2,0.016137617,382
2018-09-14,amplitude_20,3,0.018384192,383
2018-09-14,amplitude_20,4,0.022284767,382
2018-09-14,amplitude_20,5,0.0234051,383
2018-09-17,amplitude_20,1,0.008457354,383
2018-09-17,amplitude_20,2,0.010537662,382
2018-09-17,amplitude_20,3,0.012596678,383
2018-09-17,amplitude_20,4,0.012859461,382
2018-09-17,amplitude_20,5,0.015742986,383
2018-09-18,amplitude_20,1,-0.0015180145,383
2018-09-18,amplitude_20,2,-0.0014694146,382
2018-09-18,amplitude_20,3,-0.0012595307,383
2018-09-18,amplitude_20,4,-5.101596e-05,382
2018-09-18,amplitude_20,5,0.0013378845,383
2018-09-19,amplitude_20,1,0.013640374,383
2018-09-19,amplitude_20,2,0.014662838,383
2018-09-19,amplitude_20,3,0.014789841,382
2018-09-19,amplitude_20,4,0.014576272,383
2018-09-19,amplitude_20,5,0.009368219,383
2018-09-20,amplitude_20,1,-0.0038794088,383
2018-09-20,amplitude_20,2,-0.0038091468,382
2018-09-20,amplitude_20,3,-0.0060318056,383
2018-09-20,amplitude_20,4,-0.004026968,382
2018-09-20,amplitude_20,5,-0.0017653219,383
2018-09-21,amplitude_20,1,0.0022091137,383
2018-09-21,amplitude_20,2,0.0026770572,383
2018-09-21,amplitude_20,3,0.0037854346,383
2018-09-21,amplitude_20,4,0.004583638,383
2018-09-21,amplitude_20,5,0.00569421,383
2018-09-25,amplitude_20,1,-0.010048274,383
2018-09-25,amplitude_20,2,-0.012488699,383
2018-09-25,amplitude_20,3,-0.01673551,382
2018-09-25,amplitude_20,4,-0.01724164,383
2018-09-25,amplitude_20,5,-0.020217072,383
2018-09-26,amplitude_20,1,0.008270531,383
2018-09-26,amplitude_20,2,0.009741753,383
2018-09-26,amplitude_20,3,0.00926996,382
2018-09-26,amplitude_20,4,0.011769641,383
2018-09-26,amplitude_20,5,0.0074688685,383
2018-09-27,amplitude_20,1,-0.02288065,384
2018-09-27,amplitude_20,2,-0.028950883,383
2018-09-27,amplitude_20,3,-0.033643596,383
2018-09-27,amplitude_20,4,-0.038425706,383
2018-09-27,amplitude_20,5,-0.04233977,383
2018-09-28,amplitude_20,1,0.0016497113,384
2018-09-28,amplitude_20,2,0.0032774333,383
2018-09-28,amplitude_20,3,0.0030353898,383
2018-09-28,amplitude_20,4,0.0041444823,383
2018-09-28,amplitude_20,5,0.000951242,384
2018-10-08,amplitude_20,1,0.001407599,384
2018-10-08,amplitude_20,2,0.0022535576,383
2018-10-08,amplitude_20,3,0.00072532846,384
2018-10-08,amplitude_20,4,0.00011137322,383
2018-10-08,amplitude_20,5,-0.0006104056,384
2018-10-09,amplitude_20,1,-0.073297895,383
2018-10-09,amplitude_20,2,-0.07859586,383
2018-10-09,amplitude_20,3,-0.07717582,383
2018-10-09,amplitude_20,4,-0.0761409,383
2018-10-09,amplitude_20,5,-0.07626649,383
2018-10-10,amplitude_20,1,-0.011910536,384
2018-10-10,amplitude_20,2,-0.015718633,383
2018-10-10,amplitude_20,3,-0.011449759,383
2018-10-10,amplitude_20,4,-0.008572738,383
