datetime,factor,top_count,turnover
2017-10-19,corr_ret_volume_20,362,0.17403314917127077
2017-10-20,corr_ret_volume_20,363,0.18784530386740328
2017-10-23,corr_ret_volume_20,362,0.11294765840220389
2017-10-24,corr_ret_volume_20,363,0.1270718232044199
2017-10-25,corr_ret_volume_20,363,0.1322314049586777
2017-10-26,corr_ret_volume_20,364,0.1515151515151515
2017-10-27,corr_ret_volume_20,364,0.12637362637362637
2017-10-30,corr_ret_volume_20,364,0.16758241758241754
2017-10-31,corr_ret_volume_20,365,0.14560439560439564
2017-11-01,corr_ret_volume_20,365,0.12876712328767126
2017-11-02,corr_ret_volume_20,366,0.1150684931506849
2017-11-03,corr_ret_volume_20,367,0.1202185792349727
2017-11-06,corr_ret_volume_20,367,0.15258855585831066
2017-11-07,corr_ret_volume_20,367,0.14441416893732972
2017-11-08,corr_ret_volume_20,367,0.13079019073569487
2017-11-09,corr_ret_volume_20,368,0.0953678474114441
2017-11-10,corr_ret_volume_20,368,0.11684782608695654
2017-11-13,corr_ret_volume_20,368,0.17934782608695654
2017-11-14,corr_ret_volume_20,368,0.12771739130434778
2017-11-15,corr_ret_volume_20,367,0.13858695652173914
2017-11-16,corr_ret_volume_20,366,0.15803814713896458
2017-11-17,corr_ret_volume_20,366,0.24863387978142082
2017-11-20,corr_ret_volume_20,365,0.10928961748633881
2017-11-21,corr_ret_volume_20,364,0.1041095890410959
2017-11-22,corr_ret_volume_20,364,0.08241758241758246
2017-11-23,corr_ret_volume_20,363,0.14560439560439564
2017-11-24,corr_ret_volume_20,363,0.10192837465564741
2017-11-27,corr_ret_volume_20,364,0.15977961432506882
2017-11-28,corr_ret_volume_20,364,0.16758241758241754
2017-11-29,corr_ret_volume_20,365,0.12637362637362637
2017-11-30,corr_ret_volume_20,364,0.11780821917808215
2017-12-01,corr_ret_volume_20,364,0.12362637362637363
2017-12-04,corr_ret_volume_20,364,0.11263736263736268
2017-12-05,corr_ret_volume_20,364,0.1291208791208791
2017-12-06,corr_ret_volume_20,363,0.11263736263736268
2017-12-07,corr_ret_volume_20,362,0.10192837465564741
2017-12-08,corr_ret_volume_20,362,0.10773480662983426
2017-12-11,corr_ret_volume_20,361,0.12154696132596687
2017-12-12,corr_ret_volume_20,360,0.08864265927977844
2017-12-13,corr_ret_volume_20,361,0.08611111111111114
2017-12-14,corr_ret_volume_20,360,0.09695290858725758
2017-12-15,corr_ret_volume_20,360,0.2972222222222223
2017-12-18,corr_ret_volume_20,359,0.1444444444444445
