profile_id,stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,cpu_core_equivalent,read_bytes,write_bytes,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,input_date_count,cache_key,cache_status,factor_batch_size,median_workers
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,9.0,,,,45,,,80000.0,0.1167124999992665,0.109375,0.9371318410683288,4557087,0,516.61328125,519.0390625,519.0390625,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,9.0,,,,45,,,79829.0,0.303127699997276,0.359375,1.1855564503119622,0,20300130,521.77734375,404.25,521.77734375,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,10.0,,,,45,,,80000.0,1.9685631999964244,2.5625,1.3017108112173663,208732160,0,404.25,506.21875,506.21875,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,10.0,,,,45,,,80000.0,0.1195049000016297,0.15625,1.307477768676173,4557087,0,506.21875,508.64453125,508.64453125,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,10.0,,,,45,,,79753.0,0.3184859999964828,0.34375,1.0793253078747451,0,20404884,513.16796875,407.81640625,513.16796875,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,11.0,,,,45,,,80000.0,1.976494800001092,2.421875,1.225338412222821,208732160,0,407.81640625,509.078125,509.078125,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,11.0,,,,45,,,80000.0,0.1824457000038819,0.21875,1.198986876617786,4557087,0,509.078125,513.32421875,513.32421875,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,11.0,,,,45,,,79839.0,0.3102892999959294,0.328125,1.0574808735083825,0,20280034,513.64453125,406.50390625,513.64453125,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,12.0,,,,45,,,79985.0,1.8895374000057927,2.34375,1.2403829635723616,208732160,0,406.50390625,512.02734375,512.02734375,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,12.0,,,,45,,,79985.0,0.1251207000022987,0.15625,1.2487941643319562,4557087,0,512.02734375,513.84765625,513.84765625,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,12.0,,,,45,,,79932.0,0.306760999999824,0.34375,1.1205792131339944,0,20122599,515.51953125,406.3515625,515.51953125,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,13.0,,,,45,,,79981.0,2.207396300000255,3.671875,1.6634416756064945,416088064,0,406.3515625,618.33203125,618.33203125,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,13.0,,,,45,,,79981.0,0.1379340999992564,0.1875,1.359344788569402,9054495,0,618.33203125,628.234375,628.234375,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,13.0,,,,45,,,79635.0,0.3425129999959608,0.34375,1.0036115417635352,0,20406378,622.77734375,427.671875,622.77734375,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,14.0,,,,45,,,79964.0,1.9343560999986948,2.5,1.2924197359533165,208338944,0,427.671875,553.6875,553.6875,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,14.0,,,,45,,,79964.0,0.1281782000005478,0.15625,1.219006040023438,4565279,0,553.6875,564.1796875,564.1796875,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,14.0,,,,45,,,79768.0,0.3389547000042512,0.359375,1.0602449235708862,0,20404869,561.34765625,428.63671875,561.34765625,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,15.0,,,,45,,,79996.0,1.96486630000436,2.34375,1.1928292525526034,208338944,0,428.63671875,565.60546875,565.60546875,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,15.0,,,,45,,,79996.0,0.1351280000017141,0.140625,1.0406799478880482,4565279,0,565.60546875,567.4375,567.4375,float64,8,,,40.0,,,,
