datetime,instrument,alpha360_HIGH36,alpha360_HIGH37,alpha360_HIGH40
2024-03-04,SH600000,0.9434341,0.94059867,0.9462432
2024-03-05,SH600000,0.94411075,0.9315607,0.93575066
2024-03-06,SH600000,0.94236386,0.9494023,0.93397963
2024-03-07,SH600000,0.92992043,0.93973035,0.9313564
2024-03-08,SH600000,0.931135,0.93252647,0.9367819
2024-03-11,SH600000,0.9268709,0.9324837,0.9507774
2024-03-12,SH600000,0.92396176,0.92813134,0.94501215
2024-03-13,SH600000,0.9289275,0.9318177,0.9430981
2024-03-14,SH600000,0.9374233,0.9289275,0.9416909
2024-03-15,SH600000,0.93371075,0.9308702,0.9294794
2024-03-18,SH600000,0.92810464,0.93371075,0.9253038
2024-03-19,SH600000,0.94432163,0.93867165,0.9329362
2024-03-20,SH600000,0.9487535,0.9416414,0.93879646
2024-03-21,SH600000,0.9365977,0.9393787,0.93235654
2024-03-22,SH600000,0.9559402,0.9445611,0.93463826
2024-03-25,SH600000,0.9631333,0.95323855,0.9376067
2024-03-26,SH600000,0.96643347,0.95108104,0.93286693
2024-03-27,SH600000,0.9720605,0.9636574,0.9274335
2024-03-28,SH600000,0.9692487,0.9720605,0.9386062
2024-03-29,SH600000,0.96494347,0.97476125,0.9537427
2024-04-01,SH600000,0.9515975,0.9515427,0.95567906
2024-04-02,SH600000,0.951863,0.946374,0.958721
2024-04-03,SH600000,0.95714504,0.9571167,0.96122414
2024-04-08,SH600000,0.9615385,0.95062876,0.9450645
2024-04-09,SH600000,0.96833277,0.96418124,0.94771653
2024-04-10,SH600000,0.95870167,0.966961,0.951863
2024-04-11,SH600000,0.98484504,0.9627077,0.95586866
2024-04-12,SH600000,1.0028602,1.0000484,0.98176396
2024-04-15,SH600000,1.0027589,0.9795153,0.963039
2024-04-16,SH600000,1.0014381,1.008271,0.9600617
2024-04-17,SH600000,0.99856883,0.99046135,0.97137296
2024-04-18,SH600000,0.9932086,0.99997175,0.9754727
2024-04-19,SH600000,0.9740913,0.99181515,0.9972192
2024-04-22,SH600000,0.98218435,0.9807996,0.99728245
2024-04-23,SH600000,0.9767688,0.97546655,0.99856883
2024-04-24,SH600000,0.97277474,0.9741208,0.9891263
2024-04-25,SH600000,0.96088254,0.9662681,0.9649528
2024-04-26,SH600000,0.96765035,0.95954895,0.96497405
2024-04-29,SH600000,0.97305393,0.96765035,0.9662623
2024-04-30,SH600000,0.935068,0.93767154,0.9298402
2024-05-06,SH600000,0.91338825,0.9172039,0.9069925
2024-05-07,SH600000,0.91688323,0.9169218,0.9181885
2024-05-08,SH600000,0.91670924,0.9192288,0.9256779
2024-05-09,SH600000,0.91288126,0.91670924,0.9231076
2024-05-10,SH600000,0.8929705,0.89674896,0.9030223
2024-05-13,SH600000,0.8906768,0.8907321,0.90072083
2024-05-14,SH600000,0.90477365,0.8996978,0.9073497
2024-05-15,SH600000,0.8973531,0.9036665,0.9024552
2024-05-16,SH600000,0.8803057,0.8828053,0.88408375
2024-05-17,SH600000,0.87376636,0.86516875,0.8688279
2024-05-20,SH600000,0.8558174,0.85700214,0.8569661
2024-05-21,SH600000,0.8420432,0.845612,0.8408312
2024-05-22,SH600000,0.83821315,0.8312413,0.82769465
2024-05-23,SH600000,0.8486229,0.83916295,0.8368671
2024-05-24,SH600000,0.85309315,0.85664773,0.84361285
2024-05-27,SH600000,0.84189135,0.8431271,0.8302389
2024-05-28,SH600000,0.84779435,0.84189135,0.8372023
2024-05-29,SH600000,0.86104214,0.8528079,0.8516469
2024-05-30,SH600000,0.866719,0.8702793,0.85721153
2024-05-31,SH600000,0.8776833,0.87294,0.8620988
2024-06-03,SH600000,0.88403416,0.88402843,0.87441975
2024-06-04,SH600000,0.8810319,0.8797938,0.87862796
2024-06-05,SH600000,0.8781167,0.88417846,0.8781587
2024-06-06,SH600000,0.8800004,0.882433,0.8872702
2024-06-07,SH600000,0.87839824,0.8735935,0.88081604
2024-06-11,SH600000,0.8981374,0.8956721,0.89940125
2024-06-12,SH600000,0.90631247,0.9025568,0.89763045
2024-06-13,SH600000,0.9175814,0.9040881,0.89295906
2024-06-14,SH600000,0.9090867,0.91642046,0.89673436
2024-06-17,SH600000,0.91731626,0.91363794,0.9037043
2024-06-18,SH600000,0.91472834,0.9184111,0.90854776
2024-06-19,SH600000,0.90025425,0.90026,0.9075225
2024-06-20,SH600000,0.90483016,0.9024448,0.90245056
2024-06-21,SH600000,0.91556126,0.9081806,0.90943897
2024-06-24,SH600000,0.92271084,0.9178028,0.9080098
2024-06-25,SH600000,0.9560839,0.9170615,0.9024448
2024-06-26,SH600000,0.9610463,0.9549596,0.9037661
2024-06-27,SH600000,0.95616186,0.9598422,0.90996933
2024-06-28,SH600000,0.9538307,0.95504016,0.9137623
2024-07-01,SH600000,0.94804716,0.94804716,0.9468679
2024-07-02,SH600000,0.93205076,0.92028975,0.9250034
2024-07-03,SH600000,0.9355624,0.93205076,0.92145663
2024-07-04,SH600000,0.9388435,0.93882114,0.9234953
2024-07-05,SH600000,0.9508486,0.95688564,0.94124246
2024-07-08,SH600000,0.95492166,0.94068456,0.9430814
2024-07-09,SH600000,0.94449824,0.93172973,0.9236439
2024-07-10,SH600000,0.9608628,0.9390416,0.9183296
2024-07-11,SH600000,0.97911835,0.97093093,0.9220975
2024-07-12,SH600000,0.9750853,0.95252657,0.9106312
2024-07-15,SH600000,0.96849024,0.97070324,0.918962
2024-07-16,SH600000,0.96956414,0.97067136,0.9424343
2024-07-17,SH600000,0.9468902,0.950235,0.9314347
2024-07-18,SH600000,0.9503266,0.94152725,0.9480936
2024-07-19,SH600000,0.94910455,0.9546521,0.95023763
2024-07-22,SH600000,0.96121544,0.96572536,0.96577543
2024-07-23,SH600000,0.9488902,0.9601038,0.9612629
2024-07-24,SH600000,0.9397779,0.9533001,0.9747559
2024-07-25,SH600000,0.94418657,0.94306505,0.9724812
2024-07-26,SH600000,0.96576613,0.96572053,0.9900154
2024-07-29,SH600000,0.9441995,0.9431315,0.95552045
2024-07-30,SH600000,0.9634986,0.9599909,0.9577208
2024-07-31,SH600000,0.96003103,0.9623591,0.95772576
2024-08-01,SH600000,0.9195985,0.9409737,0.93875855
2024-08-02,SH600000,0.9338626,0.9304514,0.95091313
2024-08-05,SH600000,0.94162756,0.9438952,0.96464074
2024-08-06,SH600000,0.955185,0.95759106,0.9786212
2024-08-07,SH600000,0.9460713,0.9471918,0.94838744
2024-08-08,SH600000,0.9508146,0.93815064,0.9438952
2024-08-09,SH600000,0.9340723,0.9340669,0.9250417
2024-08-12,SH600000,0.9252635,0.92866486,0.9173757
2024-08-13,SH600000,0.92082983,0.9241935,0.9152309
2024-08-14,SH600000,0.9286157,0.92296463,0.92973596
2024-08-15,SH600000,0.9082952,0.9105408,0.9116445
2024-08-16,SH600000,0.90467876,0.89701635,0.89702654
2024-08-19,SH600000,0.8865099,0.88761646,0.8769053
2024-08-20,SH600000,0.8985487,0.8974438,0.8931561
2024-08-21,SH600000,0.91937745,0.8935675,0.8860143
2024-08-22,SH600000,0.92066914,0.91424584,0.8885951
2024-08-23,SH600000,0.924943,0.9216853,0.88846684
2024-08-26,SH600000,0.92870414,0.9374239,0.9015641
2024-08-27,SH600000,0.92219925,0.92870414,0.92760503
2024-08-28,SH600000,0.9470697,0.9284962,0.9405005
2024-08-29,SH600000,0.9837781,0.9769859,0.97363836
2024-08-30,SH600000,0.99889296,0.9977617,0.97829247
2024-09-02,SH600000,1.0175043,1.0036979,0.97611314
2024-09-03,SH600000,1.0417376,1.0347333,1.0124979
2024-09-04,SH600000,1.0375961,1.0329534,1.0109402
2024-09-05,SH600000,1.0515342,1.0375961,1.0120864
2024-09-06,SH600000,1.0414718,1.0378265,1.0126333
2024-09-09,SH600000,1.0489471,1.0477221,1.0256063
2024-09-10,SH600000,1.0270702,1.0341592,1.0156921
2024-09-11,SH600000,1.0532856,1.058142,1.0604763
2024-09-12,SH600000,1.0248046,1.0259537,1.0365859
2024-09-13,SH600000,1.0275589,1.039511,1.0526909
2024-09-18,SH600000,1.0240303,1.0312395,1.0492195
2024-09-19,SH600000,1.0058607,1.0000023,1.0198979
2024-09-20,SH600000,1.003472,1.0070348,1.0199448
2024-09-23,SH600000,0.98026156,0.9895389,0.9942187
2024-09-24,SH600000,0.9471638,0.9306493,0.93730146
2024-09-25,SH600000,0.9062075,0.9072571,0.9030701
2024-09-26,SH600000,0.8658266,0.87395936,0.8678523
2024-09-27,SH600000,0.8561517,0.86321235,0.85712
2024-09-30,SH600000,0.8262218,0.8341654,0.84992796
2024-10-08,SH600000,0.8047389,0.7971047,0.8190268
2024-10-09,SH600000,0.8678495,0.8526874,0.85975105
2024-10-10,SH600000,0.8370185,0.834141,0.8195979
2024-10-11,SH600000,0.8533273,0.8493968,0.8237983
2024-10-14,SH600000,0.83170253,0.8336128,0.81247354
2024-10-15,SH600000,0.853662,0.8438942,0.8390421
2024-10-16,SH600000,0.8568576,0.84622955,0.8346061
2024-10-17,SH600000,0.88354945,0.86690396,0.8482989
2024-10-18,SH600000,0.89360815,0.88965666,0.8522051
2024-10-21,SH600000,0.88974875,0.8927344,0.8612262
2024-10-22,SH600000,0.89535666,0.8923663,0.8746081
2024-10-23,SH600000,0.88804746,0.890988,0.8870521
2024-10-24,SH600000,0.88759995,0.8915275,0.89448357
2024-10-25,SH600000,0.88695055,0.8929032,0.8968185
2024-10-28,SH600000,0.8876858,0.8887022,0.9016009
2024-10-29,SH600000,0.8839018,0.89391994,0.9049364
2024-10-30,SH600000,0.86720973,0.88831854,0.9054518
2024-10-31,SH600000,0.8637874,0.8760192,0.9085521
2024-11-01,SH600000,0.84808993,0.855101,0.8983868
