factor,registry_name,category,eligible,exclusion_reason,valid_rows,total_rows,coverage,missing_rate,min,max,mean,source_project,source_function,source_commit,license,required_fields
kunquant_alpha101_alpha013,alpha013,alpha101,True,,86139,89000,0.9678539325842697,0.03214606741573034,-1.0,-0.002004008016032064,-0.5010099954724342,kunquant_alpha101,alpha013,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha014,alpha014,alpha101,True,,86887,89000,0.9762584269662922,0.02374157303370783,-0.9851777399559547,0.9386667640552561,-0.11876858040148179,kunquant_alpha101,alpha014,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$open,$volume"
kunquant_alpha101_alpha015,alpha015,alpha101,True,,88000,89000,0.9887640449438202,0.011235955056179803,-3.0,-0.012,-1.503,kunquant_alpha101,alpha015,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$high,$volume"
kunquant_alpha101_alpha016,alpha016,alpha101,True,,86139,89000,0.9678539325842697,0.03214606741573034,-1.0,-0.002004008016032064,-0.5010099954724342,kunquant_alpha101,alpha016,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$high,$volume"
kunquant_alpha101_alpha017,alpha017,alpha101,True,,83295,89000,0.9358988764044944,0.06410112359550557,-0.9144609379725247,-1.2575350276963178e-05,-0.14373069840571423,kunquant_alpha101,alpha017,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha018,alpha018,alpha101,True,,86139,89000,0.9678539325842697,0.03214606741573034,-1.0,-0.002004008016032064,-0.5010099954724341,kunquant_alpha101,alpha018,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$open"
kunquant_alpha101_alpha019,alpha019,alpha101,False,zero_valid_rows,0,89000,0.0,1.0,,,,kunquant_alpha101,alpha019,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha020,alpha020,alpha101,True,,87862,89000,0.9872134831460674,0.012786516853932617,-1.0,-8.048192641925388e-09,-0.14716418585384108,kunquant_alpha101,alpha020,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$open"
kunquant_alpha101_alpha021,alpha021,alpha101,True,,89000,89000,1.0,0.0,-1.0,-1.0,-1.0,kunquant_alpha101,alpha021,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha022,alpha022,alpha101,True,,77649,89000,0.8724606741573033,0.12753932584269667,-1.8806189808948437,1.8669818453953313,-0.0041598715684535515,kunquant_alpha101,alpha022,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$volume"
kunquant_alpha101_alpha023,alpha023,alpha101,True,,89000,89000,1.0,0.0,0.0,0.0,0.0,kunquant_alpha101,alpha023,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$high
kunquant_alpha101_alpha024,alpha024,alpha101,True,,86830,89000,0.9756179775280899,0.024382022471910125,-59.98004150390625,65.18258666992188,-0.01738976128399372,kunquant_alpha101,alpha024,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha025,alpha025,alpha101,True,,77649,89000,0.8724606741573033,0.12753932584269667,0.002008032128514056,1.0,0.5010238380404126,kunquant_alpha101,alpha025,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$high,$volume"
kunquant_alpha101_alpha026,alpha026,alpha101,True,,88000,89000,0.9887640449438202,0.011235955056179803,-1.000000000000038,0.9583727150068323,-0.5881772580422635,kunquant_alpha101,alpha026,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$high,$volume"
kunquant_alpha101_alpha027,alpha027,alpha101,True,,89000,89000,1.0,0.0,1.0,1.0,1.0,kunquant_alpha101,alpha027,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$volume"
kunquant_alpha101_alpha028,alpha028,alpha101,True,,88438,89000,0.993685393258427,0.006314606741573026,-0.13188024651809413,0.10198052170301394,0.0003331687384940525,kunquant_alpha101,alpha028,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$volume"
kunquant_alpha101_alpha029,alpha029,alpha101,True,,82228,89000,0.9239101123595506,0.07608988764044944,1.002004008016032,6.0,3.3199201562319303,kunquant_alpha101,alpha029,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha030,alpha030,alpha101,True,,86712,89000,0.9742921348314607,0.02570786516853929,0.00040544533015705674,0.9949799196787149,0.16515638412482206,kunquant_alpha101,alpha030,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha031,alpha031,alpha101,True,,77649,89000,0.8724606741573033,0.12753932584269667,-0.995963570305563,2.9979879275653922,1.2825794639766968,kunquant_alpha101,alpha031,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$low,$volume"
kunquant_alpha101_alpha032,alpha032,alpha101,False,zero_valid_rows,0,89000,0.0,1.0,,,,kunquant_alpha101,alpha032,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$volume"
kunquant_alpha101_alpha033,alpha033,alpha101,True,,88438,89000,0.993685393258427,0.006314606741573026,0.002004008016032064,1.0,0.5010063547343901,kunquant_alpha101,alpha033,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$open"
kunquant_alpha101_alpha034,alpha034,alpha101,True,,87862,89000,0.9872134831460674,0.012786516853932617,0.002004008016032064,1.0,0.5010072613871753,kunquant_alpha101,alpha034,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha035,alpha035,alpha101,True,,70450,89000,0.7915730337078651,0.20842696629213486,-0.0,14880.0,2635.843580553584,kunquant_alpha101,alpha035,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$volume"
kunquant_alpha101_alpha036,alpha036,alpha101,False,zero_valid_rows,0,89000,0.0,1.0,,,,kunquant_alpha101,alpha036,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$open,$volume"
kunquant_alpha101_alpha037,alpha037,alpha101,False,zero_valid_rows,0,89000,0.0,1.0,,,,kunquant_alpha101,alpha037,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$open"
kunquant_alpha101_alpha038,alpha038,alpha101,True,,83295,89000,0.9358988764044944,0.06410112359550557,-0.9809315895372234,-1.6194331983805668e-05,-0.2485885565001025,kunquant_alpha101,alpha038,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$open"
kunquant_alpha101_alpha039,alpha039,alpha101,False,zero_valid_rows,0,89000,0.0,1.0,,,,kunquant_alpha101,alpha039,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha040,alpha040,alpha101,True,,83295,89000,0.9358988764044944,0.06410112359550557,-0.9664016552535071,0.9358878111134802,-0.2601109866068686,kunquant_alpha101,alpha040,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$high,$volume"
kunquant_alpha101_alpha041,alpha041,alpha101,True,,88438,89000,0.993685393258427,0.006314606741573026,0.03980819880962372,477.27960205078125,6.9846320152282715,kunquant_alpha101,alpha041,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$high,$low,$volume"
kunquant_alpha101_alpha042,alpha042,alpha101,True,,88438,89000,0.993685393258427,0.006314606741573026,0.002004008016032064,499.00000000000006,5.80013026744908,kunquant_alpha101,alpha042,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$volume"
kunquant_alpha101_alpha043,alpha043,alpha101,True,,77988,89000,0.8762696629213483,0.12373033707865166,1.0,160.0,43.86463302046469,kunquant_alpha101,alpha043,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha044,alpha044,alpha101,True,,89000,89000,1.0,0.0,-0.9999670554187828,0.999705149818099,-0.4189391603170879,kunquant_alpha101,alpha044,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$high,$volume"
kunquant_alpha101_alpha045,alpha045,alpha101,True,,73074,89000,0.8210561797752809,0.1789438202247191,-0.9898343373493976,0.9938301938301938,-0.043963020651985894,kunquant_alpha101,alpha045,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha046,alpha046,alpha101,True,,87895,89000,0.9875842696629213,0.012415730337078656,-11.373291015625,23.267990112304688,0.39502179622650146,kunquant_alpha101,alpha046,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha047,alpha047,alpha101,True,,89000,89000,1.0,0.0,-0.9998434682345334,28.894433799009523,0.5082979401880413,kunquant_alpha101,alpha047,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$high,$volume"
kunquant_alpha101_alpha049,alpha049,alpha101,True,,87863,89000,0.9872247191011236,0.012775280898876362,-30.10888671875,35.817169189453125,0.03596510738134384,kunquant_alpha101,alpha049,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha050,alpha050,alpha101,True,,87000,89000,0.9775280898876404,0.022471910112359605,-1.0,-0.01,-0.7281154712643679,kunquant_alpha101,alpha050,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$volume"
kunquant_alpha101_alpha051,alpha051,alpha101,True,,87866,89000,0.9872584269662922,0.01274157303370782,-30.10888671875,35.817169189453125,0.0752330794930458,kunquant_alpha101,alpha051,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha052,alpha052,alpha101,False,zero_valid_rows,0,89000,0.0,1.0,,,,kunquant_alpha101,alpha052,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$low,$volume"
kunquant_alpha101_alpha053,alpha053,alpha101,True,,83786,89000,0.9414157303370787,0.058584269662921296,-260328.734375,260329.6875,0.5555562376976013,kunquant_alpha101,alpha053,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low"
kunquant_alpha101_alpha054,alpha054,alpha101,True,,88438,89000,0.993685393258427,0.006314606741573026,-1.0,0.0,-0.4590184688568115,kunquant_alpha101,alpha054,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$open"
kunquant_alpha101_alpha055,alpha055,alpha101,True,,89000,89000,1.0,0.0,-0.9989256859751633,0.9936833400786813,-0.24671344063876322,kunquant_alpha101,alpha055,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$volume"
kunquant_alpha101_alpha057,alpha057,alpha101,True,,71491,89000,0.8032696629213483,0.19673033707865173,-13287.289894607717,-0.18265582712884187,-28.07023913059018,kunquant_alpha101,alpha057,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$volume"
kunquant_alpha101_alpha060,alpha060,alpha101,True,,83295,89000,0.9358988764044944,0.06410112359550557,-0.007954951358689719,0.003948749990706579,-0.001998412224310557,kunquant_alpha101,alpha060,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$volume"
kunquant_alpha101_alpha061,alpha061,alpha101,True,,89000,89000,1.0,0.0,0.0,0.0,0.0,kunquant_alpha101,alpha061,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$volume"
kunquant_alpha101_alpha062,alpha062,alpha101,True,,89000,89000,1.0,0.0,-1.0,0.0,-0.3463370786516854,kunquant_alpha101,alpha062,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$high,$low,$open,$volume"
kunquant_alpha101_alpha064,alpha064,alpha101,True,,89000,89000,1.0,0.0,-1.0,0.0,-0.0747752808988764,kunquant_alpha101,alpha064,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$high,$low,$open,$volume"
kunquant_alpha101_alpha065,alpha065,alpha101,True,,89000,89000,1.0,0.0,-1.0,0.0,-0.2888988764044944,kunquant_alpha101,alpha065,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$open,$volume"
kunquant_alpha101_alpha066,alpha066,alpha101,True,,52237,89000,0.5869325842696629,0.4130674157303371,-8.0,-1.0020120724346075,-4.509375743127219,kunquant_alpha101,alpha066,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$high,$low,$open,$volume"
kunquant_alpha101_alpha068,alpha068,alpha101,True,,89000,89000,1.0,0.0,0.0,0.0,0.0,kunquant_alpha101,alpha068,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$volume"
kunquant_alpha101_alpha071,alpha071,alpha101,True,,78211,89000,0.8787752808988764,0.12122471910112365,1.0,4.0,2.3106020892201866,kunquant_alpha101,alpha071,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$low,$open,$volume"
kunquant_alpha101_alpha072,alpha072,alpha101,True,,56345,89000,0.6330898876404495,0.3669101123595505,0.002459968219044127,453.4734693877551,2.7812287986193858,kunquant_alpha101,alpha072,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$high,$low,$volume"
kunquant_alpha101_alpha073,alpha073,alpha101,True,,77088,89000,0.8661573033707866,0.13384269662921344,-17.0,-1.0,-8.878061436280614,kunquant_alpha101,alpha073,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$low,$open,$volume"
kunquant_alpha101_alpha074,alpha074,alpha101,True,,89000,89000,1.0,0.0,-1.0,0.0,-0.26308988764044944,kunquant_alpha101,alpha074,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$high,$volume"
kunquant_alpha101_alpha075,alpha075,alpha101,True,,89000,89000,1.0,0.0,0.0,1.0,0.30941573033707864,kunquant_alpha101,alpha075,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$low,$volume"
kunquant_alpha101_alpha077,alpha077,alpha101,True,,86500,89000,0.9719101123595506,0.028089887640449396,0.002,1.0,0.3623222717687092,kunquant_alpha101,alpha077,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$high,$low,$volume"
kunquant_alpha101_alpha078,alpha078,alpha101,True,,53816,89000,0.6046741573033708,0.3953258426966292,0.0022023804362113655,1.0,0.693487413789956,kunquant_alpha101,alpha078,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$low,$volume"
kunquant_alpha101_alpha081,alpha081,alpha101,True,,89000,89000,1.0,0.0,-1.0,0.0,-0.26432584269662923,kunquant_alpha101,alpha081,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$volume"
kunquant_alpha101_alpha083,alpha083,alpha101,True,,84774,89000,0.9525168539325842,0.04748314606741577,-9008.657639498806,-0.0007208612091996521,-47.83321374337254,kunquant_alpha101,alpha083,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$high,$low,$volume"
kunquant_alpha101_alpha084,alpha084,alpha101,True,,69653,89000,0.7826179775280899,0.21738202247191007,5.1823490143218105e-27,2.954006326124468e+107,4.241032440992445e+102,kunquant_alpha101,alpha084,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$volume"
kunquant_alpha101_alpha085,alpha085,alpha101,True,,89000,89000,1.0,0.0,0.002063121693693684,0.9999899749666039,0.707149452700916,kunquant_alpha101,alpha085,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$volume"
kunquant_alpha101_alpha086,alpha086,alpha101,True,,89000,89000,1.0,0.0,0.0,0.0,0.0,kunquant_alpha101,alpha086,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$open,$volume"
kunquant_alpha101_alpha088,alpha088,alpha101,True,,84431,89000,0.9486629213483146,0.05133707865168535,0.002004008016032064,1.0,0.5010126612263267,kunquant_alpha101,alpha088,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$open,$volume"
kunquant_alpha101_alpha092,alpha092,alpha101,True,,80000,89000,0.898876404494382,0.101123595505618,1.0,11.5,4.0778625,kunquant_alpha101,alpha092,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$open,$volume"
kunquant_alpha101_alpha094,alpha094,alpha101,True,,82160,89000,0.9231460674157304,0.07685393258426965,-1.0,-1.4487690775766564e-07,-0.3495584591008224,kunquant_alpha101,alpha094,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$volume"
kunquant_alpha101_alpha095,alpha095,alpha101,True,,89000,89000,1.0,0.0,0.0,1.0,0.5139325842696629,kunquant_alpha101,alpha095,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$high,$low,$open,$volume"
kunquant_alpha101_alpha096,alpha096,alpha101,True,,70500,89000,0.7921348314606742,0.2078651685393258,-13.0,-1.0,-7.772347517730497,kunquant_alpha101,alpha096,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$volume"
kunquant_alpha101_alpha098,alpha098,alpha101,True,,66570,89000,0.7479775280898876,0.2520224719101124,-0.997946611909651,0.988,0.0014135128536450058,kunquant_alpha101,alpha098,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$open,$volume"
kunquant_alpha101_alpha099,alpha099,alpha101,True,,89000,89000,1.0,0.0,-1.0,0.0,-0.24408988764044945,kunquant_alpha101,alpha099,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$high,$low,$volume"
kunquant_alpha101_alpha101,alpha101,alpha101,True,,88438,89000,0.993685393258427,0.006314606741573026,-0.9998802542686462,0.9999457001686096,-0.013779526576399803,kunquant_alpha101,alpha101,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$high,$low,$open"
