outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha158_BETA30,alpha158_CORD20,0.722083851653384
split_001,alpha158_BETA5,alpha158_CORD20,0.24991718940935773
split_001,alpha158_CNTD30,alpha158_CORD20,0.6866498713547727
split_001,alpha158_CNTP20,alpha158_CORD20,0.7144731308514548
split_001,alpha158_CNTP30,alpha158_CORD20,0.696536643719864
split_001,alpha158_CORD10,alpha158_CORD20,0.792054177076624
split_001,alpha158_CORD20,alpha158_CORD20,1.0
split_001,alpha158_CORD30,alpha158_CORD20,0.897031336149349
split_001,alpha158_CORD5,alpha158_CORD20,0.5446191878799282
split_001,alpha158_CORD60,alpha158_CORD20,0.65175572122141
split_001,alpha158_CORR10,alpha158_CORD20,0.8163876248625296
split_001,alpha158_CORR20,alpha158_CORD20,0.795502281948417
split_001,alpha158_CORR5,alpha158_CORD20,0.665364292888153
split_001,alpha158_HIGH0,alpha158_CORD20,0.2125066373110561
split_001,alpha158_IMAX20,alpha158_CORD20,0.7826835402458935
split_001,alpha158_IMAX30,alpha158_CORD20,0.7499185027995313
split_001,alpha158_IMIN20,alpha158_CORD20,-0.717359292356096
split_001,alpha158_IMXD20,alpha158_CORD20,0.7866293395818541
split_001,alpha158_KLEN,alpha158_CORD20,0.324764883056007
split_001,alpha158_KLOW,alpha158_CORD20,0.15131324275229757
split_001,alpha158_KUP,alpha158_CORD20,0.34398876059657935
split_001,alpha158_LOW0,alpha158_CORD20,-0.25537521010892295
split_001,alpha158_MA10,alpha158_CORD20,-0.38020142044487476
split_001,alpha158_BETA10,alpha158_CORD30,0.40485185092860704
split_001,alpha158_BETA20,alpha158_CORD30,0.5706183628564682
split_001,alpha158_BETA30,alpha158_CORD30,0.683624142041271
split_001,alpha158_BETA5,alpha158_CORD30,0.19229318728434602
split_001,alpha158_CNTD30,alpha158_CORD30,0.7141132887477575
split_001,alpha158_CNTP20,alpha158_CORD30,0.6103292240303227
split_001,alpha158_CNTP30,alpha158_CORD30,0.7251736422427022
split_001,alpha158_CORD10,alpha158_CORD30,0.6590211276231953
split_001,alpha158_CORD20,alpha158_CORD30,0.897031336149349
split_001,alpha158_CORD30,alpha158_CORD30,1.0
split_001,alpha158_CORD5,alpha158_CORD30,0.4406239621872289
split_001,alpha158_CORD60,alpha158_CORD30,0.7520998562507857
split_001,alpha158_CORR10,alpha158_CORD30,0.7485194474219089
split_001,alpha158_CORR20,alpha158_CORD30,0.7958113575013208
split_001,alpha158_CORR5,alpha158_CORD30,0.5722521130169564
split_001,alpha158_HIGH0,alpha158_CORD30,0.2366695856093179
split_001,alpha158_IMAX20,alpha158_CORD30,0.6708501628201757
split_001,alpha158_IMAX30,alpha158_CORD30,0.7659694709155107
split_001,alpha158_IMIN20,alpha158_CORD30,-0.5879136475445098
split_001,alpha158_IMXD20,alpha158_CORD30,0.6593085992479367
split_001,alpha158_KLEN,alpha158_CORD30,0.33309649423997995
split_001,alpha158_KLOW,alpha158_CORD30,0.1437134847377361
split_001,alpha158_KUP,alpha158_CORD30,0.3399498981854577
split_001,alpha158_LOW0,alpha158_CORD30,-0.2259848885079164
split_001,alpha158_MA10,alpha158_CORD30,-0.304479062550341
split_001,alpha158_BETA10,alpha158_CORD5,0.6752154696991506
split_001,alpha158_BETA20,alpha158_CORD5,0.3924489178335066
split_001,alpha158_BETA30,alpha158_CORD5,0.33481499827248984
split_001,alpha158_BETA5,alpha158_CORD5,0.6593054095860864
split_001,alpha158_CNTD30,alpha158_CORD5,0.3911957023729208
split_001,alpha158_CNTP20,alpha158_CORD5,0.4591593820418821
split_001,alpha158_CNTP30,alpha158_CORD5,0.38159985933323204
split_001,alpha158_CORD10,alpha158_CORD5,0.7371520018612615
split_001,alpha158_CORD20,alpha158_CORD5,0.5446191878799282
split_001,alpha158_CORD30,alpha158_CORD5,0.4406239621872289
split_001,alpha158_CORD5,alpha158_CORD5,1.0
split_001,alpha158_CORD60,alpha158_CORD5,0.3239192206074671
split_001,alpha158_CORR10,alpha158_CORD5,0.5563818030595558
split_001,alpha158_CORR20,alpha158_CORD5,0.40483957475106563
split_001,alpha158_CORR5,alpha158_CORD5,0.7479248301237026
split_001,alpha158_HIGH0,alpha158_CORD5,0.05036837913982593
split_001,alpha158_IMAX20,alpha158_CORD5,0.4389118374784195
split_001,alpha158_IMAX30,alpha158_CORD5,0.3570673927301978
split_001,alpha158_IMIN20,alpha158_CORD5,-0.45577011168909215
split_001,alpha158_IMXD20,alpha158_CORD5,0.4623117328896755
split_001,alpha158_KLEN,alpha158_CORD5,0.21455279198606841
split_001,alpha158_KLOW,alpha158_CORD5,0.07009279235596197
split_001,alpha158_KUP,alpha158_CORD5,0.2689290482504705
split_001,alpha158_LOW0,alpha158_CORD5,-0.2791418362213175
split_001,alpha158_MA10,alpha158_CORD5,-0.7307943356966315
split_001,alpha158_BETA10,alpha158_CORD60,0.2742461609471205
split_001,alpha158_BETA20,alpha158_CORD60,0.33792867111986347
split_001,alpha158_BETA30,alpha158_CORD60,0.3802091667665111
split_001,alpha158_BETA5,alpha158_CORD60,0.12912429308114098
split_001,alpha158_CNTD30,alpha158_CORD60,0.5109803171059957
split_001,alpha158_CNTP20,alpha158_CORD60,0.461149972271385
split_001,alpha158_CNTP30,alpha158_CORD60,0.5181745592034744
split_001,alpha158_CORD10,alpha158_CORD60,0.495520669410848
split_001,alpha158_CORD20,alpha158_CORD60,0.65175572122141
split_001,alpha158_CORD30,alpha158_CORD60,0.7520998562507857
split_001,alpha158_CORD5,alpha158_CORD60,0.3239192206074671
split_001,alpha158_CORD60,alpha158_CORD60,1.0
split_001,alpha158_CORR10,alpha158_CORD60,0.6697013752803351
split_001,alpha158_CORR20,alpha158_CORD60,0.7493189267833226
split_001,alpha158_CORR5,alpha158_CORD60,0.4993404368979011
split_001,alpha158_HIGH0,alpha158_CORD60,0.21443836621767484
split_001,alpha158_IMAX20,alpha158_CORD60,0.4594747833107243
split_001,alpha158_IMAX30,alpha158_CORD60,0.488298068807171
split_001,alpha158_IMIN20,alpha158_CORD60,-0.349869478501009
split_001,alpha158_IMXD20,alpha158_CORD60,0.41684377331100037
split_001,alpha158_KLEN,alpha158_CORD60,0.31263175782800645
split_001,alpha158_KLOW,alpha158_CORD60,0.11346468843302634
split_001,alpha158_KUP,alpha158_CORD60,0.2966675270712498
split_001,alpha158_LOW0,alpha158_CORD60,-0.1973267953306567
split_001,alpha158_MA10,alpha158_CORD60,-0.21643252136336333
split_001,alpha158_BETA10,alpha158_CORR10,0.4469301380962758
split_001,alpha158_BETA20,alpha158_CORR10,0.4997257158847572
split_001,alpha158_BETA30,alpha158_CORR10,0.49297333576712576
split_001,alpha158_BETA5,alpha158_CORR10,0.233701216601359
split_001,alpha158_CNTD30,alpha158_CORR10,0.5763614964392384
split_001,alpha158_CNTP20,alpha158_CORR10,0.5850508858280644
split_001,alpha158_CNTP30,alpha158_CORR10,0.590093821624996
split_001,alpha158_CORD10,alpha158_CORR10,0.7950525932352901
split_001,alpha158_CORD20,alpha158_CORR10,0.8163876248625296
split_001,alpha158_CORD30,alpha158_CORR10,0.7485194474219089
split_001,alpha158_CORD5,alpha158_CORR10,0.5563818030595558
split_001,alpha158_CORD60,alpha158_CORR10,0.6697013752803351
split_001,alpha158_CORR10,alpha158_CORR10,1.0
