outer_split_id,left_factor,right_factor,distance
split_001,alpha158_CORR20,alpha158_CORR20,0.0
split_001,alpha158_CORR5,alpha158_CORR20,0.5364794764879511
split_001,alpha158_HIGH0,alpha158_CORR20,0.8530298997804382
split_001,alpha158_IMAX20,alpha158_CORR20,0.6398658182952979
split_001,alpha158_IMAX30,alpha158_CORR20,0.5862530726540102
split_001,alpha158_IMIN20,alpha158_CORR20,0.7828953839831119
split_001,alpha158_IMXD20,alpha158_CORR20,0.6817274656871908
split_001,alpha158_KLEN,alpha158_CORR20,0.8251040296597643
split_001,alpha158_KLOW,alpha158_CORR20,0.9091586954983145
split_001,alpha158_KUP,alpha158_CORR20,0.8114335318853618
split_001,alpha158_LOW0,alpha158_CORR20,0.8995639411201499
split_001,alpha158_MA10,alpha158_CORR20,0.8355956481003751
split_001,alpha158_BETA10,alpha158_CORR5,0.5678229117454344
split_001,alpha158_BETA20,alpha158_CORR5,0.6939531691734234
split_001,alpha158_BETA30,alpha158_CORR5,0.7440435200591529
split_001,alpha158_BETA5,alpha158_CORR5,0.6136385628804721
split_001,alpha158_CNTD30,alpha158_CORR5,0.726004336935623
split_001,alpha158_CNTP20,alpha158_CORR5,0.666556355432208
split_001,alpha158_CNTP30,alpha158_CORR5,0.7128409875068814
split_001,alpha158_CORD10,alpha158_CORR5,0.3421650733864581
split_001,alpha158_CORD20,alpha158_CORR5,0.4771974052966097
split_001,alpha158_CORD30,alpha158_CORR5,0.5543774039358911
split_001,alpha158_CORD5,alpha158_CORR5,0.2912348769076727
split_001,alpha158_CORD60,alpha158_CORR5,0.6314500458874218
split_001,alpha158_CORR10,alpha158_CORR5,0.3397869044633237
split_001,alpha158_CORR20,alpha158_CORR5,0.5364794764879511
split_001,alpha158_CORR5,alpha158_CORR5,0.0
split_001,alpha158_HIGH0,alpha158_CORR5,0.8988533808198903
split_001,alpha158_IMAX20,alpha158_CORR5,0.6539829741977742
split_001,alpha158_IMAX30,alpha158_CORR5,0.7187190849208951
split_001,alpha158_IMIN20,alpha158_CORR5,0.7052903666148527
split_001,alpha158_IMXD20,alpha158_CORR5,0.6271374553991608
split_001,alpha158_KLEN,alpha158_CORR5,0.7469288385320527
split_001,alpha158_KLOW,alpha158_CORR5,0.9177682009314299
split_001,alpha158_KUP,alpha158_CORR5,0.7447039187064127
split_001,alpha158_LOW0,alpha158_CORR5,0.7230665189910087
split_001,alpha158_MA10,alpha158_CORR5,0.511914355102098
split_001,alpha158_BETA10,alpha158_HIGH0,0.9337767389764626
split_001,alpha158_BETA20,alpha158_HIGH0,0.8690656499693761
split_001,alpha158_BETA30,alpha158_HIGH0,0.837045829764934
split_001,alpha158_BETA5,alpha158_HIGH0,0.8925183442732812
split_001,alpha158_CNTD30,alpha158_HIGH0,0.9369476360590171
split_001,alpha158_CNTP20,alpha158_HIGH0,0.9009069039488592
split_001,alpha158_CNTP30,alpha158_HIGH0,0.8555293217138388
split_001,alpha158_CORD10,alpha158_HIGH0,0.8810709613239462
split_001,alpha158_CORD20,alpha158_HIGH0,0.8731663693571111
split_001,alpha158_CORD30,alpha158_HIGH0,0.8486848050741678
split_001,alpha158_CORD5,alpha158_HIGH0,0.9694941673868607
split_001,alpha158_CORD60,alpha158_HIGH0,0.8628002675701498
split_001,alpha158_CORR10,alpha158_HIGH0,0.8340353583141886
split_001,alpha158_CORR20,alpha158_HIGH0,0.8530298997804382
split_001,alpha158_CORR5,alpha158_HIGH0,0.8988533808198903
split_001,alpha158_HIGH0,alpha158_HIGH0,0.0
split_001,alpha158_IMAX20,alpha158_HIGH0,0.8402855998551635
split_001,alpha158_IMAX30,alpha158_HIGH0,0.8500599644992933
split_001,alpha158_IMIN20,alpha158_HIGH0,0.9308091544496221
split_001,alpha158_IMXD20,alpha158_HIGH0,0.8629668593567755
split_001,alpha158_KLEN,alpha158_HIGH0,0.3976981998950755
split_001,alpha158_KLOW,alpha158_HIGH0,0.744467352312783
split_001,alpha158_KUP,alpha158_HIGH0,0.3657673035198592
split_001,alpha158_LOW0,alpha158_HIGH0,0.8730457585383048
split_001,alpha158_MA10,alpha158_HIGH0,0.844291841963645
split_001,alpha158_BETA10,alpha158_IMAX20,0.4810270915826921
split_001,alpha158_BETA20,alpha158_IMAX20,0.2200622675285724
split_001,alpha158_BETA30,alpha158_IMAX20,0.2948880967531966
split_001,alpha158_BETA5,alpha158_IMAX20,0.7478301481727484
split_001,alpha158_CNTD30,alpha158_IMAX20,0.4236955791688748
split_001,alpha158_CNTP20,alpha158_IMAX20,0.3281089392583969
split_001,alpha158_CNTP30,alpha158_IMAX20,0.4318910427943319
split_001,alpha158_CORD10,alpha158_IMAX20,0.4791512971715266
split_001,alpha158_CORD20,alpha158_IMAX20,0.3955282980218333
split_001,alpha158_CORD30,alpha158_IMAX20,0.5188658127501596
split_001,alpha158_CORD5,alpha158_IMAX20,0.6627771438704233
split_001,alpha158_CORD60,alpha158_IMAX20,0.6999824749951213
