outer_split_id,variant_id,variant_type,date_count,row_coverage,mean_rank_ic,rank_ic_std,rank_ic_ir_annualized,positive_ic_fraction,quintile_1_mean_label,quintile_2_mean_label,quintile_3_mean_label,quintile_4_mean_label,quintile_5_mean_label,quintile_5_minus_1,nondecreasing_quintile_steps,top50_five_day_one_way_turnover,mean_size_rank_corr,mean_turnover_rank_corr,mean_idiosyncratic_volatility_rank_corr,evidence_class
split_001,low_risk_lottery,sleeve,120,0.9582885383070398,-0.06840452505492174,0.3002632480573911,-3.6164538221251337,0.43333333333333335,0.08784515410661697,0.08100325614213943,0.07045570760965347,0.056446172297000885,0.03156639263033867,-0.056278761476278305,0,0.21826086956521742,0.4403735661554341,-0.6677604513235647,-0.8158966329868312,post_observation_research_diagnostic_only
split_001,value_profitability,archetype,120,1.0,-0.09062093973189557,0.2979090744420732,-4.828865395683436,0.31666666666666665,0.08953077346086502,0.0849868506193161,0.06845889240503311,0.04937637597322464,0.03247903287410736,-0.05705174058675766,0,0.10608695652173915,0.42633135149503093,-0.4462500660454007,-0.4416553753712459,post_observation_research_diagnostic_only
split_001,fundamental_value,archetype,120,1.0,-0.08962215278701564,0.27329772419692216,-5.205705878454178,0.31666666666666665,0.09117572754621506,0.08058546483516693,0.06715817749500275,0.05350593850016594,0.03240592032670975,-0.05876980721950531,0,0.09826086956521742,0.40381205327719566,-0.39465290210202536,-0.385771580037745,post_observation_research_diagnostic_only
split_001,speculation_reversal,archetype,120,0.9999333283329583,0.06204342326629723,0.10582060219558659,9.307344602689518,0.7583333333333333,0.060897983610630035,0.06462536752223969,0.06528451293706894,0.06662977486848831,0.06732819974422455,0.006430216133594513,4,0.8686956521739131,0.05733438145011778,-0.41818440720165706,-0.03839317593385377,post_observation_research_diagnostic_only
split_001,trading_mispricing,archetype,120,0.9986665666591661,0.016802968388532225,0.12868864342836728,2.0727458675162156,0.5916666666666667,0.06789688020944595,0.06700918078422546,0.0670522004365921,0.06580470502376556,0.05697651579976082,-0.010920364409685135,1,0.8286956521739132,0.25891117173184036,-0.4816184643138394,-0.0800994168299613,post_observation_research_diagnostic_only
split_001,value_low_risk,archetype,120,0.9999749981248593,-0.08354719350566954,0.3175023874812742,-4.1771987638945705,0.4083333333333333,0.0903402790427208,0.08380598574876785,0.07083182036876678,0.05177949368953705,0.028082402423024178,-0.06225787661969662,0,0.16086956521739132,0.44333512363371474,-0.624760864853368,-0.7326457222220469,post_observation_research_diagnostic_only
split_001,trend_flow_confirmation,archetype,120,0.9986665666591661,-0.1305438630564894,0.15152036557389956,-13.676838576449626,0.20833333333333334,0.07986171543598175,0.0786932185292244,0.07382973283529282,0.059213776141405106,0.03317781537771225,-0.0466839000582695,0,0.7278260869565218,0.43106800042436105,-0.1555413221065019,-0.13740360621749045,post_observation_research_diagnostic_only
split_001,diversified_economic,archetype,120,0.9999166604161979,-0.08317892031195494,0.30168936987205447,-4.376768148542122,0.3416666666666667,0.08950257301330566,0.08280662447214127,0.07173711806535721,0.051981113851070404,0.028801484033465385,-0.06070108897984028,0,0.5504347826086956,0.4813667790126396,-0.6327443769562111,-0.5223475263305762,post_observation_research_diagnostic_only
split_002,value,sleeve,124,0.9977574496232838,0.03571949149773242,0.21657335185330462,2.6181861429941393,0.5,0.02296913042664528,0.02795170061290264,0.02723979763686657,0.027432410046458244,0.021207334473729134,-0.0017617959529161453,2,0.09916666666666667,0.3699097382386062,-0.4636155564725976,-0.5146307993897322,post_observation_research_diagnostic_only
split_002,profitability,sleeve,124,1.0,0.019587958118481536,0.12837826829002827,2.4221326504873706,0.5725806451612904,0.022057773545384407,0.023151827976107597,0.02806997112929821,0.02678881771862507,0.026714274659752846,0.004656501114368439,2,0.04166666666666668,0.3254073473488082,-0.1931318265791547,-0.1691433841396514,post_observation_research_diagnostic_only
