datetime,variant_id,rank_ic,n,outer_split_id
2024-11-18,trend_flow_confirmation,-0.059887208863034225,1991,split_001
2024-11-19,trend_flow_confirmation,-0.04638515255370211,1993,split_001
2024-11-20,trend_flow_confirmation,0.018711962163443036,1994,split_001
2024-11-21,trend_flow_confirmation,-0.061031812613852786,1994,split_001
2024-11-22,trend_flow_confirmation,0.008053712364970683,1993,split_001
2024-11-25,trend_flow_confirmation,-0.004547073035711165,1994,split_001
2024-11-26,trend_flow_confirmation,0.011277395767305878,1995,split_001
2024-11-27,trend_flow_confirmation,0.032633847865027356,1993,split_001
2024-11-28,trend_flow_confirmation,0.0042973589549405115,1991,split_001
2024-11-29,trend_flow_confirmation,0.0790339179622814,1991,split_001
2024-12-02,trend_flow_confirmation,0.11144830181926615,1994,split_001
2024-12-03,trend_flow_confirmation,0.07204566254411093,1991,split_001
2024-12-04,trend_flow_confirmation,0.1599788518709341,1992,split_001
2024-12-05,trend_flow_confirmation,0.02990831527858173,1991,split_001
2024-12-06,trend_flow_confirmation,0.09244221967833437,1994,split_001
2024-12-09,trend_flow_confirmation,0.16507579413870502,1994,split_001
2024-12-10,trend_flow_confirmation,0.09245853833378613,1993,split_001
2024-12-11,trend_flow_confirmation,0.17737572810393287,1992,split_001
2024-12-12,trend_flow_confirmation,0.17052852550974873,1994,split_001
2024-12-13,trend_flow_confirmation,0.09572890959616238,1995,split_001
2024-12-16,trend_flow_confirmation,0.08077254934535587,1994,split_001
2024-12-17,trend_flow_confirmation,0.1499960379767976,1995,split_001
2024-12-18,trend_flow_confirmation,0.10839488405872241,1996,split_001
2024-12-19,trend_flow_confirmation,0.16023103122489843,1996,split_001
2024-12-20,trend_flow_confirmation,0.1424940064204918,1995,split_001
2024-12-23,trend_flow_confirmation,0.18208100878583386,1996,split_001
2024-12-24,trend_flow_confirmation,0.10387472763396556,1997,split_001
2024-12-25,trend_flow_confirmation,0.10437503645596424,1996,split_001
2024-12-26,trend_flow_confirmation,0.1985426121095412,1994,split_001
2024-12-27,trend_flow_confirmation,-0.022749297077886834,1991,split_001
2024-12-30,trend_flow_confirmation,-0.08528890199246514,1990,split_001
