outer_split_id,inner_split_id,factor,frozen_direction
split_001,split_001_inner_001,alpha360_LOW2,1
split_001,split_001_inner_001,alpha360_LOW20,1
split_001,split_001_inner_001,alpha360_LOW21,1
split_001,split_001_inner_001,alpha360_LOW22,1
split_001,split_001_inner_001,alpha360_LOW23,1
split_001,split_001_inner_001,alpha360_LOW24,1
split_001,split_001_inner_001,alpha360_LOW25,1
split_001,split_001_inner_001,alpha360_LOW26,1
split_001,split_001_inner_001,alpha360_LOW27,1
split_001,split_001_inner_001,alpha360_LOW28,1
split_001,split_001_inner_001,alpha360_LOW29,1
split_001,split_001_inner_001,alpha360_LOW3,1
split_001,split_001_inner_001,alpha360_LOW30,1
split_001,split_001_inner_001,alpha360_LOW31,1
split_001,split_001_inner_001,alpha360_LOW32,1
split_001,split_001_inner_001,alpha360_LOW33,1
split_001,split_001_inner_001,alpha360_LOW34,1
split_001,split_001_inner_001,alpha360_LOW35,1
split_001,split_001_inner_001,alpha360_LOW36,1
split_001,split_001_inner_001,alpha360_LOW37,1
split_001,split_001_inner_001,alpha360_LOW38,1
split_001,split_001_inner_001,alpha360_LOW39,1
split_001,split_001_inner_001,alpha360_LOW4,1
split_001,split_001_inner_001,alpha360_LOW40,1
split_001,split_001_inner_001,alpha360_LOW41,1
split_001,split_001_inner_001,alpha360_LOW42,1
split_001,split_001_inner_001,alpha360_LOW43,1
split_001,split_001_inner_001,alpha360_LOW44,1
split_001,split_001_inner_001,alpha360_LOW45,1
split_001,split_001_inner_001,alpha360_LOW46,1
split_001,split_001_inner_001,alpha360_LOW47,1
split_001,split_001_inner_001,alpha360_LOW48,1
split_001,split_001_inner_001,alpha360_LOW49,1
split_001,split_001_inner_001,alpha360_LOW5,1
split_001,split_001_inner_001,alpha360_LOW50,1
split_001,split_001_inner_001,alpha360_LOW51,1
split_001,split_001_inner_001,alpha360_LOW52,1
split_001,split_001_inner_001,alpha360_LOW53,1
split_001,split_001_inner_001,alpha360_LOW54,1
split_001,split_001_inner_001,alpha360_LOW55,1
split_001,split_001_inner_001,alpha360_LOW56,1
split_001,split_001_inner_001,alpha360_LOW57,1
split_001,split_001_inner_001,alpha360_LOW58,1
split_001,split_001_inner_001,alpha360_LOW59,1
split_001,split_001_inner_001,alpha360_LOW6,1
split_001,split_001_inner_001,alpha360_LOW7,1
split_001,split_001_inner_001,alpha360_LOW8,1
split_001,split_001_inner_001,alpha360_LOW9,1
split_001,split_001_inner_001,alpha360_OPEN0,1
split_001,split_001_inner_001,alpha360_OPEN1,1
split_001,split_001_inner_001,alpha360_OPEN10,1
split_001,split_001_inner_001,alpha360_OPEN11,1
split_001,split_001_inner_001,alpha360_OPEN12,1
split_001,split_001_inner_001,alpha360_OPEN13,1
split_001,split_001_inner_001,alpha360_OPEN14,1
split_001,split_001_inner_001,alpha360_OPEN15,1
split_001,split_001_inner_001,alpha360_OPEN16,1
split_001,split_001_inner_001,alpha360_OPEN17,1
split_001,split_001_inner_001,alpha360_OPEN18,1
split_001,split_001_inner_001,alpha360_OPEN19,1
split_001,split_001_inner_001,alpha360_OPEN2,1
split_001,split_001_inner_001,alpha360_OPEN20,1
split_001,split_001_inner_001,alpha360_OPEN21,1
split_001,split_001_inner_001,alpha360_OPEN22,1
split_001,split_001_inner_001,alpha360_OPEN23,1
split_001,split_001_inner_001,alpha360_OPEN24,1
