date,instrument,baostock_tradestatus,baostock_isST,community_missing,open_relative_error,high_relative_error,low_relative_error,close_relative_error,volume_relative_error,amount_relative_error
2015-01-29,SH600000,1,0,False,1.8713413687108832e-09,8.549531328126355e-08,6.205893539590831e-08,3.865300559205693e-08,5.036783193519742e-08,2.3288223940058223e-08
2015-01-30,SH600000,1,0,False,2.9006053343395917e-08,6.38794146087151e-08,1.9000281385379774e-09,1.5556069862339937e-08,1.7689551425919533e-08,8.604291928831059e-09
2020-08-24,SH600000,1,0,False,4.46317278940584e-08,4.46317278940584e-08,8.493069848935287e-08,1.8475143998051058e-08,3.4259932818996615e-08,1.4917253022298286e-08
2020-08-25,SH600000,1,0,False,1.5620330304879196e-08,1.9253349522572185e-08,6.530395155150945e-08,1.1966451986674447e-08,7.546751176862933e-08,2.448738106405728e-09
2020-08-26,SH600000,1,0,False,2.743980998146941e-08,1.4685831285770079e-08,5.5466669024826403e-08,2.970787520409515e-08,1.8064106838395186e-08,2.6091795067699466e-08
2020-08-27,SH600000,1,0,False,7.666331196497701e-09,4.372336082935336e-08,1.3218690397229075e-08,2.7459116247570825e-09,2.369570190197877e-10,4.8792357859752804e-08
2020-08-28,SH600000,1,0,False,7.962844751797612e-08,1.8475143998051058e-08,3.80391691418773e-08,1.8475143998051058e-08,5.019786408920926e-08,2.592187807558731e-08
2023-08-28,SH600000,1,0,False,3.494069240940611e-08,8.898934631079622e-08,8.597765870041869e-08,5.899883447370001e-08,3.403380146492096e-08,2.678186439003229e-08
2023-08-29,SH600000,1,0,False,3.270005426930172e-08,3.270005426930172e-08,4.032851650223976e-08,3.593768338079776e-08,1.7334273470477998e-08,2.332509351806323e-08
2019-07-22,SH688001,1,0,False,1.1196043691029855e-08,6.172177915791227e-08,5.875165648810725e-08,2.4214386299873852e-08,4.976404424907415e-09,3.316974853655401e-09
2019-07-23,SH688001,1,0,False,3.084559346601272e-08,4.221464895491777e-08,2.6412646924571183e-08,2.015349120686051e-08,2.6005332432050076e-08,2.1673882318766773e-08
2019-07-24,SH688001,1,0,False,2.1140451080228655e-09,2.1792733522111727e-08,2.1140451080228655e-09,3.210459737946337e-08,6.5653795064800185e-09,1.1176225198970743e-08
2019-07-25,SH688001,1,0,False,4.113135414343859e-08,8.101630349211908e-08,1.7654482556443662e-08,3.4956513696587846e-08,5.664541058127497e-08,2.990273264161183e-08
2019-07-26,SH688001,1,0,False,7.657541037478613e-09,7.657541037478613e-09,1.9637664997206812e-08,1.4284200930910873e-08,7.821835527549381e-08,5.314710951496457e-09
2015-01-05,SZ300001,1,0,False,4.198600823864037e-08,1.6699516575328503e-08,7.263490577052156e-09,1.4257962825412101e-08,2.0768933513744264e-08,1.6333845259274117e-09
2015-01-06,SZ300001,1,0,False,4.599161808732657e-08,6.129447514015441e-09,4.871479068397017e-08,1.0428679458457807e-08,1.6382328832050294e-08,5.076079673009506e-09
2015-01-07,SZ300001,1,0,False,2.6919505309626055e-08,2.1738525943760018e-08,9.251337878214112e-08,4.0696327566031505e-08,6.665648505049081e-08,1.786626119761706e-08
2015-01-08,SZ300001,1,0,False,8.280645588077193e-09,7.338879529767505e-08,5.062833836680021e-08,1.6867373830595217e-09,5.862886269432524e-08,6.630338493950331e-10
2015-01-09,SZ300001,1,0,False,1.2473010654966485e-08,2.5269377588992477e-08,8.322387510024963e-08,1.6867373830595217e-09,3.4315220032675266e-08,2.7349566356511347e-08
2015-01-12,SZ300001,1,0,False,3.1561020440757198e-09,2.2762148840845457e-08,3.5118382849557006e-08,3.4451288816275093e-09,3.756762971881517e-08,3.6823650710929715e-08
2015-01-13,SZ300001,1,0,False,6.046716536969531e-08,4.010629544049356e-09,2.99446491782327e-08,1.4257962825412101e-08,3.9529588003539306e-08,4.556469539727739e-08
2015-01-14,SZ300001,1,0,False,4.849773187031995e-08,2.8537198091161007e-08,2.0422764744871775e-08,1.2962150755061366e-08,2.3512393220855435e-08,4.005639865530387e-08
2015-01-15,SZ300001,1,0,False,4.7232497770883916e-08,2.7048662275882463e-08,4.0912683109062505e-08,1.3557890294317722e-08,1.386786283947573e-08,7.519843042226498e-09
2015-01-16,SZ300001,1,0,False,1.585917027185091e-08,8.160543998907723e-09,1.267139728711231e-08,1.5252492767784056e-08,3.1963063825971853e-08,2.860304655675108e-08
2015-01-19,SZ300001,1,0,False,2.911322859251576e-09,3.05402155069381e-08,2.191923257740816e-08,9.310202971437896e-09,2.087638407891046e-08,9.402481486286315e-09
2015-01-20,SZ300001,1,0,False,2.911322859251576e-09,1.5010327393950552e-08,9.224308098383745e-09,2.6584555643875132e-08,2.5189271496362642e-08,1.1691398853535376e-08
2015-01-21,SZ300001,1,0,False,6.000095393522568e-08,4.361399988626907e-08,4.672898540028343e-08,1.0337067846080897e-08,5.208630130721888e-08,5.540765528566093e-09
2015-01-22,SZ300001,1,0,False,7.843849007268327e-08,8.301494342082148e-09,2.1520441889031162e-08,7.934694424836094e-08,3.0529124969008135e-08,2.7871634937959296e-08
2015-01-23,SZ300001,1,0,False,7.837479454030035e-08,4.028644412088016e-08,1.2073701294399036e-08,3.426035353766083e-08,6.311304649987349e-08,4.782052618698376e-08
2015-01-26,SZ300001,1,0,False,3.323454385445119e-09,3.480551292849495e-09,1.5010327192153787e-08,2.6584555643875132e-08,1.6656953892791205e-08,2.291068190015624e-09
2015-01-27,SZ300001,1,0,False,3.084461047222863e-08,1.5010327253154363e-08,3.8441082252331134e-08,2.6584555643875132e-08,1.537193394671159e-08,1.3613883966828759e-08
2015-01-28,SZ300001,1,0,False,8.071172192213247e-08,1.8283087387368072e-08,6.407166127734477e-08,7.326365984313361e-08,7.554003651216842e-08,1.1890907016270114e-08
2015-01-29,SZ300001,1,0,False,5.1395237810032177e-08,5.1395237810032177e-08,2.7649960315898115e-08,1.552085193568242e-08,7.067151751364408e-08,4.07757243388798e-09
2015-01-30,SZ300001,1,0,False,8.886711333643552e-09,2.6864485057919713e-08,9.748975418467792e-09,2.6941612473726706e-09,3.19444691300125e-08,4.289357870544663e-08
2015-02-02,SZ300001,0,0,True,,,,,,
2015-02-03,SZ300001,0,0,True,,,,,,
2015-02-04,SZ300001,0,0,True,,,,,,
2015-02-05,SZ300001,0,0,True,,,,,,
2015-02-06,SZ300001,0,0,True,,,,,,
2015-02-09,SZ300001,0,0,True,,,,,,
2015-02-10,SZ300001,0,0,True,,,,,,
2015-02-11,SZ300001,0,0,True,,,,,,
2015-02-12,SZ300001,0,0,True,,,,,,
2015-02-13,SZ300001,0,0,True,,,,,,
2015-07-01,SZ300001,1,0,False,3.17848910789226e-08,3.653777188831158e-08,8.248707363346372e-08,2.6048333954633934e-08,3.15121224411718e-08,2.6091639683094317e-08
2015-07-02,SZ300001,1,0,False,1.4205283836946502e-08,6.888576401313449e-09,2.2316519129104718e-08,4.342156714078994e-08,2.662617246698994e-08,3.223343493694051e-08
2015-07-03,SZ300001,1,0,False,1.1580566147143071e-08,2.7850519706337125e-09,3.1070688992948296e-08,9.715054749189574e-09,4.165040322070175e-08,2.78785796414872e-08
2015-07-06,SZ300001,1,0,False,0.0,8.382894808104597e-09,1.956008770338695e-08,2.6409020524876683e-08,2.0723084203412894e-08,2.888618565544373e-08
2015-07-07,SZ300001,1,0,False,2.4450256520280025e-09,1.3622285703080223e-08,1.3622285814625395e-08,1.3622285814625395e-08,1.717795551120201e-09,6.673486554686393e-09
2015-07-08,SZ300001,0,0,True,,,,,,
2015-07-09,SZ300001,1,0,False,4.5871339612390646e-08,1.2002330132096952e-08,4.5871339612390646e-08,1.2002330132096952e-08,5.002840836671921e-08,1.9651928108666485e-08
2015-07-10,SZ300001,1,0,False,1.2750460577264257e-08,4.1744117255626074e-08,5.086145967253081e-08,4.1744117255626074e-08,5.9125142482853687e-08,2.4097270463618955e-08
2015-07-13,SZ300001,1,0,False,9.856766009325264e-09,9.448556443165864e-10,1.7103440736433274e-09,9.448556443165864e-10,1.6004629033097446e-08,4.98855959509492e-08
2015-07-14,SZ300001,1,0,False,3.950556868908393e-08,8.654662055874447e-08,2.843934086278048e-08,5.5761483857858045e-08,7.124247390318322e-08,3.695800216275541e-08
2015-07-15,SZ300001,1,0,False,1.7946307579338265e-08,6.965522784253073e-08,2.3964325809142285e-08,2.3964325809142285e-08,5.008684191272258e-08,1.5288773372987492e-09
2015-07-16,SZ300001,1,0,False,4.743640397292946e-08,4.2864644188862545e-08,2.6981602809513273e-09,1.4080716066748464e-08,6.553604160171672e-08,6.715205656895385e-09
2015-07-17,SZ300001,1,0,False,1.860534109432703e-08,2.0616729224721475e-08,3.8736901360192366e-08,1.7788645646678488e-08,8.874458693286268e-09,3.008888298512228e-08
2015-07-20,SZ300001,1,0,False,1.8720576301854772e-08,1.6237457381259845e-08,2.650973885370722e-08,2.3420591158459533e-08,3.645607395852418e-08,3.058844954748407e-08
2015-07-21,SZ300001,1,0,False,2.7002421380485725e-08,2.6135105918585757e-08,1.3837975582743252e-08,5.857593301234143e-08,1.27826837584599e-08,2.449501007250811e-08
2015-07-22,SZ300001,1,0,False,9.580999022879398e-09,3.0513830040490574e-08,4.7255931321436124e-08,2.577181561251622e-09,4.276555449898583e-09,1.3451321582660545e-09
2015-07-23,SZ300001,1,0,False,4.98437636256272e-09,3.600410363576552e-08,2.1746839650697772e-08,7.2368549481241874e-09,4.917293958017918e-09,5.071752135138093e-09
2015-07-24,SZ300001,1,0,False,3.178459406782963e-08,6.471599273689269e-08,2.6511821825210882e-08,9.760623455585885e-09,2.647826140551902e-09,1.8721460797144603e-08
2015-07-27,SZ300001,1,0,False,2.4892259300257055e-08,1.7149398256393566e-08,2.3632587497841194e-08,1.5379137819868375e-08,4.781731573755273e-08,1.497031653393892e-08
2015-07-28,SZ300001,1,0,False,2.7613766547009662e-08,5.0221823022354474e-08,1.4696304388493328e-08,2.6129331043645326e-08,2.8732561010223607e-08,2.188134578054893e-08
2015-07-29,SZ300001,1,0,False,3.1784618196676696e-08,4.032815289421189e-08,3.681233842499529e-08,5.834095724653363e-08,1.80981526926937e-08,1.873516068215912e-08
2015-07-30,SZ300001,1,0,False,1.1761315289279268e-08,1.3151815728427852e-08,1.2541286470532144e-08,1.2541286470532144e-08,5.504869392420788e-08,6.486963186411263e-10
2015-07-31,SZ300001,1,0,False,3.774666309474568e-08,7.335002861507379e-09,4.281451183770982e-08,1.7824281694239283e-08,3.1842357885683934e-08,1.9748005711883283e-08
2015-08-03,SZ300001,1,0,False,5.018567456342058e-09,9.74192495965266e-09,2.7166343131408916e-08,1.7458960124252333e-08,4.599039486009802e-08,1.708226883141507e-08
2015-08-04,SZ300001,1,0,False,1.1647703567892885e-08,8.104704482208347e-08,4.157340547216325e-08,8.104704482208347e-08,7.856420294181153e-08,3.079875377017811e-08
2015-08-05,SZ300001,1,0,False,1.830004628192974e-08,5.215383663713143e-08,1.7908915140485316e-08,2.0012331413420692e-08,3.983273572474225e-08,3.763436503261683e-08
2015-08-06,SZ300001,0,0,True,,,,,,
2015-08-07,SZ300001,0,0,True,,,,,,
2015-08-10,SZ300001,0,0,True,,,,,,
