datetime,signal,direction,side_count,long_return,short_return,gross_long_short_return,long_turnover,short_turnover,turnover,cost,net_long_short_return
2017-01-26,rev_5,1.0,373,0.011285184,0.011621503,-0.0003363192,0.37801608579088475,0.3002680965147453,0.339142091152815,0.0001695710455764075,-0.00050589023
2017-02-03,rev_5,1.0,373,0.0027407922,0.00012344074,0.0026173515,0.38069705093833783,0.3378016085790885,0.35924932975871315,0.00017962466487935657,0.0024377268
2017-02-06,rev_5,1.0,374,0.008868035,0.0070745093,0.0017935256,0.3877005347593583,0.4197860962566845,0.4037433155080214,0.00020187165775401071,0.001591654
2017-02-07,rev_5,1.0,374,0.010864479,0.004753185,0.0061112936,0.45721925133689845,0.4197860962566845,0.4385026737967915,0.00021925133689839574,0.005892042
2017-02-08,rev_5,1.0,375,0.0011912903,-0.0042267074,0.005417998,0.3893333333333333,0.32266666666666666,0.356,0.000178,0.005239998
2017-02-09,rev_5,1.0,374,0.00773644,0.005277741,0.002458699,0.3743315508021391,0.32352941176470584,0.34893048128342247,0.00017446524064171123,0.002284234
2017-02-10,rev_5,1.0,374,-0.0007858066,0.0024526364,-0.003238443,0.4197860962566845,0.393048128342246,0.40641711229946526,0.00020320855614973263,-0.0034416516
2017-02-13,rev_5,1.0,374,-0.009413199,-0.015272645,0.0058594467,0.36363636363636365,0.33689839572192515,0.3502673796791444,0.0001751336898395722,0.005684313
2017-02-14,rev_5,1.0,373,0.004177805,0.013512787,-0.009334982,0.3726541554959786,0.28686327077747986,0.3297587131367292,0.00016487935656836462,-0.009499862
2017-02-15,rev_5,1.0,373,-0.0073024733,-0.01280883,0.0055063562,0.41286863270777485,0.3109919571045576,0.36193029490616624,0.00018096514745308314,0.005325391
2017-02-16,rev_5,1.0,371,0.006667629,0.014018002,-0.007350373,0.31805929919137466,0.2991913746630728,0.3086253369272237,0.00015431266846361187,-0.007504686
2017-02-17,rev_5,1.0,371,0.015002755,0.0045634485,0.0104393065,0.3935309973045822,0.37735849056603776,0.38544474393531,0.000192722371967655,0.010246584
2017-02-20,rev_5,1.0,370,0.0043967464,0.0052015116,-0.00080476515,0.327027027027027,0.3540540540540541,0.34054054054054056,0.00017027027027027028,-0.0009750354
2017-02-21,rev_5,1.0,371,-0.00017471568,-0.0035430081,0.0033682925,0.339622641509434,0.33692722371967654,0.33827493261455527,0.00016913746630727763,0.003199155
2017-02-22,rev_5,1.0,371,0.006456,-0.0010179866,0.0074739866,0.4474393530997305,0.36118598382749323,0.40431266846361186,0.00020215633423180594,0.0072718305
2017-02-23,rev_5,1.0,371,-0.005384199,-0.009953268,0.004569069,0.3746630727762803,0.3692722371967655,0.3719676549865229,0.00018598382749326146,0.0043830853
2017-02-24,rev_5,1.0,371,0.004548942,0.0055965027,-0.0010475605,0.42048517520215634,0.3746630727762803,0.3975741239892183,0.00019878706199460917,-0.0012463476
2017-02-27,rev_5,1.0,370,0.0047364305,0.002716715,0.0020197155,0.4405405405405406,0.3810810810810811,0.41081081081081083,0.00020540540540540543,0.0018143101
2017-02-28,rev_5,1.0,371,-0.008140074,-0.0072927047,-0.00084736943,0.32345013477088946,0.31805929919137466,0.32075471698113206,0.00016037735849056602,-0.0010077468
2017-03-01,rev_5,1.0,371,-0.00058669253,0.005130878,-0.005717571,0.3800539083557951,0.29380053908355797,0.33692722371967654,0.00016846361185983828,-0.0058860346
2017-03-02,rev_5,1.0,371,0.011185373,0.010042897,0.0011424758,0.3935309973045822,0.34770889487870615,0.37061994609164417,0.0001853099730458221,0.0009571658
2017-03-03,rev_5,1.0,371,0.0042055687,-0.00037569145,0.00458126,0.3935309973045822,0.33692722371967654,0.36522911051212936,0.00018261455525606468,0.0043986454
2017-03-06,rev_5,1.0,372,-0.0024561577,-0.0068530613,0.0043969033,0.3951612903225806,0.33870967741935487,0.36693548387096775,0.00018346774193548387,0.0042134356
2017-03-07,rev_5,1.0,371,-0.011614657,-0.0055612624,-0.0060533946,0.3881401617250674,0.33153638814016173,0.35983827493261455,0.00017991913746630728,-0.0062333136
2017-03-08,rev_5,1.0,372,6.193035e-05,0.003027996,-0.0029660657,0.30107526881720426,0.33333333333333337,0.3172043010752688,0.0001586021505376344,-0.0031246678
2017-03-09,rev_5,1.0,372,0.008913677,0.009846875,-0.00093319826,0.3736559139784946,0.2983870967741935,0.33602150537634407,0.00016801075268817203,-0.001101209
