source_evidence,outer_split_id,method,factor,feature_order,coefficient,coefficient_nonzero
ridge_all,split_002,ridge,alpha158_KUP,13,-0.0028070564002967,True
ridge_all,split_002,ridge,alpha158_LOW0,14,0.0033708970465249,True
ridge_all,split_002,ridge,alpha158_MIN10,15,0.0042436207776951,True
ridge_all,split_002,ridge,alpha158_STD10,16,0.0015614140709969,True
ridge_all,split_002,ridge,alpha158_VMA60,17,-0.00340840890736,True
ridge_all,split_002,ridge,alpha158_VSTD5,18,-0.0009262155040633,True
ridge_all,split_002,ridge,alpha158_VSUMD20,19,0.0038349875942046,True
ridge_all,split_002,ridge,alpha158_VSUMD60,20,-0.0025208972195575,True
ridge_all,split_002,ridge,alpha360_HIGH34,21,0.0122932185410341,True
ridge_all,split_002,ridge,alpha360_LOW1,22,0.0038035992523195,True
ridge_all,split_002,ridge,amount_cv_20,23,-0.0021412247778357,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha002,24,-0.0016284646543428,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha011,25,0.0028268387345969,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha012,26,-0.0001475970095451,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha013,27,0.0030806912859413,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha020,28,-0.0010435435080078,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha026,29,0.0013418827251091,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha029,30,0.000267168390567,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha034,31,-0.0005422818403125,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha050,32,0.0003434579225494,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha055,33,-0.0002688423610839,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha062,34,0.0005588049008313,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha077,35,-0.0030013382305129,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha083,36,0.0084340271536745,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha085,37,0.0007917583370278,True
ridge_all,split_002,ridge,kunquant_alpha101_alpha094,38,0.0052991975514149,True
ridge_all,split_002,ridge,ta_momentum_ao,39,-0.0019561559595688,True
ridge_all,split_002,ridge,ta_trend_dpo,40,-0.0001236559286272,True
ridge_all,split_002,ridge,ta_volatility_atr,41,-0.0004176447376992,True
ridge_all,split_002,ridge,ta_volatility_bbhi,42,0.0015636996108519,True
ridge_all,split_002,ridge,ta_volume_cmf,43,-0.0022491617558685,True
ridge_all,split_002,ridge,ta_volume_em,44,-0.0001065580378492,True
ridge_all,split_002,ridge,ta_volume_sma_em,45,-0.0004771800196766,True
ridge_all,split_003,ridge,alpha158_CORD10,0,0.0034075474054721,True
ridge_all,split_003,ridge,alpha158_CORD20,1,-0.0067444767672627,True
ridge_all,split_003,ridge,alpha158_CORD5,2,0.0015100163573109,True
ridge_all,split_003,ridge,alpha158_CORR10,3,-0.0051656396020447,True
ridge_all,split_003,ridge,alpha158_CORR20,4,-0.0030149321697102,True
ridge_all,split_003,ridge,alpha158_CORR5,5,-0.0009788041350013,True
ridge_all,split_003,ridge,alpha158_HIGH0,6,0.1026963238787205,True
ridge_all,split_003,ridge,alpha158_IMAX30,7,-0.0042704022200289,True
ridge_all,split_003,ridge,alpha158_IMAX60,8,-0.0011148211995585,True
ridge_all,split_003,ridge,alpha158_IMIN20,9,0.0042717536710452,True
ridge_all,split_003,ridge,alpha158_IMIN5,10,-0.0024087772669114,True
ridge_all,split_003,ridge,alpha158_KLEN,11,-0.0991313930322488,True
ridge_all,split_003,ridge,alpha158_KLOW,12,0.0177403382446793,True
ridge_all,split_003,ridge,alpha158_KMID,13,0.0686902428747529,True
ridge_all,split_003,ridge,alpha158_KUP,14,-0.024887012252471,True
ridge_all,split_003,ridge,alpha158_LOW0,15,-0.0226988323129954,True
ridge_all,split_003,ridge,alpha158_MAX5,16,-0.0014176238245405,True
ridge_all,split_003,ridge,alpha158_MIN10,17,0.0061793746606827,True
ridge_all,split_003,ridge,alpha158_QTLD10,18,0.0025134484614613,True
ridge_all,split_003,ridge,alpha158_QTLD5,19,0.0037483197797949,True
ridge_all,split_003,ridge,alpha158_RSQR30,20,0.0055946574212379,True
ridge_all,split_003,ridge,alpha158_STD60,21,0.0002984251958171,True
ridge_all,split_003,ridge,alpha158_VMA60,22,-0.0023502838456046,True
ridge_all,split_003,ridge,alpha158_VSTD5,23,-0.0004803840916797,True
ridge_all,split_003,ridge,alpha158_VSUMD20,24,0.0031103166690907,True
ridge_all,split_003,ridge,alpha158_VSUMD60,25,-0.0026601132176493,True
ridge_all,split_003,ridge,alpha360_VOLUME12,26,-0.002848702455962,True
ridge_all,split_003,ridge,alpha360_VOLUME38,27,0.0011551780385735,True
ridge_all,split_003,ridge,amount_cv_20,28,-0.0001893550014098,True
ridge_all,split_003,ridge,amount_mean_20,29,-0.0138927883070644,True
ridge_all,split_003,ridge,corr_ret_amount_20,30,0.0056674485682735,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha002,31,-0.0014706356540098,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha003,32,-0.001119737843588,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha005,33,0.0019009319069579,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha011,34,0.0019906690167177,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha012,35,-0.0004299830137183,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha013,36,0.0053282026243334,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha020,37,-0.0011433064387184,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha024,38,-0.002344656954698,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha026,39,0.0018693848128221,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha043,40,0.0014565950414319,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha050,41,-0.0007497502204028,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha055,42,-0.0008071112937407,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha062,43,-0.0001068183481909,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha071,44,-0.001282477776802,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha072,45,-0.0004995914395879,True
ridge_all,split_003,ridge,kunquant_alpha101_alpha094,46,0.0078228484005208,True
ridge_all,split_003,ridge,ta_trend_adx_pos,47,0.0071037771657162,True
ridge_all,split_003,ridge,ta_trend_dpo,48,0.0009358786665013,True
ridge_all,split_003,ridge,ta_trend_mass_index,49,-0.0011444172631341,True
ridge_all,split_003,ridge,ta_volatility_bbhi,50,0.0029030850028339,True
ridge_all,split_003,ridge,ta_volume_em,51,-0.0005070313346294,True
elastic_split_001,split_001,elastic_net,alpha158_BETA10,0,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_BETA5,1,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CNTD30,2,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CNTP60,3,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CORD10,4,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CORD20,5,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CORD5,6,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CORD60,7,-0.0,False
