outer_split_id,method,factor,factor_column,feature_order,cluster_id,direction,selection_frequency,upstream_fdr_q_value,raw_weight,weight
split_001,stability_weight,alpha158_KLEN,alpha158_KLEN,13,cluster_003,-1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,alpha158_KLOW,alpha158_KLOW,14,cluster_007,-1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,alpha158_KMID,alpha158_KMID,15,cluster_021,-1,0.6666666666666666,0.0068546837777607,0.6620968774814928,0.01585920833215395
split_001,stability_weight,alpha158_KUP,alpha158_KUP,16,cluster_006,-1,1.0,0.0042033438259853,0.9957966561740147,0.023852320051407305
split_001,stability_weight,alpha158_LOW0,alpha158_LOW0,17,cluster_020,1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,alpha158_MAX5,alpha158_MAX5,18,cluster_005,-1,1.0,0.0238689881547024,0.9761310118452976,0.02338126881857033
split_001,stability_weight,alpha158_MIN10,alpha158_MIN10,19,cluster_030,1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,alpha158_QTLD60,alpha158_QTLD60,20,cluster_036,1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,alpha158_RSQR30,alpha158_RSQR30,21,cluster_044,1,0.6666666666666666,0.0238689881547024,0.650754007896865,0.015587512545713552
split_001,stability_weight,alpha158_VMA30,alpha158_VMA30,22,cluster_025,1,1.0,0.0162288043082745,0.9837711956917256,0.02356427416331287
split_001,stability_weight,alpha158_VMA60,alpha158_VMA60,23,cluster_028,1,1.0,0.0042033438259853,0.9957966561740147,0.023852320051407305
split_001,stability_weight,alpha158_VSUMD60,alpha158_VSUMD60,24,cluster_027,-1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,alpha360_LOW1,alpha360_LOW1,25,cluster_022,1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,alpha360_VOLUME13,alpha360_VOLUME13,26,cluster_026,1,1.0,0.0479230072253328,0.9520769927746672,0.022805102833438652
split_001,stability_weight,amount_cv_20,amount_cv_20,27,cluster_018,-1,1.0,0.0068546837777607,0.9931453162222393,0.023788812498230928
split_001,stability_weight,amount_std_20,amount_std_20,28,cluster_001,-1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,corr_ret_amount_20,corr_ret_amount_20,29,cluster_039,-1,0.6666666666666666,0.0031825317539603,0.6645449788306931,0.01591784771052238
split_001,stability_weight,kunquant_alpha101_alpha003,kunquant_alpha101_alpha003,30,cluster_017,1,1.0,0.0479230072253328,0.9520769927746672,0.022805102833438652
split_001,stability_weight,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,31,cluster_002,1,0.6666666666666666,0.0031825317539603,0.6645449788306931,0.01591784771052238
split_001,stability_weight,kunquant_alpha101_alpha012,kunquant_alpha101_alpha012,32,cluster_008,1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,kunquant_alpha101_alpha013,kunquant_alpha101_alpha013,33,cluster_012,1,1.0,0.0068546837777607,0.9931453162222393,0.023788812498230928
split_001,stability_weight,kunquant_alpha101_alpha020,kunquant_alpha101_alpha020,34,cluster_045,-1,0.6666666666666666,0.0031825317539603,0.6645449788306931,0.01591784771052238
split_001,stability_weight,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,35,cluster_043,1,1.0,0.0042033438259853,0.9957966561740147,0.023852320051407305
split_001,stability_weight,kunquant_alpha101_alpha034,kunquant_alpha101_alpha034,36,cluster_023,1,0.6666666666666666,0.039546252564004,0.640302498290664,0.015337167507294483
split_001,stability_weight,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,37,cluster_013,1,1.0,0.0288785288785288,0.9711214711214712,0.023261275275797893
split_001,stability_weight,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,38,cluster_014,1,1.0,0.0042033438259853,0.9957966561740147,0.023852320051407305
split_001,stability_weight,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,39,cluster_042,1,1.0,0.0082104627559173,0.9917895372440827,0.023756337520628362
split_001,stability_weight,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,40,cluster_031,1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,ta_trend_mass_index,ta_trend_mass_index,41,cluster_029,-1,1.0,0.0162288043082745,0.9837711956917256,0.02356427416331287
split_001,stability_weight,ta_volatility_bbhi,ta_volatility_bbhi,42,cluster_024,-1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,ta_volume_cmf,ta_volume_cmf,43,cluster_035,-1,1.0,0.0031825317539603,0.9968174682460397,0.023876771565783574
split_001,stability_weight,ta_volume_sma_em,ta_volume_sma_em,44,cluster_034,-1,0.6666666666666666,0.0322735614486117,0.6451509590342588,0.015453302700856228
split_002,equal_weight,alpha158_CNTP10,alpha158_CNTP10,0,cluster_026,-1,1.0,0.0291787214864137,1.0,0.02173913043478261
split_002,equal_weight,alpha158_CNTP5,alpha158_CNTP5,1,cluster_022,-1,1.0,0.0302536969203635,1.0,0.02173913043478261
split_002,equal_weight,alpha158_CORD10,alpha158_CORD10,2,cluster_038,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_CORD20,alpha158_CORD20,3,cluster_032,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_CORD5,alpha158_CORD5,4,cluster_033,-1,0.6666666666666666,0.0055386602347928,1.0,0.02173913043478261
split_002,equal_weight,alpha158_CORR5,alpha158_CORR5,5,cluster_035,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_HIGH0,alpha158_HIGH0,6,cluster_006,-1,0.6666666666666666,0.0083750835630534,1.0,0.02173913043478261
split_002,equal_weight,alpha158_IMAX10,alpha158_IMAX10,7,cluster_027,-1,1.0,0.0166704044255064,1.0,0.02173913043478261
split_002,equal_weight,alpha158_IMAX20,alpha158_IMAX20,8,cluster_028,-1,1.0,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_IMAX60,alpha158_IMAX60,9,cluster_021,-1,0.6666666666666666,0.0232463188984928,1.0,0.02173913043478261
split_002,equal_weight,alpha158_IMIN5,alpha158_IMIN5,10,cluster_023,1,1.0,0.0483919211903556,1.0,0.02173913043478261
split_002,equal_weight,alpha158_KLEN,alpha158_KLEN,11,cluster_005,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_KLOW,alpha158_KLOW,12,cluster_008,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_KUP,alpha158_KUP,13,cluster_007,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_LOW0,alpha158_LOW0,14,cluster_011,1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_MIN10,alpha158_MIN10,15,cluster_024,1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_STD10,alpha158_STD10,16,cluster_004,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha158_VMA60,alpha158_VMA60,17,cluster_018,1,1.0,0.0055386602347928,1.0,0.02173913043478261
split_002,equal_weight,alpha158_VSTD5,alpha158_VSTD5,18,cluster_045,-1,0.6666666666666666,0.0291787214864137,1.0,0.02173913043478261
split_002,equal_weight,alpha158_VSUMD20,alpha158_VSUMD20,19,cluster_016,-1,0.6666666666666666,0.028081162534944,1.0,0.02173913043478261
split_002,equal_weight,alpha158_VSUMD60,alpha158_VSUMD60,20,cluster_017,-1,1.0,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,alpha360_HIGH34,alpha360_HIGH34,21,cluster_020,1,0.6666666666666666,0.0043398160281277,1.0,0.02173913043478261
split_002,equal_weight,alpha360_LOW1,alpha360_LOW1,22,cluster_012,1,1.0,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,amount_cv_20,amount_cv_20,23,cluster_042,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha002,kunquant_alpha101_alpha002,24,cluster_034,1,0.6666666666666666,0.0364544546362728,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,25,cluster_003,1,0.6666666666666666,0.0111921571251714,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha012,kunquant_alpha101_alpha012,26,cluster_010,1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha013,kunquant_alpha101_alpha013,27,cluster_036,1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha020,kunquant_alpha101_alpha020,28,cluster_046,-1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha026,kunquant_alpha101_alpha026,29,cluster_039,1,0.6666666666666666,0.0043398160281277,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,30,cluster_044,1,1.0,0.0043398160281277,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha034,kunquant_alpha101_alpha034,31,cluster_013,1,0.6666666666666666,0.0364544546362728,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,32,cluster_040,1,0.6666666666666666,0.0097566666909732,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,33,cluster_037,1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,34,cluster_015,1,0.6666666666666666,0.0139883372441511,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha077,kunquant_alpha101_alpha077,35,cluster_009,-1,1.0,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha083,kunquant_alpha101_alpha083,36,cluster_001,1,0.6666666666666666,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha085,kunquant_alpha101_alpha085,37,cluster_041,1,0.6666666666666666,0.0435008778204044,1.0,0.02173913043478261
split_002,equal_weight,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,38,cluster_025,1,1.0,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,ta_momentum_ao,ta_momentum_ao,39,cluster_019,-1,1.0,0.0069437056450043,1.0,0.02173913043478261
split_002,equal_weight,ta_trend_dpo,ta_trend_dpo,40,cluster_043,1,1.0,0.0243811982009406,1.0,0.02173913043478261
split_002,equal_weight,ta_volatility_atr,ta_volatility_atr,41,cluster_002,-1,1.0,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,ta_volatility_bbhi,ta_volatility_bbhi,42,cluster_031,-1,1.0,0.0032286554025684,1.0,0.02173913043478261
split_002,equal_weight,ta_volume_cmf,ta_volume_cmf,43,cluster_030,-1,0.6666666666666666,0.0043398160281277,1.0,0.02173913043478261
split_002,equal_weight,ta_volume_em,ta_volume_em,44,cluster_014,-1,0.6666666666666666,0.0291787214864137,1.0,0.02173913043478261
split_002,equal_weight,ta_volume_sma_em,ta_volume_sma_em,45,cluster_029,-1,1.0,0.0153287079892584,1.0,0.02173913043478261
split_002,stability_weight,alpha158_CNTP10,alpha158_CNTP10,0,cluster_026,-1,1.0,0.0291787214864137,0.9708212785135863,0.027291642164885402
split_002,stability_weight,alpha158_CNTP5,alpha158_CNTP5,1,cluster_022,-1,1.0,0.0302536969203635,0.9697463030796365,0.027261422550288242
split_002,stability_weight,alpha158_CORD10,alpha158_CORD10,2,cluster_038,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_CORD20,alpha158_CORD20,3,cluster_032,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_CORD5,alpha158_CORD5,4,cluster_033,-1,0.6666666666666666,0.0055386602347928,0.6629742265101382,0.018637472987983295
split_002,stability_weight,alpha158_CORR5,alpha158_CORR5,5,cluster_035,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_HIGH0,alpha158_HIGH0,6,cluster_006,-1,0.6666666666666666,0.0083750835630534,0.661083277624631,0.01858431479967662
split_002,stability_weight,alpha158_IMAX10,alpha158_IMAX10,7,cluster_027,-1,1.0,0.0166704044255064,0.9833295955744936,0.02764327487099366
split_002,stability_weight,alpha158_IMAX20,alpha158_IMAX20,8,cluster_028,-1,1.0,0.0032286554025684,0.9967713445974316,0.0280211481340992
split_002,stability_weight,alpha158_IMAX60,alpha158_IMAX60,9,cluster_021,-1,0.6666666666666666,0.0232463188984928,0.6511691207343381,0.018305608895505796
split_002,stability_weight,alpha158_IMIN5,alpha158_IMIN5,10,cluster_023,1,1.0,0.0483919211903556,0.9516080788096444,0.026751522389219476
split_002,stability_weight,alpha158_KLEN,alpha158_KLEN,11,cluster_005,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_KLOW,alpha158_KLOW,12,cluster_008,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_KUP,alpha158_KUP,13,cluster_007,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_LOW0,alpha158_LOW0,14,cluster_011,1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_MIN10,alpha158_MIN10,15,cluster_024,1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_STD10,alpha158_STD10,16,cluster_004,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,alpha158_VMA60,alpha158_VMA60,17,cluster_018,1,1.0,0.0055386602347928,0.9944613397652072,0.027956209481974942
split_002,stability_weight,alpha158_VSTD5,alpha158_VSTD5,18,cluster_045,-1,0.6666666666666666,0.0291787214864137,0.6472141856757242,0.0181944281099236
split_002,stability_weight,alpha158_VSUMD20,alpha158_VSUMD20,19,cluster_016,-1,0.6666666666666666,0.028081162534944,0.6479458916433707,0.01821499776355696
split_002,stability_weight,alpha158_VSUMD60,alpha158_VSUMD60,20,cluster_017,-1,1.0,0.0032286554025684,0.9967713445974316,0.0280211481340992
split_002,stability_weight,alpha360_HIGH34,alpha360_HIGH34,21,cluster_020,1,0.6666666666666666,0.0043398160281277,0.6637734559812482,0.018659940856391125
split_002,stability_weight,alpha360_LOW1,alpha360_LOW1,22,cluster_012,1,1.0,0.0032286554025684,0.9967713445974316,0.0280211481340992
split_002,stability_weight,amount_cv_20,amount_cv_20,23,cluster_042,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,kunquant_alpha101_alpha002,kunquant_alpha101_alpha002,24,cluster_034,1,0.6666666666666666,0.0364544546362728,0.6423636969091514,0.01805807159748211
split_002,stability_weight,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,25,cluster_003,1,0.6666666666666666,0.0111921571251714,0.6592052285832191,0.018531519250649515
split_002,stability_weight,kunquant_alpha101_alpha012,kunquant_alpha101_alpha012,26,cluster_010,1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,kunquant_alpha101_alpha013,kunquant_alpha101_alpha013,27,cluster_036,1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,kunquant_alpha101_alpha020,kunquant_alpha101_alpha020,28,cluster_046,-1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,kunquant_alpha101_alpha026,kunquant_alpha101_alpha026,29,cluster_039,1,0.6666666666666666,0.0043398160281277,0.6637734559812482,0.018659940856391125
split_002,stability_weight,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,30,cluster_044,1,1.0,0.0043398160281277,0.9956601839718723,0.027989911284586687
split_002,stability_weight,kunquant_alpha101_alpha034,kunquant_alpha101_alpha034,31,cluster_013,1,0.6666666666666666,0.0364544546362728,0.6423636969091514,0.01805807159748211
