outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha360_HIGH14,alpha158_BETA10,-0.7751361570149912
split_001,alpha360_HIGH15,alpha158_BETA10,-0.7506779371625893
split_001,alpha360_HIGH16,alpha158_BETA10,-0.7310734981182335
split_001,alpha360_HIGH17,alpha158_BETA10,-0.7146846134732925
split_001,alpha360_HIGH18,alpha158_BETA10,-0.6982595703927545
split_001,alpha360_HIGH19,alpha158_BETA10,-0.6897678328231215
split_001,alpha360_HIGH20,alpha158_BETA10,-0.6833393776085201
split_001,alpha360_HIGH21,alpha158_BETA10,-0.6801069367640157
split_001,alpha360_HIGH22,alpha158_BETA10,-0.676206382379343
split_001,alpha360_HIGH23,alpha158_BETA10,-0.6723988910698313
split_001,alpha360_HIGH24,alpha158_BETA10,-0.6671033554974626
split_001,alpha360_HIGH25,alpha158_BETA10,-0.6570988336827219
split_001,alpha360_HIGH26,alpha158_BETA10,-0.6415944771139082
split_001,alpha360_HIGH27,alpha158_BETA10,-0.6220467014741866
split_001,alpha360_HIGH28,alpha158_BETA10,-0.6054512125137671
split_001,alpha360_HIGH33,alpha158_BETA10,-0.5132374987368671
split_001,alpha360_HIGH34,alpha158_BETA10,-0.5022704763558944
split_001,alpha360_HIGH35,alpha158_BETA10,-0.4970235362199505
split_001,alpha360_HIGH36,alpha158_BETA10,-0.4891208139373749
split_001,alpha360_HIGH37,alpha158_BETA10,-0.4814133847324557
split_001,alpha360_HIGH38,alpha158_BETA10,-0.4752204820249153
split_001,alpha360_HIGH39,alpha158_BETA10,-0.46543210670732277
split_001,alpha360_HIGH40,alpha158_BETA10,-0.4583250308311642
split_001,alpha360_HIGH41,alpha158_BETA10,-0.45122294047688927
split_001,alpha360_HIGH42,alpha158_BETA10,-0.4452599078536176
split_001,alpha360_HIGH43,alpha158_BETA10,-0.4419664881796225
split_001,alpha360_HIGH44,alpha158_BETA10,-0.43619896306505596
split_001,alpha360_HIGH45,alpha158_BETA10,-0.43107202390477334
split_001,alpha360_HIGH46,alpha158_BETA10,-0.4251708814429494
split_001,alpha360_HIGH47,alpha158_BETA10,-0.4202066686447931
split_001,alpha360_HIGH48,alpha158_BETA10,-0.41282034993538924
split_001,alpha360_HIGH49,alpha158_BETA10,-0.4077700966789187
split_001,alpha360_HIGH50,alpha158_BETA10,-0.4077449814423329
split_001,alpha360_HIGH51,alpha158_BETA10,-0.40851891670506324
split_001,alpha360_HIGH52,alpha158_BETA10,-0.4064901577488814
split_001,alpha360_HIGH53,alpha158_BETA10,-0.40578872698451246
split_001,alpha360_HIGH54,alpha158_BETA10,-0.4064387747088227
split_001,alpha360_HIGH55,alpha158_BETA10,-0.40428130351562386
split_001,alpha360_HIGH56,alpha158_BETA10,-0.4041282801584538
split_001,alpha360_HIGH57,alpha158_BETA10,-0.4081292418817075
split_001,alpha360_HIGH58,alpha158_BETA10,-0.4155512365568485
split_001,alpha360_HIGH59,alpha158_BETA10,-0.4219589187636013
split_001,alpha360_HIGH9,alpha158_BETA10,-0.9377703673981178
split_001,alpha360_LOW0,alpha158_BETA10,-0.21560160104942555
split_001,alpha360_LOW1,alpha158_BETA10,-0.27728936639109597
split_001,alpha360_LOW10,alpha158_BETA10,-0.90220499447438
split_001,alpha360_LOW11,alpha158_BETA10,-0.8650049868620777
split_001,alpha360_LOW12,alpha158_BETA10,-0.833589471221075
split_001,alpha360_LOW13,alpha158_BETA10,-0.8018051877839704
split_001,alpha360_LOW14,alpha158_BETA10,-0.7680120874782185
split_001,alpha360_LOW15,alpha158_BETA10,-0.7416393468108609
split_001,alpha360_LOW16,alpha158_BETA10,-0.7161163427819695
split_001,alpha360_LOW17,alpha158_BETA10,-0.6973292076799552
split_001,alpha360_LOW18,alpha158_BETA10,-0.6835097966845207
split_001,alpha360_LOW19,alpha158_BETA10,-0.6724753089348325
split_001,alpha360_LOW2,alpha158_BETA10,-0.41012487124085617
split_001,alpha360_LOW20,alpha158_BETA10,-0.6661201087272632
