instrument,asset_id,first_missing,last_missing,sessions,classification,confirmed_cash_event
SH600260,SH600260,2023-02-16,2023-12-29,215,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600270,SH600270,2019-01-02,2023-12-29,1214,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600275,SH600275,2022-06-23,2023-12-29,373,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600291,SH600291,2022-06-15,2023-12-29,379,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600311,SH600311,2023-03-28,2023-12-29,187,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600317,SH600317,2021-02-01,2023-12-29,707,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600385,SH600385,2022-07-08,2023-12-29,362,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600393,SH600393,2023-07-19,2023-12-29,112,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600401,SH600401,2019-07-15,2023-12-29,1086,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600432,SH600432,2018-07-16,2023-12-29,1328,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600466,SH600466,2023-06-07,2023-12-29,140,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600485,SH600485,2021-06-02,2023-12-29,629,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600532,SH600532,2023-06-29,2023-12-29,126,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600555,SH600555,2022-07-14,2023-12-29,358,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600614,SH600614,2021-07-22,2023-12-29,594,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600634,SH600634,2021-07-22,2023-12-29,594,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600652,SH600652,2022-06-22,2023-12-29,374,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600656,SH600656,2016-05-16,2023-12-29,1857,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600677,SH600677,2021-03-19,2023-12-29,678,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600680,SH600680,2019-05-27,2023-12-29,1120,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600687,SH600687,2021-03-04,2023-12-29,689,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600695,SH600695,2022-06-15,2023-12-29,379,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600701,SH600701,2021-05-06,2023-12-29,648,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600723,SH600723,2021-10-25,2023-12-29,534,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600747,SH600747,2019-12-13,2023-12-29,983,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600767,SH600767,2023-06-30,2023-12-29,125,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600781,SH600781,2023-06-29,2023-12-29,126,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600806,SH600806,2018-07-16,2023-12-29,1328,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600856,SH600856,2022-06-23,2023-12-29,373,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600870,SH600870,2022-07-01,2023-12-29,367,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600890,SH600890,2022-06-22,2023-12-29,374,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600891,SH600891,2021-05-13,2023-12-29,643,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600896,SH600896,2022-07-26,2023-12-29,350,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600978,SH600978,2021-03-23,2023-12-29,676,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH601258,SH601258,2023-07-03,2023-12-29,124,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH601299,SH601299,2015-05-21,2023-12-29,2098,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH601558,SH601558,2020-07-03,2023-12-29,851,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH603157,SH603157,2022-05-25,2023-12-29,393,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH603996,SH603996,2022-05-25,2023-12-29,393,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH688086,SH688086,2023-07-10,2023-12-29,119,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000018,SZ000018,2020-01-08,2023-12-29,966,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000022,SZ000022,2018-12-27,2023-12-29,1216,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000024,SZ000024,2015-12-31,2023-12-29,1946,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000038,SZ000038,2023-07-13,2023-12-29,116,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000043,SZ000043,2019-12-17,2023-12-29,981,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000150,SZ000150,2023-06-12,2023-12-29,137,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000418,SZ000418,2019-06-24,2023-12-29,1101,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000502,SZ000502,2022-06-28,2023-12-29,370,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000511,SZ000511,2018-07-19,2023-12-29,1325,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000540,SZ000540,2023-07-03,2023-12-29,124,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000585,SZ000585,2022-05-25,2023-12-29,393,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000587,SZ000587,2023-04-04,2023-12-29,182,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000606,SZ000606,2023-07-07,2023-12-29,120,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000611,SZ000611,2022-06-29,2023-12-29,369,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000613,SZ000613,2022-06-30,2023-12-29,368,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000616,SZ000616,2023-08-24,2023-12-29,86,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000662,SZ000662,2021-04-13,2023-12-29,662,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000666,SZ000666,2023-10-27,2023-12-29,46,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000667,SZ000667,2023-07-17,2023-12-29,114,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000671,SZ000671,2023-08-17,2023-12-29,91,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000673,SZ000673,2022-07-05,2023-12-29,365,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000687,SZ000687,2022-06-20,2023-12-29,376,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000693,SZ000693,2019-07-10,2023-12-29,1089,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000732,SZ000732,2023-08-07,2023-12-29,99,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000748,SZ000748,2017-01-19,2023-12-29,1689,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000760,SZ000760,2021-07-26,2023-12-29,592,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000780,SZ000780,2022-01-25,2023-12-29,469,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000806,SZ000806,2023-07-07,2023-12-29,120,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000835,SZ000835,2022-05-24,2023-12-29,394,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000916,SZ000916,2017-12-26,2023-12-29,1461,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000918,SZ000918,2023-07-31,2023-12-29,104,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000939,SZ000939,2020-12-18,2023-12-29,737,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ000979,SZ000979,2019-01-02,2023-12-29,1214,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002013,SZ002013,2023-03-20,2023-12-29,193,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002018,SZ002018,2019-11-04,2023-12-29,1012,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002055,SZ002055,2023-03-24,2023-12-29,189,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002070,SZ002070,2019-07-10,2023-12-29,1089,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002071,SZ002071,2021-05-10,2023-12-29,646,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002113,SZ002113,2023-08-14,2023-12-29,94,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002118,SZ002118,2023-08-07,2023-12-29,99,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002143,SZ002143,2019-12-02,2023-12-29,992,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002147,SZ002147,2022-06-24,2023-12-29,372,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002220,SZ002220,2020-08-12,2023-12-29,823,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002260,SZ002260,2022-06-20,2023-12-29,376,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002359,SZ002359,2021-07-26,2023-12-29,592,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002411,SZ002411,2023-07-13,2023-12-29,116,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002417,SZ002417,2023-07-11,2023-12-29,118,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002447,SZ002447,2022-06-28,2023-12-29,370,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002450,SZ002450,2021-06-01,2023-12-29,630,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002464,SZ002464,2022-06-29,2023-12-29,369,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002473,SZ002473,2022-06-23,2023-12-29,373,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002477,SZ002477,2019-10-17,2023-12-29,1024,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002499,SZ002499,2023-04-19,2023-12-29,172,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002503,SZ002503,2023-08-14,2023-12-29,94,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002504,SZ002504,2023-08-22,2023-12-29,88,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002509,SZ002509,2020-07-21,2023-12-29,839,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002604,SZ002604,2020-07-16,2023-12-29,842,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002618,SZ002618,2022-06-23,2023-12-29,373,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002619,SZ002619,2022-04-29,2023-12-29,408,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002680,SZ002680,2019-11-28,2023-12-29,994,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002684,SZ002684,2022-06-28,2023-12-29,370,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002711,SZ002711,2021-07-16,2023-12-29,598,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002751,SZ002751,2023-07-14,2023-12-29,115,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002770,SZ002770,2022-06-24,2023-12-29,372,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ002781,SZ002781,2023-07-06,2023-12-29,121,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300023,SZ300023,2022-06-30,2023-12-29,368,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300028,SZ300028,2020-08-04,2023-12-29,829,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300038,SZ300038,2022-07-01,2023-12-29,367,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300064,SZ300064,2022-06-28,2023-12-29,370,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300089,SZ300089,2023-07-14,2023-12-29,115,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300090,SZ300090,2020-08-26,2023-12-29,813,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300104,SZ300104,2020-07-22,2023-12-29,838,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300156,SZ300156,2020-08-26,2023-12-29,813,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300178,SZ300178,2022-06-23,2023-12-29,373,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300186,SZ300186,2015-11-03,2023-12-29,1988,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300202,SZ300202,2022-07-05,2023-12-29,365,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300216,SZ300216,2020-09-17,2023-12-29,797,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300273,SZ300273,2023-07-07,2023-12-29,120,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300297,SZ300297,2023-08-01,2023-12-29,103,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300309,SZ300309,2023-05-31,2023-12-29,145,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300312,SZ300312,2022-07-05,2023-12-29,365,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300325,SZ300325,2022-06-29,2023-12-29,369,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300330,SZ300330,2023-05-25,2023-12-29,149,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300336,SZ300336,2023-07-06,2023-12-29,121,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300356,SZ300356,2023-07-14,2023-12-29,115,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300362,SZ300362,2021-08-31,2023-12-29,566,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300367,SZ300367,2022-07-01,2023-12-29,367,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300372,SZ300372,2017-08-29,2023-12-29,1541,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300392,SZ300392,2023-07-11,2023-12-29,118,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300431,SZ300431,2020-11-11,2023-12-29,764,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SZ300526,SZ300526,2023-07-13,2023-12-29,116,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
