instrument,event_id,ex_date,reference_bridge_match,comparable,expected_reference,source_reference
SZ300522,713aa0eb00609c8eba0a9256,2020-05-07,False,True,11.953333333333333,12.0
SZ300522,a66b737620c690b0b1d9d734,2021-05-28,False,True,19.393333333333334,19.45
SZ300542,b901b2c11307701fc62e00c6,2020-06-02,False,True,10.95,10.99
SZ300563,e09591c4759d053a4f894943,2021-04-16,False,True,15.55263157894737,15.64
SZ300617,a53479cd00c0c3318ab00516,2020-03-30,False,True,27.615384615384613,27.77
SZ300639,40caad5fad116f9f77f7baff,2019-04-30,False,True,15.983333333333334,16.06
SZ300639,a9d93d5d4aa598c6cdea8ee8,2021-05-28,False,True,29.47756035679682,29.55
SZ300639,7c344776888924701c501b4e,2022-04-29,False,True,21.299999999999997,21.37
SZ300639,4a214797efe6ea321fdda034,2023-05-22,False,True,9.32,9.38
SZ300655,e897e5da511c549f28b8f640,2023-07-10,False,True,11.711764705882354,11.73
SZ300657,fa7c388215341730a69ae32f,2021-07-13,False,True,15.750000000000002,15.77
SZ300664,93699ec58b675da234b2e0a1,2020-05-27,False,True,8.75,8.84
SZ300665,f742c8f316f22a6825fec588,2021-06-03,False,True,8.3,8.33
SZ300685,bf28e34ee14d365bbc2ac150,2022-05-31,False,True,26.43888888888889,26.48
SZ300723,ae5d7eaa7905b8bf87881e5a,2021-04-29,False,True,27.916666666666664,28.16
SZ300723,cc22ad724812bebc0956062b,2023-05-24,False,True,31.946666666666662,32.14
SZ300732,156f4cfd1a3845add8b84f78,2020-06-09,False,True,13.65,13.69
SZ300751,7772f45804467058ac7665e5,2023-05-25,False,True,172.36875,172.56
SZ300773,d0839f046e8158bc4780426f,2021-05-17,False,True,33.98,34.01
SZ300787,0bb257d293480ae20fd1858f,2023-05-25,False,True,19.366666666666667,19.48
SZ300800,e061631832d6ce1bec45398e,2021-06-02,False,True,19.76,19.9
SZ300841,a78b48ab17303dad02243980,2022-05-25,False,True,82.58666666666666,82.85
SZ300888,47819b75030e95157f123756,2023-06-02,False,True,41.12857142857143,41.34
SZ300925,6399388abd3a005fb11c8c09,2022-06-17,False,True,11.782352941176471,11.8
SZ301071,4ff26976bd28b221c296177c,2023-06-09,False,True,42.394444444444446,42.48
