instrument,status,adv20
SH600277,volume_available,71391555.32029076
SH600278,volume_available,15570770.531673362
SH600279,volume_available,15249914.887197217
SH600280,volume_available,11786957.872684618
SH600283,volume_available,22172747.163856674
SH600284,volume_available,36433455.72440541
SH600285,volume_available,17209456.833526
SH600287,volume_available,13419974.85672839
SH600288,unknown_volume_fail_closed,
SH600289,volume_available,27912575.566779442
SH600290,unknown_volume_fail_closed,
SH600291,unknown_volume_fail_closed,
SH600292,volume_available,13172586.651433619
SH600293,volume_available,9733174.778873246
SH600297,unknown_volume_fail_closed,
SH600298,volume_available,5946681.651619564
SH600300,volume_available,26673646.34843431
SH600303,volume_available,22784695.57495001
SH600305,volume_available,4373383.027421522
SH600309,volume_available,43232275.24690042
SH600310,volume_available,8552183.168968394
SH600311,volume_available,25802824.990469567
SH600312,volume_available,34918759.23011042
SH600313,volume_available,14382771.27870428
SH600315,volume_available,17126417.59252162
SH600316,volume_available,34359691.25290763
SH600317,volume_available,173803355.2667147
SH600318,unknown_volume_fail_closed,
SH600320,volume_available,120820145.39545174
SH600321,volume_available,72908616.91166209
SH600322,volume_available,37316666.3827226
SH600323,volume_available,18106030.269688714
SH600325,unknown_volume_fail_closed,
SH600326,volume_available,32431410.13599356
SH600327,volume_available,19268850.72051818
SH600328,volume_available,5879305.9369129
SH600329,volume_available,7371748.818032639
SH600330,volume_available,12968858.319080468
SH600331,volume_available,33531366.599697877
SH600332,unknown_volume_fail_closed,
SH600333,volume_available,10650920.278040638
SH600335,volume_available,6150956.21886866
SH600336,volume_available,13744475.430046577
SH600337,volume_available,7450497.446873829
SH600338,volume_available,2605458.4510192876
SH600339,volume_available,13896639.0501562
SH600340,volume_available,12578847.472494645
SH600343,volume_available,44572189.30475901
SH600345,volume_available,3374926.3378206603
SH600348,volume_available,72484638.03439294
SH600351,volume_available,12006351.396373155
SH600352,volume_available,76738862.7869774
SH600353,volume_available,7648983.592415783
SH600354,volume_available,33033044.285939984
SH600355,volume_available,5175672.248143067
SH600358,volume_available,10600139.598785171
SH600359,volume_available,12953025.473361708
SH600360,volume_available,15053336.72599725
SH600362,volume_available,66551425.19602436
SH600363,volume_available,11775902.09225009
SH600366,volume_available,14698836.788606083
SH600367,volume_available,6219579.782121703
SH600368,volume_available,52876775.3233572
SH600369,unknown_volume_fail_closed,
SH600371,volume_available,8190521.465099434
SH600372,volume_available,27434618.165576242
SH600375,volume_available,22474969.43952454
SH600376,volume_available,92314024.97191012
SH600377,volume_available,19658247.352099795
SH600378,volume_available,2595669.727192728
SH600380,volume_available,23923889.13359602
SH600382,volume_available,22713083.10180818
SH600383,volume_available,97737767.52309796
SH600386,volume_available,9090370.458262404
SH600387,volume_available,8636604.908652924
SH600388,volume_available,32455630.75705865
SH600389,volume_available,2957191.013865955
SH600390,volume_available,11045488.426848609
SH600391,volume_available,24725403.466065805
SH600392,volume_available,16260965.724082414
SH600395,volume_available,41695035.45930794
SH600397,volume_available,35582742.81811061
SH600398,volume_available,8680677.556907304
SH600399,unknown_volume_fail_closed,
SH600400,volume_available,9062282.047035525
SH600401,volume_available,20395065.985778593
SH600403,volume_available,21062154.654546708
SH600405,volume_available,17240661.899476074
SH600406,volume_available,51511757.7642894
SH600408,unknown_volume_fail_closed,
SH600409,volume_available,47387341.15382549
SH600410,volume_available,32719825.636419117
SH600415,volume_available,52810140.114335254
SH600416,volume_available,17125927.134004623
SH600418,unknown_volume_fail_closed,
SH600420,volume_available,3469179.4777039834
SH600422,unknown_volume_fail_closed,
SH600425,volume_available,40365462.56426681
SH600426,volume_available,44592074.34988653
SH600428,unknown_volume_fail_closed,
SH600429,volume_available,7634507.408414697
SH600432,volume_available,21867969.757825144
SH600433,volume_available,15449620.818939785
SH600435,volume_available,25151590.10472735
SH600436,volume_available,2607069.473484392
SH600438,volume_available,6425046.981629089
SH600439,volume_available,29744834.49704855
SH600446,volume_available,6592410.8703368725
SH600448,volume_available,13159674.226993144
SH600449,volume_available,22210455.95257681
SH600452,volume_available,3223693.6974245943
SH600456,volume_available,8918275.462937228
SH600458,unknown_volume_fail_closed,
SH600459,volume_available,7562255.830079305
SH600460,volume_available,23709033.759937923
SH600461,volume_available,14904850.518457675
SH600463,volume_available,5099759.869091882
SH600466,volume_available,28436998.2897471
SH600467,volume_available,20707665.66971866
SH600468,unknown_volume_fail_closed,
SH600469,volume_available,11615331.34904106
SH600470,volume_available,16927510.033029564
SH600475,volume_available,4640787.039501452
SH600476,volume_available,3743120.5129521093
SH600477,volume_available,11905234.085179457
SH600478,volume_available,6078012.586814128
SH600479,volume_available,4948886.344928226
SH600480,unknown_volume_fail_closed,
SH600481,volume_available,15169075.795397911
SH600482,volume_available,16441385.253026456
SH600483,volume_available,4980237.391352275
SH600485,volume_available,5999458.015747445
SH600486,unknown_volume_fail_closed,
SH600487,unknown_volume_fail_closed,
SH600488,volume_available,19005381.975603823
SH600489,volume_available,91410647.14008991
SH600493,volume_available,6119519.257071722
SH600495,volume_available,42647317.51139022
SH600496,volume_available,11777555.073652154
SH600497,volume_available,36549517.77436446
SH600498,volume_available,14578887.064946586
SH600499,unknown_volume_fail_closed,
SH600500,volume_available,57933899.12524293
SH600501,volume_available,14443234.777295444
SH600502,volume_available,31271868.395092856
SH600503,volume_available,59225093.77339713
SH600506,volume_available,3990448.557284394
SH600507,volume_available,55747470.041339636
SH600508,volume_available,14773348.487546165
SH600509,volume_available,26764642.94783307
SH600510,unknown_volume_fail_closed,
SH600511,volume_available,4461475.285128198
SH600513,volume_available,3743091.891075795
SH600515,volume_available,10467166.150687931
SH600516,volume_available,56389424.04369883
SH600517,unknown_volume_fail_closed,
SH600518,volume_available,61675482.90531254
SH600519,volume_available,7341155.908662304
SH600520,unknown_volume_fail_closed,
SH600521,volume_available,11305781.258343892
SH600522,volume_available,24042686.067786705
SH600523,volume_available,7639285.510030674
SH600525,unknown_volume_fail_closed,
SH600526,volume_available,35102235.421510085
SH600527,volume_available,24901321.248214185
SH600528,volume_available,170578059.13545647
SH600529,volume_available,4294570.400539128
SH600530,volume_available,7620473.917882584
SH600531,volume_available,11617144.588643903
SH600535,volume_available,12287437.19603318
SH600536,volume_available,15366276.444172103
SH600537,volume_available,13614969.54890885
SH600538,volume_available,9065451.72359407
SH600540,volume_available,5954629.160171565
SH600543,volume_available,8870831.353490358
SH600545,volume_available,54184567.26637985
SH600546,volume_available,82455589.58756165
SH600549,volume_available,14968399.585213836
SH600550,unknown_volume_fail_closed,
SH600551,volume_available,8689796.955044087
SH600552,unknown_volume_fail_closed,
SH600557,volume_available,9391396.91043323
SH600558,volume_available,6791984.843334375
SH600559,volume_available,5539356.724154864
SH600560,volume_available,2911792.7400755985
SH600562,volume_available,6838361.78505778
SH600563,volume_available,4496806.225086355
SH600565,volume_available,22189202.805854052
SH600566,unknown_volume_fail_closed,
SH600567,volume_available,176963228.66592497
SH600568,volume_available,9621099.557921574
SH600570,volume_available,16592897.367417697
SH600571,unknown_volume_fail_closed,
SH600572,volume_available,14495490.51712733
SH600577,volume_available,13600687.187780464
SH600578,unknown_volume_fail_closed,
SH600580,unknown_volume_fail_closed,
SH600581,volume_available,37624880.87869091
SH600582,volume_available,19633066.379173163
SH600583,volume_available,229572836.28043944
SH600584,unknown_volume_fail_closed,
SH600585,unknown_volume_fail_closed,
SH600586,volume_available,39044409.534850776
SH600587,volume_available,8247302.520081702
SH600588,volume_available,36123920.46442026
SH600589,volume_available,13519771.504104674
SH600590,volume_available,9292617.693815863
SH600592,volume_available,13649578.480418518
SH600594,volume_available,6863118.109816937
SH600595,volume_available,33371982.943568885
SH600596,volume_available,25778449.351703443
SH600597,volume_available,31964424.4731312
SH600598,volume_available,26477598.298515864
SH600599,volume_available,10305865.131115032
SH600600,volume_available,5436520.265195661
SH600601,volume_available,74785863.19550733
SH600602,volume_available,15754029.14318409
SH600603,volume_available,3839721.969915995
SH600606,volume_available,25941990.461108465
SH600608,volume_available,9023176.912191391
SH600609,volume_available,30446026.19579774
SH600611,volume_available,76160153.42766169
SH600612,volume_available,1588131.0627398998
SH600613,volume_available,3764109.8525221534
SH600614,volume_available,16063931.183419716
SH600616,volume_available,13413854.222057689
SH600618,volume_available,14186836.985186007
SH600619,unknown_volume_fail_closed,
SH600620,volume_available,14096054.605215764
SH600621,volume_available,13406054.842656514
SH600622,volume_available,15647599.968106415
SH600623,unknown_volume_fail_closed,
SH600624,volume_available,44402570.67103041
SH600626,unknown_volume_fail_closed,
SH600628,volume_available,15521628.595269013
SH600630,unknown_volume_fail_closed,
SH600633,volume_available,71696876.30613832
SH600635,volume_available,92079865.5050104
SH600636,volume_available,12086959.318854144
SH600638,volume_available,8069509.989053135
SH600639,volume_available,28314683.118227012
SH600640,volume_available,5976617.110218603
SH600642,volume_available,90529074.09812936
SH600643,volume_available,63584557.752800785
SH600644,volume_available,13950010.070884937
SH600645,unknown_volume_fail_closed,
SH600648,volume_available,14529732.433944806
SH600649,unknown_volume_fail_closed,
SH600650,volume_available,12193504.81774889
SH600651,volume_available,32235915.880420536
SH600652,volume_available,14576085.494906712
SH600653,volume_available,46067691.80227359
SH600654,volume_available,11663737.373938417
SH600655,volume_available,22482732.649352435
SH600656,unknown_volume_fail_closed,
SH600657,volume_available,41786013.03523098
SH600658,volume_available,5796391.99764398
SH600660,volume_available,39901592.83557378
SH600661,volume_available,3977823.4628808447
SH600662,volume_available,21439408.34726189
SH600663,volume_available,28348345.946465593
SH600664,unknown_volume_fail_closed,
SH600667,volume_available,61503968.55235764
SH600668,volume_available,14568330.360509431
SH600671,volume_available,3225181.8343281243
SH600673,volume_available,37200374.606031254
SH600674,unknown_volume_fail_closed,
SH600675,volume_available,66403390.79549116
SH600676,volume_available,14965276.540201625
SH600677,unknown_volume_fail_closed,
SH600679,volume_available,2738386.271885546
SH600680,volume_available,2323161.564219694
SH600683,volume_available,13630466.836386805
SH600684,volume_available,36207669.79161488
SH600686,volume_available,8311127.653496394
SH600687,unknown_volume_fail_closed,
SH600688,volume_available,173910288.8443125
SH600690,volume_available,55425133.38627646
SH600691,volume_available,50525237.664196596
SH600692,volume_available,15479733.968239421
SH600694,volume_available,11108935.57290537
SH600695,volume_available,9005900.2966132
SH600696,volume_available,13710744.88206233
SH600697,volume_available,2973771.2787024477
SH600698,volume_available,14332159.987442916
SH600699,unknown_volume_fail_closed,
SH600701,unknown_volume_fail_closed,
SH600702,volume_available,14305823.334088722
SH600703,volume_available,47514306.45929223
SH600704,unknown_volume_fail_closed,
SH600706,volume_available,3762552.3128362214
SH600707,volume_available,18113629.622925516
SH600708,volume_available,11943180.506322408
SH600711,unknown_volume_fail_closed,
SH600713,volume_available,17095845.680650413
SH600714,unknown_volume_fail_closed,
SH600716,unknown_volume_fail_closed,
SH600717,volume_available,82512435.49350533
SH600718,volume_available,56708177.74656202
SH600720,volume_available,60911533.06910735
SH600722,volume_available,6344050.380489184
SH600723,volume_available,11143053.400121715
SH600727,volume_available,5702874.184887757
SH600728,volume_available,8278300.274500501
SH600729,volume_available,13061724.789399127
SH600732,volume_available,11799866.563559202
SH600733,volume_available,1920636.3080503666
SH600735,volume_available,5524238.15100727
SH600736,volume_available,40140853.79059964
SH600737,volume_available,91923854.47122289
SH600738,volume_available,9785581.780269414
SH600739,volume_available,116100037.79716353
SH600740,unknown_volume_fail_closed,
SH600741,volume_available,22993054.36634071
SH600742,volume_available,6195767.244525008
SH600743,volume_available,42899300.234022975
SH600745,unknown_volume_fail_closed,
SH600746,volume_available,4304132.710851346
SH600747,unknown_volume_fail_closed,
SH600748,volume_available,25580987.89576455
SH600749,unknown_volume_fail_closed,
SH600750,volume_available,6841284.276366955
SH600751,volume_available,46717160.61341314
SH600754,unknown_volume_fail_closed,
SH600755,volume_available,148239720.1649427
SH600756,volume_available,11810646.96825917
SH600757,volume_available,31247176.790932536
SH600759,unknown_volume_fail_closed,
SH600760,unknown_volume_fail_closed,
SH600761,unknown_volume_fail_closed,
SH600763,volume_available,1125216.4768701585
SH600765,unknown_volume_fail_closed,
SH600767,unknown_volume_fail_closed,
SH600770,volume_available,33335294.547471672
SH600771,volume_available,3278177.826955942
SH600773,volume_available,14740026.282161841
SH600775,volume_available,15804562.556039955
SH600776,volume_available,13996420.095216777
SH600777,unknown_volume_fail_closed,
SH600778,volume_available,9753276.0761376
SH600779,volume_available,19863608.15880043
SH600780,volume_available,20982582.30347224
SH600781,volume_available,3074495.378032771
SH600783,volume_available,27273961.18161878
SH600784,volume_available,33540111.577704947
SH600785,volume_available,8786365.52660441
SH600787,volume_available,84120750.08965752
SH600789,volume_available,37801043.5162993
SH600790,volume_available,21397798.617719866
SH600791,unknown_volume_fail_closed,
SH600792,volume_available,41411360.02976435
SH600794,volume_available,19749896.93940128
SH600795,volume_available,1048432976.2020922
SH600797,volume_available,33520617.776093446
SH600798,volume_available,36913351.98481413
SH600800,volume_available,21320729.11654008
SH600801,volume_available,43435793.34994149
SH600802,volume_available,17743675.23213169
SH600803,volume_available,5104169.453741586
SH600804,volume_available,44954260.64812659
SH600805,volume_available,36464073.15888742
SH600807,volume_available,6496338.007757879
SH600809,volume_available,15888908.308744958
SH600810,volume_available,6786881.089182474
SH600811,volume_available,87763339.00187257
SH600812,volume_available,22644789.025986683
SH600815,unknown_volume_fail_closed,
SH600816,volume_available,32846466.7619401
SH600818,unknown_volume_fail_closed,
SH600820,volume_available,164014544.37660584
SH600821,volume_available,16006000.722365405
SH600822,volume_available,13466585.445546564
SH600823,volume_available,23920766.01962948
SH600824,volume_available,15508082.55139387
SH600825,volume_available,30949440.543879915
SH600826,volume_available,7657486.766167045
SH600827,volume_available,46235031.71316815
SH600830,volume_available,33191565.750505053
SH600831,volume_available,19059806.570756577
SH600833,volume_available,5664100.807911953
SH600835,volume_available,16759587.372879833
SH600836,volume_available,15918178.473917073
SH600837,unknown_volume_fail_closed,
SH600838,volume_available,10460457.523099396
SH600839,volume_available,135110381.03765392
SH600843,volume_available,6121632.474500842
SH600844,unknown_volume_fail_closed,
SH600845,unknown_volume_fail_closed,
SH600846,volume_available,33624890.201664366
SH600850,volume_available,3129390.149948507
SH600851,volume_available,26928604.29072248
SH600854,volume_available,9301371.513850886
SH600855,volume_available,22359498.263647154
SH600856,volume_available,4568436.596704272
SH600857,volume_available,5066008.204353591
SH600858,volume_available,15950986.874178004
SH600859,volume_available,15116896.880668998
SH600861,volume_available,5490124.74759682
SH600863,volume_available,218464797.54622382
SH600864,volume_available,29141715.05429759
SH600865,volume_available,6641695.717089377
SH600866,volume_available,11451003.97805603
SH600867,volume_available,34080456.93060042
SH600868,volume_available,91659232.74438007
SH600869,volume_available,8052580.368050414
SH600870,volume_available,10930035.105193306
SH600872,volume_available,16574587.125916174
SH600873,volume_available,53628850.94336206
SH600874,volume_available,50851471.60237235
SH600875,volume_available,50317473.155648135
SH600877,volume_available,28617112.64972958
SH600879,volume_available,63471951.91237809
SH600880,volume_available,43478714.29123981
SH600881,volume_available,92909826.21983506
SH600882,volume_available,7955132.31003463
SH600884,volume_available,11268608.63945232
SH600885,volume_available,5234954.348425408
SH600886,volume_available,164186014.9844315
SH600887,volume_available,95615598.26943812
SH600888,volume_available,18994523.698565267
SH600889,volume_available,6879681.331386419
SH600893,volume_available,27209364.891673557
SH600894,volume_available,6054837.203704098
SH600895,volume_available,57273815.56943311
SH600896,volume_available,49653334.05993313
SH600897,volume_available,12154572.002739688
SH600898,volume_available,7128345.027408116
SH600900,volume_available,115877021.71957405
SH600961,volume_available,7941510.869499618
SH600963,volume_available,27354047.49147395
SH600965,volume_available,9564543.704184426
SH600966,volume_available,27227880.97332505
SH600967,volume_available,33898215.496814966
SH600970,volume_available,63364073.55562798
SH600971,volume_available,30799770.146369547
SH600973,volume_available,8222533.526249719
SH600975,volume_available,7153043.382666106
SH600976,volume_available,2674265.2283598906
SH600979,volume_available,10508703.801890181
SH600980,volume_available,2404281.707213101
SH600982,volume_available,24036707.286730014
SH600983,volume_available,3964008.6830834546
SH600987,volume_available,11048867.776268637
SH600988,volume_available,12065246.244483003
SH600990,volume_available,3390775.9263179577
SH600993,volume_available,7120791.696417956
SH600995,volume_available,17787191.054450665
SH600997,volume_available,31781628.876714922
SH600998,volume_available,22273354.060420785
SH600999,volume_available,188919635.93828908
SH601000,volume_available,91254779.48532063
SH601001,volume_available,45940391.30665942
SH601002,volume_available,63799523.675775506
SH601006,volume_available,179480796.52815738
SH601007,volume_available,4027489.8722646935
SH601008,volume_available,64622027.22629446
SH601009,volume_available,144832930.89855465
SH601010,unknown_volume_fail_closed,
SH601011,volume_available,6163841.47005741
SH601012,volume_available,18874542.01579414
SH601018,volume_available,214801739.82098156
SH601028,volume_available,10255801.93050732
SH601038,volume_available,29964792.868198287
SH601058,volume_available,4732707.501149106
SH601088,volume_available,103395746.48387614
SH601098,volume_available,25145158.09841014
SH601099,volume_available,325899866.77168924
SH601100,volume_available,7752214.232830344
SH601101,unknown_volume_fail_closed,
SH601106,volume_available,284888326.01939076
SH601111,volume_available,163090424.89697486
SH601116,volume_available,5221831.847360904
SH601117,volume_available,211367862.5658301
SH601118,volume_available,118601492.80285999
SH601126,volume_available,7376182.760505555
SH601137,volume_available,2067001.0089540351
SH601139,volume_available,14721640.169035304
SH601158,volume_available,60987022.61000111
SH601166,volume_available,572037896.2324628
SH601168,volume_available,98087735.67127734
SH601169,volume_available,178048764.41043782
SH601179,volume_available,130291848.28894396
SH601186,unknown_volume_fail_closed,
SH601199,unknown_volume_fail_closed,
SH601208,volume_available,9813969.110269671
SH601216,unknown_volume_fail_closed,
SH601218,volume_available,20446943.880864035
SH601222,volume_available,2350039.950883721
SH601225,volume_available,51530847.81646222
SH601231,volume_available,2756344.3515600427
SH601233,volume_available,22867065.585756123
SH601238,volume_available,24685561.3625407
SH601258,volume_available,40501221.849532165
SH601288,volume_available,1170585815.7109752
SH601299,unknown_volume_fail_closed,
SH601311,volume_available,10939503.5857662
SH601313,volume_available,4886536.130032182
SH601318,volume_available,244406400.7308848
SH601328,volume_available,643819680.1792531
SH601333,volume_available,211412575.8756557
SH601336,volume_available,61156506.25816654
SH601360,volume_available,4886536.120989701
SH601369,volume_available,31301619.84932859
SH601377,volume_available,405232916.06614006
SH601388,volume_available,12259359.820807157
SH601390,volume_available,676705983.9476538
SH601398,volume_available,750796474.5912747
SH601515,volume_available,7442547.722911502
SH601555,volume_available,145360174.5304745
SH601566,volume_available,5685040.340091759
SH601567,volume_available,2851746.993587642
SH601600,volume_available,250341537.55232018
SH601601,volume_available,118222171.74902709
SH601607,volume_available,35812202.58978302
SH601608,volume_available,103267539.42515273
SH601616,volume_available,30174446.322377272
SH601618,volume_available,582182075.2414739
SH601628,volume_available,129999832.0593359
SH601633,volume_available,8230974.317304367
SH601636,volume_available,10079484.335824171
SH601666,volume_available,73765425.87138015
SH601668,volume_available,1290128382.200203
SH601677,volume_available,7831042.058915997
SH601678,volume_available,23079129.36847023
SH601688,volume_available,360719352.06134
SH601699,volume_available,64675196.50341544
SH601700,volume_available,4934589.654634912
SH601717,volume_available,30562566.440936483
SH601718,volume_available,145740925.80881754
SH601727,volume_available,125580028.16855952
SH601766,unknown_volume_fail_closed,
SH601777,volume_available,19354468.515280895
SH601788,volume_available,193789349.21748337
SH601789,volume_available,20963930.557281837
SH601798,volume_available,5714425.180098548
SH601799,volume_available,1852604.2827803749
SH601800,volume_available,256883329.1083742
SH601801,volume_available,11944978.31369264
SH601808,volume_available,51897438.55426322
SH601818,volume_available,1101243206.3274255
SH601857,volume_available,266781350.9929157
SH601866,volume_available,230487024.09521276
SH601872,volume_available,111517731.41330011
SH601877,volume_available,4342252.7089770315
SH601880,volume_available,101981545.906302
SH601886,volume_available,23026168.02262769
SH601888,volume_available,6951609.839066511
SH601890,volume_available,12625892.82368319
SH601898,volume_available,110992729.1903908
SH601899,volume_available,484552140.2299317
SH601901,volume_available,406534379.6336087
SH601908,volume_available,9190712.644869277
SH601918,volume_available,80397774.87450895
SH601919,volume_available,157258858.58964258
SH601928,unknown_volume_fail_closed,
SH601929,volume_available,27392319.059672285
SH601933,volume_available,62859448.157605276
SH601939,volume_available,595593607.528124
SH601958,volume_available,30117271.042727053
SH601965,volume_available,12906740.130066477
SH601988,volume_available,1745783622.6574216
SH601989,volume_available,825244528.7286137
SH601991,volume_available,132629792.29835904
SH601992,volume_available,66683861.08542498
SH601996,volume_available,16038718.484390195
SH601998,volume_available,311805154.9765821
SH601999,volume_available,18135692.623133987
SH603000,volume_available,14493841.280608898
SH603001,volume_available,4769481.056164606
SH603002,volume_available,9068577.305610228
SH603003,unknown_volume_fail_closed,
SH603005,volume_available,1455251.6066290662
SH603008,unknown_volume_fail_closed,
SH603077,volume_available,9448923.082926411
SH603123,volume_available,6928567.306348048
SH603128,volume_available,11579181.589429121
SH603167,volume_available,18690855.05950098
SH603288,volume_available,4145982.1512872227
SH603308,volume_available,7059792.113975589
SH603333,volume_available,11871802.847149566
SH603366,volume_available,4884842.053368186
SH603399,volume_available,7253545.517078757
SH603555,volume_available,8859299.806765346
SH603699,volume_available,4371223.023371072
SH603766,unknown_volume_fail_closed,
SH603993,volume_available,24208033.82620733
SZ000001,volume_available,276926886.0218166
SZ000002,volume_available,285867974.71359694
SZ000004,volume_available,2871499.4714541445
SZ000006,volume_available,59117680.140064955
