incident_id,asset_id,instrument,first_missing,last_observed,last_observed_status,special_observation_in_prior_20_sessions,economic_type,confirmed_terminal,disposition,required_without_exposure
SZ300156:2020-08-26,SZ300156,SZ300156,2020-08-26,2020-08-25,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300178:2022-06-23,SZ300178,SZ300178,2022-06-23,2022-06-22,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300186:2015-11-03,SZ300186,SZ300186,2015-11-03,2015-11-02,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300202:2022-07-05,SZ300202,SZ300202,2022-07-05,2022-07-04,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300216:2020-09-17,SZ300216,SZ300216,2020-09-17,2020-09-16,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300273:2023-07-07,SZ300273,SZ300273,2023-07-07,2023-07-06,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300297:2023-08-01,SZ300297,SZ300297,2023-08-01,2023-07-31,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300309:2023-05-31,SZ300309,SZ300309,2023-05-31,2023-05-30,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300312:2022-07-05,SZ300312,SZ300312,2022-07-05,2022-07-04,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300325:2022-06-29,SZ300325,SZ300325,2022-06-29,2022-06-28,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300330:2023-05-25,SZ300330,SZ300330,2023-05-25,2023-05-24,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300336:2023-07-06,SZ300336,SZ300336,2023-07-06,2023-07-05,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300356:2023-07-14,SZ300356,SZ300356,2023-07-14,2023-07-13,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300362:2021-08-31,SZ300362,SZ300362,2021-08-31,2021-08-30,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
