asset_id,event_id,record_date,ex_date,bonus_per_share,handler_family
SZ300130,9be06c2e42632cb526090353,20180424,20180425,0.7999346,exact_fractional_claim_pending_allocation
SZ300144,013fb14dbcc81895953e9ce8,20150831,20150901,1.4073809,exact_fractional_claim_pending_allocation
SZ300155,777ebe2c4f4121e8007f3033,20150702,20150703,0.5025128,exact_fractional_claim_pending_allocation
SZ300166,cdf48ade8e350f0f4475d359,20150423,20150424,0.9830751,exact_fractional_claim_pending_allocation
SZ300166,a55e92e0652346efae205b41,20170612,20170613,0.5999556,exact_fractional_claim_pending_allocation
SZ300182,f0c286b321a66eab6eed7195,20160714,20160715,0.4996546,exact_fractional_claim_pending_allocation
SZ300201,68994b81780566e7d298b875,20160927,20160928,1.3818802,exact_fractional_claim_pending_allocation
SZ300204,070f531de6a93050f4699e2e,20160504,20160505,0.3995941,exact_fractional_claim_pending_allocation
SZ300209,5550cd5a454ab65bced7f2dd,20150513,20150514,0.4850535,exact_fractional_claim_pending_allocation
SZ300223,8451c506f5fbc287bcc1c563,20180611,20180612,0.1998059,exact_fractional_claim_pending_allocation
SZ300232,71f86f38be0b77b629f40885,20190617,20190618,0.2000796,exact_fractional_claim_pending_allocation
SZ300234,b414478d0d67e1d2c24fcd6d,20200420,20200421,0.8125392,exact_fractional_claim_pending_allocation
SZ300241,3624b93ee7556b20a47728bd,20180514,20180515,1.0015213,exact_fractional_claim_pending_allocation
SZ300248,5d474192b147f04603c214df,20180521,20180522,0.5088139,exact_fractional_claim_pending_allocation
SZ300250,7b0200c3da1cd68f5c53fb28,20160613,20160614,0.9922985,exact_fractional_claim_pending_allocation
SZ300271,9a1b77371ca53f9096bcc254,20150427,20150428,0.98657,exact_fractional_claim_pending_allocation
SZ300271,c9d1a04f82a5c4e635478e16,20160324,20160325,0.9973194,exact_fractional_claim_pending_allocation
SZ300298,557dbc5287641cd12ed80d18,20150515,20150518,0.2988324,exact_fractional_claim_pending_allocation
SZ300300,29d30e3028f677fcd874cc01,20180710,20180711,0.4916301,exact_fractional_claim_pending_allocation
SZ300311,9beae6415e13986a423aced8,20160622,20160623,0.5001786,exact_fractional_claim_pending_allocation
