outer_split_id,inner_split_id,factor,selected,selection_eligible,selection_reason,frozen_direction,fdr_bh_q_value
split_001,split_001_inner_003,alpha158_VSTD5,False,True,weak_validation_ic;fdr_not_passed,-1,0.2081504354231626
split_001,split_001_inner_003,alpha158_VSTD60,False,True,direction_mismatch,1,0.0042033438259853
split_001,split_001_inner_003,alpha158_VSUMD10,False,True,fdr_not_passed,-1,0.1263453860627005
split_001,split_001_inner_003,alpha158_VSUMD20,True,True,selected,-1,0.0162288043082745
split_001,split_001_inner_003,alpha158_VSUMD30,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_003,alpha158_VSUMD5,False,True,weak_validation_ic;fdr_not_passed,-1,0.1961656091348924
split_001,split_001_inner_003,alpha158_VSUMD60,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_003,alpha158_VSUMN10,False,True,fdr_not_passed,1,0.1103993697244141
split_001,split_001_inner_003,alpha158_VSUMN20,True,True,selected,1,0.0175108734060699
split_001,split_001_inner_003,alpha158_VSUMN30,True,True,selected,1,0.0068546837777607
split_001,split_001_inner_003,alpha158_VSUMN5,False,True,weak_validation_ic;fdr_not_passed,1,0.1916114973109791
split_001,split_001_inner_003,alpha158_VSUMN60,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_003,alpha158_VSUMP10,False,True,fdr_not_passed,-1,0.1173135375263034
split_001,split_001_inner_003,alpha158_VSUMP20,True,True,selected,-1,0.0121791647987547
split_001,split_001_inner_003,alpha158_VSUMP30,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_003,alpha158_VSUMP5,False,True,weak_validation_ic;fdr_not_passed,-1,0.2008399071217407
split_001,split_001_inner_003,alpha158_VSUMP60,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_003,alpha158_VWAP0,False,True,weak_validation_ic;fdr_not_passed,1,0.1836459192980932
split_001,split_001_inner_003,alpha158_WVMA10,False,True,fdr_not_passed,1,0.6394085049417353
split_001,split_001_inner_003,alpha158_WVMA20,False,True,direction_mismatch;fdr_not_passed,-1,0.8359193676414219
split_001,split_001_inner_003,alpha158_WVMA30,False,True,direction_mismatch;fdr_not_passed,-1,0.7245369309589492
split_001,split_001_inner_003,alpha158_WVMA5,False,True,fdr_not_passed,1,0.6611342503650196
split_001,split_001_inner_003,alpha158_WVMA60,False,True,fdr_not_passed,1,0.6487355237355238
split_001,split_001_inner_003,alpha360_CLOSE1,False,True,fdr_not_passed,1,0.1062169972884258
