instrument,datetime,listing_date_proxy,listing_age_days,listing_age_bucket
SH600056,2023-12-29,2000-01-04,8760.0,501_plus
SH600057,2023-12-29,2000-01-04,8760.0,501_plus
SH600058,2023-12-29,2000-01-04,8760.0,501_plus
SH600059,2023-12-29,2000-01-04,8760.0,501_plus
SH600060,2023-12-29,2000-01-04,8760.0,501_plus
SH600061,2023-12-29,2000-01-04,8760.0,501_plus
SH600062,2023-12-29,2000-01-04,8760.0,501_plus
SH600063,2023-12-29,2000-01-04,8760.0,501_plus
SH600064,2023-12-29,2000-01-04,8760.0,501_plus
SH600066,2023-12-29,2000-01-04,8760.0,501_plus
SH600067,2023-12-29,2000-01-04,8760.0,501_plus
SH600070,2023-12-29,2000-01-04,8760.0,501_plus
SH600071,2023-12-29,2000-01-04,8760.0,501_plus
SH600072,2023-12-29,2000-01-04,8760.0,501_plus
SH600073,2023-12-29,2000-01-04,8760.0,501_plus
SH600075,2023-12-29,2000-01-04,8760.0,501_plus
SH600076,2023-12-29,2000-01-04,8760.0,501_plus
SH600078,2023-12-29,2000-01-04,8760.0,501_plus
SH600079,2023-12-29,2000-01-04,8760.0,501_plus
SH600080,2023-12-29,2000-01-04,8760.0,501_plus
SH600081,2023-12-29,2000-01-04,8760.0,501_plus
SH600082,2023-12-29,2000-01-04,8760.0,501_plus
SH600083,2023-12-29,2000-01-04,8760.0,501_plus
SH600084,2023-12-29,2000-01-04,8760.0,501_plus
SH600085,2023-12-29,2000-01-04,8760.0,501_plus
SH600088,2023-12-29,2000-01-04,8760.0,501_plus
SH600089,2023-12-29,2000-01-04,8760.0,501_plus
SH600094,2023-12-29,2000-01-04,8760.0,501_plus
SH600095,2023-12-29,2000-01-04,8760.0,501_plus
SH600096,2023-12-29,2000-01-04,8760.0,501_plus
SH600097,2023-12-29,2000-01-04,8760.0,501_plus
SH600098,2023-12-29,2000-01-04,8760.0,501_plus
SH600099,2023-12-29,2000-01-04,8760.0,501_plus
SH600100,2023-12-29,2000-01-04,8760.0,501_plus
SH600101,2023-12-29,2000-01-04,8760.0,501_plus
SH600103,2023-12-29,2000-01-04,8760.0,501_plus
SH600104,2023-12-29,2000-01-04,8760.0,501_plus
SH600105,2023-12-29,2000-01-04,8760.0,501_plus
SH600106,2023-12-29,2000-01-04,8760.0,501_plus
SH600107,2023-12-29,2000-01-04,8760.0,501_plus
SH600108,2023-12-29,2000-01-04,8760.0,501_plus
SH600109,2023-12-29,2000-01-04,8760.0,501_plus
SH600110,2023-12-29,2000-01-04,8760.0,501_plus
SH600111,2023-12-29,2000-01-04,8760.0,501_plus
SH600112,2023-12-29,2000-01-04,8760.0,501_plus
SH600113,2023-12-29,2000-01-04,8760.0,501_plus
SH600114,2023-12-29,2004-05-11,7171.0,501_plus
SH600115,2023-12-29,2000-01-04,8760.0,501_plus
SH600116,2023-12-29,2000-01-04,8760.0,501_plus
SH600117,2023-12-29,2000-01-04,8760.0,501_plus
SH600118,2023-12-29,2000-01-04,8760.0,501_plus
SH600119,2023-12-29,2000-01-04,8760.0,501_plus
SH600120,2023-12-29,2000-01-04,8760.0,501_plus
SH600121,2023-12-29,2000-01-04,8760.0,501_plus
SH600123,2023-12-29,2000-01-04,8760.0,501_plus
SH600125,2023-12-29,2000-01-04,8760.0,501_plus
SH600126,2023-12-29,2000-01-04,8760.0,501_plus
SH600127,2023-12-29,2000-01-04,8760.0,501_plus
SH600128,2023-12-29,2000-01-04,8760.0,501_plus
SH600129,2023-12-29,2000-01-04,8760.0,501_plus
SH600130,2023-12-29,2000-07-06,8576.0,501_plus
SH600131,2023-12-29,2000-01-04,8760.0,501_plus
SH600132,2023-12-29,2000-01-04,8760.0,501_plus
SH600133,2023-12-29,2000-01-04,8760.0,501_plus
SH600135,2023-12-29,2000-01-04,8760.0,501_plus
SH600136,2023-12-29,2000-01-04,8760.0,501_plus
SH600137,2023-12-29,2000-01-04,8760.0,501_plus
SH600138,2023-12-29,2000-01-04,8760.0,501_plus
SH600141,2023-12-29,2000-01-04,8760.0,501_plus
SH600143,2023-12-29,2004-06-23,7128.0,501_plus
SH600148,2023-12-29,2000-01-04,8760.0,501_plus
SH600149,2023-12-29,2000-01-04,8760.0,501_plus
SH600150,2023-12-29,2000-01-04,8760.0,501_plus
SH600151,2023-12-29,2000-01-04,8760.0,501_plus
SH600152,2023-12-29,2000-01-04,8760.0,501_plus
SH600153,2023-12-29,2000-01-04,8760.0,501_plus
SH600155,2023-12-29,2000-01-04,8760.0,501_plus
SH600156,2023-12-29,2000-01-04,8760.0,501_plus
SH600157,2023-12-29,2000-01-04,8760.0,501_plus
SH600158,2023-12-29,2000-01-04,8760.0,501_plus
SH600159,2023-12-29,2000-01-04,8760.0,501_plus
SH600160,2023-12-29,2000-01-04,8760.0,501_plus
SH600161,2023-12-29,2000-01-04,8760.0,501_plus
SH600162,2023-12-29,2000-01-04,8760.0,501_plus
SH600163,2023-12-29,2000-01-04,8760.0,501_plus
SH600165,2023-12-29,2000-01-04,8760.0,501_plus
SH600166,2023-12-29,2000-01-04,8760.0,501_plus
SH600167,2023-12-29,2000-01-04,8760.0,501_plus
SH600168,2023-12-29,2000-01-04,8760.0,501_plus
SH600169,2023-12-29,2000-01-04,8760.0,501_plus
SH600170,2023-12-29,2000-01-04,8760.0,501_plus
SH600171,2023-12-29,2000-01-04,8760.0,501_plus
SH600172,2023-12-29,2000-01-04,8760.0,501_plus
SH600173,2023-12-29,2000-01-04,8760.0,501_plus
SH600176,2023-12-29,2000-01-04,8760.0,501_plus
SH600177,2023-12-29,2000-01-04,8760.0,501_plus
SH600178,2023-12-29,2000-01-04,8760.0,501_plus
SH600179,2023-12-29,2000-01-04,8760.0,501_plus
SH600180,2023-12-29,2000-01-04,8760.0,501_plus
SH600182,2023-12-29,2000-01-04,8760.0,501_plus
SH600183,2023-12-29,2000-01-04,8760.0,501_plus
SH600184,2023-12-29,2003-11-06,7358.0,501_plus
SH600185,2023-12-29,2000-01-04,8760.0,501_plus
SH600186,2023-12-29,2000-01-04,8760.0,501_plus
SH600187,2023-12-29,2000-01-04,8760.0,501_plus
SH600188,2023-12-29,2000-01-04,8760.0,501_plus
SH600189,2023-12-29,2000-01-04,8760.0,501_plus
SH600190,2023-12-29,2000-01-04,8760.0,501_plus
SH600191,2023-12-29,2000-01-04,8760.0,501_plus
SH600192,2023-12-29,2000-01-04,8760.0,501_plus
SH600193,2023-12-29,2000-01-04,8760.0,501_plus
SH600195,2023-12-29,2000-01-04,8760.0,501_plus
SH600196,2023-12-29,2000-01-04,8760.0,501_plus
SH600197,2023-12-29,2000-01-04,8760.0,501_plus
SH600198,2023-12-29,2000-01-04,8760.0,501_plus
SH600199,2023-12-29,2000-01-04,8760.0,501_plus
SH600200,2023-12-29,2000-01-04,8760.0,501_plus
SH600201,2023-12-29,2000-01-04,8760.0,501_plus
SH600202,2023-12-29,2000-01-04,8760.0,501_plus
SH600203,2023-12-29,2000-01-04,8760.0,501_plus
SH600206,2023-12-29,2000-01-04,8760.0,501_plus
SH600207,2023-12-29,2000-01-04,8760.0,501_plus
SH600208,2023-12-29,2000-01-04,8760.0,501_plus
SH600210,2023-12-29,2000-01-04,8760.0,501_plus
SH600211,2023-12-29,2000-01-04,8760.0,501_plus
SH600212,2023-12-29,2000-01-04,8760.0,501_plus
SH600213,2023-12-29,2000-01-04,8760.0,501_plus
SH600215,2023-12-29,2000-01-04,8760.0,501_plus
SH600216,2023-12-29,2000-01-04,8760.0,501_plus
SH600217,2023-12-29,2000-01-04,8760.0,501_plus
SH600218,2023-12-29,2000-01-04,8760.0,501_plus
SH600219,2023-12-29,2000-01-04,8760.0,501_plus
SH600220,2023-12-29,2000-01-04,8760.0,501_plus
SH600221,2023-12-29,2000-01-04,8760.0,501_plus
SH600222,2023-12-29,2000-01-04,8760.0,501_plus
SH600223,2023-12-29,2000-01-13,8751.0,501_plus
SH600225,2023-12-29,2000-01-27,8737.0,501_plus
SH600226,2023-12-29,2000-01-04,8760.0,501_plus
SH600227,2023-12-29,2000-02-21,8712.0,501_plus
SH600228,2023-12-29,2000-01-04,8760.0,501_plus
SH600229,2023-12-29,2000-03-09,8695.0,501_plus
SH600230,2023-12-29,2000-04-06,8667.0,501_plus
SH600231,2023-12-29,2000-05-11,8632.0,501_plus
SH600232,2023-12-29,2000-06-02,8610.0,501_plus
SH600233,2023-12-29,2000-06-08,8604.0,501_plus
SH600234,2023-12-29,2000-06-15,8597.0,501_plus
SH600235,2023-12-29,2000-06-15,8597.0,501_plus
SH600236,2023-12-29,2000-03-23,8681.0,501_plus
SH600237,2023-12-29,2000-06-09,8603.0,501_plus
SH600238,2023-12-29,2000-01-20,8744.0,501_plus
SH600239,2023-12-29,2000-01-04,8760.0,501_plus
SH600241,2023-12-29,2000-11-28,8431.0,501_plus
SH600243,2023-12-29,2000-11-20,8439.0,501_plus
SH600246,2023-12-29,2000-09-22,8498.0,501_plus
SH600248,2023-12-29,2000-06-22,8590.0,501_plus
SH600249,2023-12-29,2004-01-30,7273.0,501_plus
SH600250,2023-12-29,2001-03-06,8333.0,501_plus
SH600251,2023-12-29,2003-06-09,7508.0,501_plus
SH600252,2023-12-29,2000-11-30,8429.0,501_plus
SH600255,2023-12-29,2000-11-22,8437.0,501_plus
SH600256,2023-12-29,2000-05-26,8617.0,501_plus
SH600257,2023-12-29,2000-06-12,8600.0,501_plus
SH600258,2023-12-29,2000-06-01,8611.0,501_plus
SH600259,2023-12-29,2000-05-25,8618.0,501_plus
SH600261,2023-12-29,2000-07-20,8562.0,501_plus
SH600262,2023-12-29,2000-06-30,8582.0,501_plus
SH600265,2023-12-29,2000-08-25,8526.0,501_plus
SH600266,2023-12-29,2000-01-04,8760.0,501_plus
SH600267,2023-12-29,2000-07-25,8557.0,501_plus
SH600268,2023-12-29,2000-01-04,8760.0,501_plus
SH600269,2023-12-29,2000-05-18,8625.0,501_plus
SH600271,2023-12-29,2003-07-11,7476.0,501_plus
SH600272,2023-12-29,2001-02-28,8339.0,501_plus
SH600273,2023-12-29,2003-06-27,7490.0,501_plus
SH600276,2023-12-29,2000-10-18,8472.0,501_plus
SH600277,2023-12-29,2000-07-25,8557.0,501_plus
SH600278,2023-12-29,2000-07-12,8570.0,501_plus
SH600279,2023-12-29,2000-07-31,8551.0,501_plus
SH600280,2023-12-29,2000-09-26,8494.0,501_plus
SH600281,2023-12-29,2000-11-09,8450.0,501_plus
SH600282,2023-12-29,2000-09-19,8501.0,501_plus
SH600283,2023-12-29,2000-10-18,8472.0,501_plus
SH600284,2023-12-29,2004-03-16,7227.0,501_plus
SH600285,2023-12-29,2000-10-18,8472.0,501_plus
SH600287,2023-12-29,2000-09-01,8519.0,501_plus
SH600288,2023-12-29,2000-11-29,8430.0,501_plus
SH600289,2023-12-29,2000-07-20,8562.0,501_plus
SH600290,2023-12-29,2000-11-06,8453.0,501_plus
SH600292,2023-12-29,2000-11-01,8458.0,501_plus
SH600293,2023-12-29,2000-09-19,8501.0,501_plus
SH600295,2023-12-29,2001-04-26,8282.0,501_plus
SH600297,2023-12-29,2000-11-16,8443.0,501_plus
SH600298,2023-12-29,2000-08-18,8533.0,501_plus
SH600299,2023-12-29,2000-04-20,8653.0,501_plus
SH600300,2023-12-29,2000-06-30,8582.0,501_plus
SH600301,2023-12-29,2000-07-12,8570.0,501_plus
SH600302,2023-12-29,2000-12-13,8416.0,501_plus
SH600303,2023-12-29,2000-12-26,8403.0,501_plus
SH600305,2023-12-29,2001-02-06,8361.0,501_plus
SH600306,2023-12-29,2000-12-26,8403.0,501_plus
SH600307,2023-12-29,2000-12-20,8409.0,501_plus
SH600308,2023-12-29,2000-09-28,8492.0,501_plus
SH600309,2023-12-29,2001-01-05,8393.0,501_plus
SH600310,2023-12-29,2001-02-28,8339.0,501_plus
SH600312,2023-12-29,2001-02-21,8346.0,501_plus
SH600313,2023-12-29,2001-01-19,8379.0,501_plus
SH600315,2023-12-29,2001-03-15,8324.0,501_plus
SH600316,2023-12-29,2000-12-15,8414.0,501_plus
SH600318,2023-12-29,2000-12-08,8421.0,501_plus
SH600319,2023-12-29,2001-03-26,8313.0,501_plus
SH600320,2023-12-29,2000-12-21,8408.0,501_plus
SH600321,2023-12-29,2001-05-24,8254.0,501_plus
SH600322,2023-12-29,2001-09-10,8145.0,501_plus
SH600323,2023-12-29,2000-12-25,8404.0,501_plus
SH600325,2023-12-29,2004-02-25,7247.0,501_plus
SH600326,2023-12-29,2001-01-16,8382.0,501_plus
SH600327,2023-12-29,2002-06-25,7857.0,501_plus
SH600328,2023-12-29,2000-12-22,8407.0,501_plus
SH600329,2023-12-29,2001-06-06,8241.0,501_plus
SH600330,2023-12-29,2001-01-18,8380.0,501_plus
SH600331,2023-12-29,2001-12-20,8044.0,501_plus
SH600332,2023-12-29,2001-02-06,8361.0,501_plus
SH600333,2023-12-29,2000-12-11,8418.0,501_plus
SH600335,2023-12-29,2001-03-05,8334.0,501_plus
SH600336,2023-12-29,2000-12-29,8400.0,501_plus
SH600337,2023-12-29,2000-11-27,8432.0,501_plus
SH600338,2023-12-29,2000-12-27,8402.0,501_plus
SH600339,2023-12-29,2000-12-25,8404.0,501_plus
SH600340,2023-12-29,2003-12-30,7304.0,501_plus
SH600343,2023-12-29,2003-04-08,7570.0,501_plus
SH600345,2023-12-29,2000-12-22,8407.0,501_plus
SH600346,2023-12-29,2001-08-20,8166.0,501_plus
SH600348,2023-12-29,2003-08-21,7435.0,501_plus
SH600350,2023-12-29,2002-03-18,7956.0,501_plus
SH600351,2023-12-29,2002-09-26,7764.0,501_plus
SH600352,2023-12-29,2003-08-01,7455.0,501_plus
SH600353,2023-12-29,2002-11-20,7709.0,501_plus
SH600354,2023-12-29,2004-01-15,7288.0,501_plus
SH600355,2023-12-29,2002-06-13,7869.0,501_plus
SH600356,2023-12-29,2001-04-19,8289.0,501_plus
SH600358,2023-12-29,2000-09-22,8498.0,501_plus
SH600359,2023-12-29,2000-01-04,8760.0,501_plus
SH600360,2023-12-29,2001-03-16,8323.0,501_plus
SH600361,2023-12-29,2001-11-29,8065.0,501_plus
SH600362,2023-12-29,2002-01-11,8022.0,501_plus
SH600363,2023-12-29,2001-03-29,8310.0,501_plus
SH600365,2023-12-29,2001-01-15,8383.0,501_plus
SH600366,2023-12-29,2000-10-30,8460.0,501_plus
SH600367,2023-12-29,2001-03-20,8319.0,501_plus
SH600368,2023-12-29,2000-12-21,8408.0,501_plus
SH600369,2023-12-29,2001-01-09,8389.0,501_plus
SH600370,2023-12-29,2003-03-06,7603.0,501_plus
SH600371,2023-12-29,2002-09-16,7774.0,501_plus
SH600372,2023-12-29,2001-07-06,8211.0,501_plus
SH600373,2023-12-29,2002-03-04,7970.0,501_plus
SH600375,2023-12-29,2003-04-01,7577.0,501_plus
SH600376,2023-12-29,2001-03-12,8327.0,501_plus
SH600377,2023-12-29,2001-01-16,8382.0,501_plus
SH600378,2023-12-29,2001-01-11,8387.0,501_plus
SH600379,2023-12-29,2002-01-16,8017.0,501_plus
SH600380,2023-12-29,2001-06-08,8239.0,501_plus
SH600381,2023-12-29,2001-05-08,8270.0,501_plus
SH600382,2023-12-29,2001-01-18,8380.0,501_plus
SH600383,2023-12-29,2001-04-12,8296.0,501_plus
SH600386,2023-12-29,2001-02-16,8351.0,501_plus
SH600387,2023-12-29,2004-02-18,7254.0,501_plus
SH600388,2023-12-29,2000-12-29,8400.0,501_plus
SH600389,2023-12-29,2001-01-10,8388.0,501_plus
SH600390,2023-12-29,2001-01-15,8383.0,501_plus
SH600391,2023-12-29,2001-12-12,8052.0,501_plus
SH600392,2023-12-29,2003-05-29,7519.0,501_plus
SH600395,2023-12-29,2001-05-31,8247.0,501_plus
SH600396,2023-12-29,2001-03-28,8311.0,501_plus
SH600397,2023-12-29,2002-07-02,7850.0,501_plus
SH600398,2023-12-29,2000-12-28,8401.0,501_plus
SH600399,2023-12-29,2000-12-29,8400.0,501_plus
SH600400,2023-12-29,2001-01-08,8390.0,501_plus
SH600403,2023-12-29,2003-10-09,7386.0,501_plus
SH600405,2023-12-29,2004-04-01,7211.0,501_plus
SH600406,2023-12-29,2003-10-16,7379.0,501_plus
SH600408,2023-12-29,2003-02-12,7625.0,501_plus
SH600409,2023-12-29,2003-06-18,7499.0,501_plus
SH600410,2023-12-29,2004-04-27,7185.0,501_plus
SH600415,2023-12-29,2002-05-09,7904.0,501_plus
SH600416,2023-12-29,2002-07-18,7834.0,501_plus
SH600418,2023-12-29,2001-08-24,8162.0,501_plus
SH600419,2023-12-29,2001-06-28,8219.0,501_plus
SH600420,2023-12-29,2004-06-16,7135.0,501_plus
SH600421,2023-12-29,2004-06-07,7144.0,501_plus
SH600422,2023-12-29,2000-12-06,8423.0,501_plus
SH600423,2023-12-29,2003-07-17,7470.0,501_plus
SH600425,2023-12-29,2003-07-24,7463.0,501_plus
SH600426,2023-12-29,2002-06-20,7862.0,501_plus
SH600428,2023-12-29,2002-04-18,7925.0,501_plus
SH600429,2023-12-29,2003-09-15,7410.0,501_plus
SH600433,2023-12-29,2003-06-19,7498.0,501_plus
SH600435,2023-12-29,2003-07-04,7483.0,501_plus
SH600436,2023-12-29,2003-06-16,7501.0,501_plus
SH600438,2023-12-29,2004-03-02,7241.0,501_plus
SH600439,2023-12-29,2003-07-10,7477.0,501_plus
SH600444,2023-12-29,2004-02-19,7253.0,501_plus
SH600446,2023-12-29,2003-12-24,7310.0,501_plus
SH600448,2023-12-29,2001-09-03,8152.0,501_plus
SH600449,2023-12-29,2003-08-29,7427.0,501_plus
SH600452,2023-12-29,2004-03-03,7240.0,501_plus
SH600455,2023-12-29,2004-03-29,7214.0,501_plus
SH600456,2023-12-29,2002-04-12,7931.0,501_plus
SH600458,2023-12-29,2002-12-19,7680.0,501_plus
SH600459,2023-12-29,2003-05-16,7532.0,501_plus
SH600460,2023-12-29,2003-03-11,7598.0,501_plus
SH600461,2023-12-29,2004-06-01,7150.0,501_plus
SH600462,2023-12-29,2003-09-03,7422.0,501_plus
SH600463,2023-12-29,2004-03-18,7225.0,501_plus
SH600467,2023-12-29,2004-04-05,7207.0,501_plus
SH600468,2023-12-29,2001-06-15,8232.0,501_plus
SH600469,2023-12-29,2003-10-21,7374.0,501_plus
SH600470,2023-12-29,2004-03-05,7238.0,501_plus
SH600475,2023-12-29,2003-07-21,7466.0,501_plus
SH600476,2023-12-29,2003-12-10,7324.0,501_plus
SH600477,2023-12-29,2003-11-10,7354.0,501_plus
SH600478,2023-12-29,2003-09-18,7407.0,501_plus
SH600479,2023-12-29,2004-03-12,7231.0,501_plus
SH600480,2023-12-29,2003-08-15,7441.0,501_plus
SH600481,2023-12-29,2003-04-22,7556.0,501_plus
SH600482,2023-12-29,2004-07-14,7107.0,501_plus
SH600483,2023-12-29,2004-05-31,7151.0,501_plus
SH600486,2023-12-29,2002-04-25,7918.0,501_plus
SH600487,2023-12-29,2003-08-22,7434.0,501_plus
SH600488,2023-12-29,2001-06-18,8229.0,501_plus
SH600489,2023-12-29,2003-08-14,7442.0,501_plus
SH600490,2023-12-29,2003-06-26,7491.0,501_plus
SH600491,2023-12-29,2004-05-24,7158.0,501_plus
SH600493,2023-12-29,2004-04-21,7191.0,501_plus
SH600495,2023-12-29,2004-05-26,7156.0,501_plus
SH600496,2023-12-29,2002-06-05,7877.0,501_plus
SH600497,2023-12-29,2004-04-20,7192.0,501_plus
SH600498,2023-12-29,2001-08-23,8163.0,501_plus
SH600499,2023-12-29,2002-10-10,7750.0,501_plus
SH600500,2023-12-29,2000-03-01,8703.0,501_plus
SH600501,2023-12-29,2001-06-15,8232.0,501_plus
SH600502,2023-12-29,2003-04-15,7563.0,501_plus
SH600503,2023-12-29,2002-07-09,7843.0,501_plus
SH600505,2023-12-29,2002-05-30,7883.0,501_plus
SH600506,2023-12-29,2001-12-26,8038.0,501_plus
SH600507,2023-12-29,2003-09-30,7395.0,501_plus
SH600508,2023-12-29,2001-08-29,8157.0,501_plus
SH600509,2023-12-29,2002-02-28,7974.0,501_plus
SH600510,2023-12-29,2002-06-18,7864.0,501_plus
SH600511,2023-12-29,2002-11-27,7702.0,501_plus
SH600512,2023-12-29,2002-12-26,7673.0,501_plus
SH600513,2023-12-29,2003-03-19,7590.0,501_plus
SH600515,2023-12-29,2002-08-06,7815.0,501_plus
SH600516,2023-12-29,2002-08-30,7791.0,501_plus
SH600517,2023-12-29,2003-10-10,7385.0,501_plus
SH600518,2023-12-29,2001-03-19,8320.0,501_plus
SH600519,2023-12-29,2001-08-27,8159.0,501_plus
SH600520,2023-12-29,2002-01-08,8025.0,501_plus
SH600521,2023-12-29,2003-03-04,7605.0,501_plus
SH600522,2023-12-29,2002-10-24,7736.0,501_plus
SH600523,2023-12-29,2001-12-27,8037.0,501_plus
SH600525,2023-12-29,2002-12-02,7697.0,501_plus
SH600526,2023-12-29,2002-07-22,7830.0,501_plus
SH600527,2023-12-29,2003-11-27,7337.0,501_plus
SH600528,2023-12-29,2001-05-28,8250.0,501_plus
SH600529,2023-12-29,2002-06-03,7879.0,501_plus
SH600530,2023-12-29,2001-07-02,8215.0,501_plus
SH600531,2023-12-29,2002-07-30,7822.0,501_plus
SH600533,2023-12-29,2002-03-28,7946.0,501_plus
SH600535,2023-12-29,2002-08-23,7798.0,501_plus
SH600536,2023-12-29,2002-05-17,7896.0,501_plus
SH600537,2023-12-29,2003-01-23,7645.0,501_plus
SH600538,2023-12-29,2003-01-14,7654.0,501_plus
SH600539,2023-12-29,2001-08-24,8162.0,501_plus
SH600540,2023-12-29,2004-01-07,7296.0,501_plus
SH600543,2023-12-29,2004-03-24,7219.0,501_plus
SH600545,2023-12-29,2003-12-03,7331.0,501_plus
SH600546,2023-12-29,2003-07-31,7456.0,501_plus
SH600547,2023-12-29,2003-08-28,7428.0,501_plus
SH600548,2023-12-29,2001-12-25,8039.0,501_plus
SH600549,2023-12-29,2002-11-07,7722.0,501_plus
SH600550,2023-12-29,2001-02-28,8339.0,501_plus
SH600551,2023-12-29,2002-09-05,7785.0,501_plus
SH600552,2023-12-29,2002-11-08,7721.0,501_plus
SH600556,2023-12-29,2001-08-07,8179.0,501_plus
SH600557,2023-12-29,2002-09-18,7772.0,501_plus
SH600558,2023-12-29,2001-02-27,8340.0,501_plus
SH600559,2023-12-29,2002-10-29,7731.0,501_plus
SH600560,2023-12-29,2002-09-19,7771.0,501_plus
SH600561,2023-12-29,2002-07-16,7836.0,501_plus
SH600562,2023-12-29,2003-01-28,7640.0,501_plus
SH600563,2023-12-29,2002-12-10,7689.0,501_plus
SH600565,2023-12-29,2002-07-23,7829.0,501_plus
SH600566,2023-12-29,2001-08-22,8164.0,501_plus
SH600567,2023-12-29,2001-12-18,8046.0,501_plus
SH600568,2023-12-29,2001-05-18,8260.0,501_plus
SH600569,2023-12-29,2001-08-20,8166.0,501_plus
SH600570,2023-12-29,2003-12-16,7318.0,501_plus
SH600571,2023-12-29,2002-11-01,7728.0,501_plus
SH600572,2023-12-29,2004-04-12,7200.0,501_plus
SH600573,2023-12-29,2003-02-26,7611.0,501_plus
SH600575,2023-12-29,2003-03-28,7581.0,501_plus
SH600576,2023-12-29,2003-02-20,7617.0,501_plus
SH600577,2023-12-29,2002-09-11,7779.0,501_plus
SH600578,2023-12-29,2002-05-10,7903.0,501_plus
SH600579,2023-12-29,2002-08-09,7812.0,501_plus
SH600580,2023-12-29,2002-06-06,7876.0,501_plus
SH600581,2023-12-29,2002-08-16,7805.0,501_plus
SH600582,2023-12-29,2002-05-15,7898.0,501_plus
SH600583,2023-12-29,2002-02-05,7997.0,501_plus
SH600584,2023-12-29,2003-06-03,7514.0,501_plus
SH600585,2023-12-29,2002-02-07,7995.0,501_plus
SH600586,2023-12-29,2002-08-15,7806.0,501_plus
SH600587,2023-12-29,2002-09-27,7763.0,501_plus
SH600588,2023-12-29,2001-05-18,8260.0,501_plus
SH600589,2023-12-29,2001-06-12,8235.0,501_plus
SH600590,2023-12-29,2002-07-03,7849.0,501_plus
SH600592,2023-12-29,2002-08-05,7816.0,501_plus
SH600593,2023-12-29,2002-07-11,7841.0,501_plus
SH600594,2023-12-29,2004-03-23,7220.0,501_plus
SH600595,2023-12-29,2002-06-26,7856.0,501_plus
SH600596,2023-12-29,2001-09-06,8149.0,501_plus
SH600597,2023-12-29,2002-08-28,7793.0,501_plus
SH600598,2023-12-29,2002-03-29,7945.0,501_plus
SH600599,2023-12-29,2001-08-28,8158.0,501_plus
SH600600,2023-12-29,2000-01-04,8760.0,501_plus
SH600601,2023-12-29,2000-01-04,8760.0,501_plus
SH600602,2023-12-29,2000-01-04,8760.0,501_plus
SH600603,2023-12-29,2000-01-04,8760.0,501_plus
SH600604,2023-12-29,2000-01-04,8760.0,501_plus
SH600605,2023-12-29,2000-01-04,8760.0,501_plus
SH600606,2023-12-29,2000-01-04,8760.0,501_plus
SH600608,2023-12-29,2000-01-04,8760.0,501_plus
SH600609,2023-12-29,2000-01-04,8760.0,501_plus
SH600610,2023-12-29,2000-01-04,8760.0,501_plus
SH600611,2023-12-29,2000-01-04,8760.0,501_plus
SH600612,2023-12-29,2000-01-04,8760.0,501_plus
SH600613,2023-12-29,2000-01-04,8760.0,501_plus
SH600615,2023-12-29,2000-01-04,8760.0,501_plus
SH600616,2023-12-29,2000-01-04,8760.0,501_plus
SH600617,2023-12-29,2000-01-04,8760.0,501_plus
SH600618,2023-12-29,2000-01-04,8760.0,501_plus
