stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,cache_key,input_date_count,cache_status,repeat
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,2.0,,,,,,,79717.0,0.268093200000294,0.265625,441.51953125,348.6796875,441.51953125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,3.0,,,,,,,79983.0,1.7314540999996098,2.265625,348.6796875,457.31640625,457.31640625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,3.0,,,,,,,79983.0,0.11860489999889978,0.15625,457.31640625,459.73828125,459.73828125,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,3.0,,,,,,,79771.0,0.38654110000061337,0.421875,461.2890625,363.421875,461.2890625,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,4.0,,,,,,,79998.0,1.6646435000002384,2.03125,363.421875,480.296875,480.296875,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,4.0,,,,,,,79998.0,0.15564489999997022,0.171875,480.296875,485.16796875,485.16796875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,4.0,,,,,,,79817.0,0.27348869999877934,0.3125,486.1015625,374.03515625,486.1015625,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,5.0,,,,,,,80000.0,1.6798775999995996,2.09375,374.03515625,491.015625,491.015625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,5.0,,,,,,,80000.0,0.10650379999970028,0.125,491.015625,494.6640625,494.6640625,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,5.0,,,,,,,79762.0,0.2822441999996954,0.328125,496.73828125,376.46875,496.73828125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,6.0,,,,,,,80000.0,1.8617773999994824,2.1875,376.46875,506.19140625,506.19140625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,6.0,,,,,,,80000.0,0.10544619999927818,0.125,506.19140625,506.78515625,506.78515625,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,6.0,,,,,,,79838.0,0.2742285999993328,0.296875,508.93359375,388.9765625,508.93359375,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,7.0,,,,,,,80000.0,1.7414470999992773,2.296875,388.9765625,504.078125,504.078125,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,7.0,,,,,,,80000.0,0.10974290000012843,0.09375,504.078125,508.32421875,508.32421875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,7.0,,,,,,,79526.0,0.26926020000064455,0.296875,508.51953125,392.37109375,508.51953125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,8.0,,,,,,,79983.0,1.703063500001008,1.96875,392.37109375,511.25390625,511.25390625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,8.0,,,,,,,79983.0,0.1179840000004333,0.125,511.25390625,511.859375,511.859375,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,8.0,,,,,,,79742.0,0.39138439999987895,0.453125,514.6328125,394.2734375,514.6328125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,9.0,,,,,,,80000.0,1.75143510000089,2.171875,394.2734375,509.25390625,509.25390625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,9.0,,,,,,,80000.0,0.10845119999976305,0.125,509.25390625,511.08203125,511.08203125,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,9.0,,,,,,,79829.0,0.26782550000098126,0.28125,512.625,401.13671875,512.625,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,10.0,,,,,,,80000.0,1.830460099999982,2.3125,401.13671875,506.953125,506.953125,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,10.0,,,,,,,80000.0,0.12105200000041805,0.140625,506.953125,509.98828125,509.98828125,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,10.0,,,,,,,79753.0,0.27620650000062597,0.28125,512.07421875,401.83984375,512.07421875,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,11.0,,,,,,,80000.0,1.8705475999995542,2.546875,401.83984375,514.31640625,514.31640625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,11.0,,,,,,,80000.0,0.1632606000002852,0.15625,514.31640625,516.140625,516.140625,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,11.0,,,,,,,79839.0,0.27250610000010056,0.28125,518.27734375,409.16796875,518.27734375,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,12.0,,,,,,,79985.0,1.6801128999995854,2.359375,409.16796875,538.3359375,538.3359375,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,12.0,,,,,,,79985.0,0.11274690000027476,0.125,538.3359375,541.359375,541.359375,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,12.0,,,,,,,79932.0,0.2635938999992504,0.28125,542.42578125,407.30078125,542.42578125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,13.0,,,,,,,79981.0,2.0208628000000317,3.546875,407.30078125,617.25,617.25,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,13.0,,,,,,,79981.0,0.12485190000006696,0.15625,617.25,619.98046875,619.98046875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,13.0,,,,,,,79635.0,0.2716634999997041,0.296875,622.00390625,421.0859375,622.00390625,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,14.0,,,,,,,79964.0,1.7398981999995158,2.0625,421.0859375,525.625,525.625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,14.0,,,,,,,79964.0,0.11899310000080732,0.140625,525.625,528.65625,528.65625,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,14.0,,,,,,,79768.0,0.27284940000026836,0.296875,536.63671875,422.94140625,536.63671875,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,15.0,,,,,,,79996.0,1.7088473000003432,2.078125,422.94140625,539.609375,539.609375,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,15.0,,,,,,,79996.0,0.10646840000117663,0.140625,539.609375,541.4296875,541.4296875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,15.0,,,,,,,79964.0,0.26821710000149324,0.34375,543.01953125,427.640625,543.01953125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,16.0,,,,,,,80000.0,1.9063376000012795,2.40625,427.640625,533.578125,533.578125,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,16.0,,,,,,,80000.0,0.12294269999983953,0.15625,533.578125,534.796875,534.796875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,16.0,,,,,,,79925.0,0.2740135999993072,0.296875,538.80859375,429.3515625,538.80859375,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,17.0,,,,,,,16000.0,0.9963377999993099,1.453125,429.3515625,515.66015625,515.66015625,float64,,,,,8.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,17.0,,,,,,,16000.0,0.05137950000062119,0.046875,515.66015625,504.0546875,515.66015625,float64,,,,,8.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,17.0,,,,,,,15985.0,0.06192969999938214,0.078125,480.7265625,362.79296875,480.7265625,float64,,,,,,,
projection_spool_cache_publish,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,1372311.0,1.7400001524947584e-05,0.0,358.90625,358.90625,358.90625,float64,,False,,fac67276ce8f95a67afc9aea2a3f39d995a54225fbcbbf636e2accf5052d8053,,miss,
projection_spool_cache_validation,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,,,,,,,,,0.00012099999912607018,0.0,358.90234375,358.90234375,358.90234375,float64,,False,,025262f4a1797eac225351ee3b675d7cd3685b2c7645d2a5f4fee83072728e48,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,0.0,,,,,,,80000.0,2.017582800001037,2.484375,358.90234375,506.0,506.0,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,0.0,,,,,,,80000.0,0.1199653000003309,0.15625,506.0,540.1171875,540.1171875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,0.0,,,,,,,79923.0,0.3417688999998063,0.390625,563.5859375,445.3046875,563.5859375,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,1.0,,,,,,,73972.0,1.838997599999857,2.28125,445.3046875,542.41796875,542.41796875,float64,,,,,37.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,1.0,,,,,,,73972.0,0.16330870000092546,0.15625,542.41796875,541.12890625,542.41796875,float64,,,,,37.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,1.0,,,,,,,73720.0,0.28135780000047816,0.28125,541.87890625,433.171875,541.87890625,float64,,,,,,,
projection_spool_cache_publish,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,,,,,,,,153643.0,2.2599999283556826e-05,0.0,376.92578125,376.92578125,376.92578125,float64,,False,,025262f4a1797eac225351ee3b675d7cd3685b2c7645d2a5f4fee83072728e48,,miss,
preprocessing_fit,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,,8.5428394999999,8.90625,376.92578125,451.78125,451.78125,float64,,,,,,,
train_transform,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,,1.6356969000007666,3.375,451.78125,979.484375,979.484375,float64,,,,,,,
validation_transform,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,,,,,,,,,0.19377190000159317,0.40625,979.484375,1041.7265625,1041.7265625,float64,,,,,,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,1372311.0,,,0.5767713000004733,6.125,1028.51171875,1105.234375,1105.234375,float64,1.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,800.0,,1372311.0,,,69.35443060000034,70.78125,1105.296875,1106.58984375,1106.58984375,float64,1.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,,,1372311.0,,,0.5622992999997223,5.96875,1034.3828125,1113.7109375,1113.7109375,float64,1.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,800.0,,1372311.0,,,111.62477600000057,112.953125,1113.7734375,1114.65625,1114.65625,float64,1.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,,,1372311.0,,,0.5315721999995731,5.9375,1039.95703125,1119.578125,1119.578125,float64,1.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,800.0,,1372311.0,,,66.99315699999897,68.53125,1119.640625,1119.83203125,1119.83203125,float64,1.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,1372311.0,,,0.5844993999999133,6.203125,1045.44140625,1125.68359375,1125.68359375,float64,1.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,800.0,,1372311.0,,,132.65126919999966,134.328125,1125.7421875,1127.1015625,1127.1015625,float64,1.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,1372311.0,,,0.6069837000013649,6.515625,1054.07421875,1134.109375,1134.109375,float64,1.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,800.0,,1372311.0,,,71.2113317000003,72.375,1134.171875,1139.41796875,1139.41796875,float64,1.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,,,1372311.0,,,0.5387198000007629,6.03125,1059.375,1140.32421875,1140.32421875,float64,1.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,800.0,,1372311.0,,,111.80461800000012,113.046875,1140.38671875,1145.78515625,1145.78515625,float64,1.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,,,1372311.0,,,0.5156306999997469,6.28125,1065.625,1145.578125,1145.578125,float64,1.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,800.0,,1372311.0,,,66.71150400000079,67.109375,1145.640625,1148.41796875,1148.41796875,float64,1.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,1372311.0,,,0.5297922999998264,5.484375,1071.70703125,1153.89453125,1153.89453125,float64,1.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,800.0,,1372311.0,,,133.77810940000018,136.25,1153.95703125,1141.69921875,1153.95703125,float64,1.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,1372311.0,,,0.5839161000003514,6.421875,1069.25,1149.69921875,1149.69921875,float64,2.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,800.0,,1372311.0,,,51.488808099999005,103.5625,1149.76171875,1154.015625,1154.015625,float64,2.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,,,1372311.0,,,0.5313963000007789,5.59375,1074.84375,1155.17578125,1155.17578125,float64,2.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,800.0,,1372311.0,,,81.03667999999925,163.046875,1155.23828125,1160.4296875,1160.4296875,float64,2.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,,,1372311.0,,,0.5230226999992738,6.15625,1081.05859375,1162.1953125,1162.1953125,float64,2.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,800.0,,1372311.0,,,49.23038050000105,99.0,1162.2578125,1171.17578125,1171.17578125,float64,2.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,1372311.0,,,0.566733399999066,5.6875,1086.7109375,1215.97265625,1215.97265625,float64,2.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,800.0,,1372311.0,,,95.08683659999951,190.15625,1216.03125,1171.49609375,1216.03125,float64,2.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,1372311.0,,,0.53546070000084,6.125,1095.0546875,1225.9140625,1225.9140625,float64,2.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,800.0,,1372311.0,,,52.32980569999927,105.96875,1225.93359375,1225.90625,1225.93359375,float64,2.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,,,1372311.0,,,0.5554426999988209,6.453125,1099.42578125,1182.6328125,1182.6328125,float64,2.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,800.0,,1372311.0,,,81.49596350000138,163.90625,1182.6953125,1187.609375,1187.609375,float64,2.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,,,1372311.0,,,0.5115886999992654,6.265625,1105.9453125,1237.83203125,1237.83203125,float64,2.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,800.0,,1372311.0,,,49.418758399999206,99.203125,1237.8515625,1189.8828125,1237.8515625,float64,2.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,1372311.0,,,0.5337857999984408,5.75,1111.6015625,1195.68359375,1195.68359375,float64,2.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,800.0,,1372311.0,,,96.57782049999878,195.140625,1195.74609375,1193.2890625,1195.74609375,float64,2.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,1372311.0,,,0.531468400000449,5.90625,1142.88671875,1248.9453125,1248.9453125,float64,4.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,800.0,,1372311.0,,,30.793319399999746,123.265625,1248.96484375,1248.77734375,1248.96484375,float64,4.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,,,1372311.0,,,0.5285260999989987,6.234375,1126.82421875,1210.61328125,1210.61328125,float64,4.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,800.0,,1372311.0,,,48.89533900000242,195.984375,1210.67578125,1215.43359375,1215.43359375,float64,4.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,,,1372311.0,,,0.5227176999978838,5.96875,1133.93359375,1213.36328125,1213.36328125,float64,4.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,800.0,,1372311.0,,,29.620524599999044,118.609375,1213.421875,1222.70703125,1222.70703125,float64,4.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,1372311.0,,,0.5198130999997375,6.140625,1156.39453125,1263.84375,1263.84375,float64,4.0,,,,,,0.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,800.0,,1372311.0,,,56.43928849999793,225.796875,1263.86328125,1263.71875,1263.86328125,float64,4.0,,,,,,0.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,1372311.0,,,0.5224750000015774,6.03125,1151.63671875,1276.76953125,1276.76953125,float64,4.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,800.0,,1372311.0,,,30.622509099997842,122.375,1276.7890625,1268.7578125,1276.7890625,float64,4.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,,,1372311.0,,,0.5164363000003505,6.0625,1196.546875,1232.53125,1232.53125,float64,4.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_02,,800.0,,1372311.0,,,47.33610460000273,189.6875,1232.58984375,1237.16796875,1237.16796875,float64,4.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,,,1372311.0,,,0.5209208000014769,6.4375,1175.671875,1279.58203125,1279.58203125,float64,4.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_03,,800.0,,1372311.0,,,27.861448700001347,110.046875,1279.6015625,1279.4609375,1279.6015625,float64,4.0,,,,,,1.0
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,1372311.0,,,0.5298156999997445,5.90625,1206.71875,1285.65625,1285.65625,float64,4.0,,,,,,1.0
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,800.0,,1372311.0,,,52.212568799997825,207.546875,1285.67578125,1246.1640625,1285.67578125,float64,4.0,,,,,,1.0
