factor,strongest_corr_factor,strongest_corr,strongest_abs_corr
alpha158_RSV5,alpha158_MA5,-0.8456426686244672,0.8456426686244672
alpha158_RSV10,alpha158_RANK10,0.8746796968077847,0.8746796968077847
alpha158_RSV20,alpha158_RSV30,0.906305295602575,0.906305295602575
alpha158_RSV30,alpha158_RSV20,0.906305295602575,0.906305295602575
alpha158_RSV60,alpha158_RANK60,0.9058790922413548,0.9058790922413548
alpha158_IMAX5,alpha158_IMXD5,0.848007078761328,0.848007078761328
alpha158_IMAX10,alpha158_IMXD10,0.8529805299790147,0.8529805299790147
alpha158_IMAX20,alpha158_IMXD20,0.8625178842906437,0.8625178842906437
alpha158_IMAX30,alpha158_IMXD30,0.8632610212202247,0.8632610212202247
alpha158_IMAX60,alpha158_IMXD60,0.8640081871322888,0.8640081871322888
alpha158_IMIN5,alpha158_IMXD5,-0.7880956390571129,0.7880956390571129
alpha158_IMIN10,alpha158_IMXD10,-0.7681762429898708,0.7681762429898708
alpha158_IMIN20,alpha158_IMXD20,-0.7404197078386383,0.7404197078386383
alpha158_IMIN30,alpha158_IMXD30,-0.7276986500703096,0.7276986500703096
alpha158_IMIN60,alpha158_IMXD60,-0.7107560017342294,0.7107560017342294
alpha158_IMXD5,alpha158_IMAX5,0.848007078761328,0.848007078761328
alpha158_IMXD10,alpha158_IMAX10,0.8529805299790147,0.8529805299790147
alpha158_IMXD20,alpha158_IMAX20,0.8625178842906437,0.8625178842906437
alpha158_IMXD30,alpha158_IMAX30,0.8632610212202247,0.8632610212202247
alpha158_IMXD60,alpha158_IMAX60,0.8640081871322888,0.8640081871322888
alpha158_CORR5,alpha158_CORD5,0.6406747982590859,0.6406747982590859
alpha158_CORR10,alpha158_CORD10,0.6204292942625781,0.6204292942625781
alpha158_CORR20,alpha158_CORR30,0.7596141816097364,0.7596141816097364
alpha158_CORR30,alpha158_CORR20,0.7596141816097364,0.7596141816097364
alpha158_CORR60,alpha158_CORR30,0.6046732870505879,0.6046732870505879
alpha158_CORD5,alpha158_CORD10,0.6506909208687136,0.6506909208687136
alpha158_CORD10,alpha158_CORD20,0.6853651807164642,0.6853651807164642
alpha158_CORD20,alpha158_CORD30,0.8109694394522399,0.8109694394522399
alpha158_CORD30,alpha158_CORD20,0.8109694394522399,0.8109694394522399
alpha158_CORD60,alpha158_CORD30,0.6971679450202187,0.6971679450202187
alpha158_CNTP5,alpha158_CNTD5,0.963853795273738,0.963853795273738
alpha158_CNTP10,alpha158_CNTD10,0.9584039052729113,0.9584039052729113
alpha158_CNTP20,alpha158_CNTD20,0.9495106583206183,0.9495106583206183
alpha158_CNTP30,alpha158_CNTD30,0.942811962737285,0.942811962737285
alpha158_CNTP60,alpha158_CNTD60,0.9247285210533888,0.9247285210533888
alpha158_CNTN5,alpha158_CNTD5,-0.9632725898121687,0.9632725898121687
alpha158_CNTN10,alpha158_CNTD10,-0.9577890105402947,0.9577890105402947
alpha158_CNTN20,alpha158_CNTD20,-0.947394129215584,0.947394129215584
alpha158_CNTN30,alpha158_CNTD30,-0.9389887961177568,0.9389887961177568
alpha158_CNTN60,alpha158_CNTD60,-0.9177731997625875,0.9177731997625875
alpha158_CNTD5,alpha158_CNTP5,0.963853795273738,0.963853795273738
alpha158_CNTD10,alpha158_CNTP10,0.9584039052729113,0.9584039052729113
alpha158_CNTD20,alpha158_CNTP20,0.9495106583206183,0.9495106583206183
alpha158_CNTD30,alpha158_CNTP30,0.942811962737285,0.942811962737285
alpha158_CNTD60,alpha158_CNTP60,0.9247285210533888,0.9247285210533888
alpha158_SUMP5,alpha158_SUMD5,0.9999477836014999,0.9999477836014999
alpha158_SUMP10,alpha158_SUMD10,0.9999987930256549,0.9999987930256549
alpha158_SUMP20,alpha158_SUMD20,0.9999997403557347,0.9999997403557347
alpha158_SUMP30,alpha158_SUMD30,0.999999998800607,0.999999998800607
alpha158_SUMP60,alpha158_SUMD60,0.9999999993526352,0.9999999993526352
alpha158_SUMN5,alpha158_SUMD5,-0.9999485252012742,0.9999485252012742
alpha158_SUMN10,alpha158_SUMD10,-0.9999842911107464,0.9999842911107464
alpha158_SUMN20,alpha158_SUMD20,-0.9999792710598623,0.9999792710598623
alpha158_SUMN30,alpha158_SUMD30,-0.9999999987435673,0.9999999987435673
alpha158_SUMN60,alpha158_SUMP60,-0.999999999347006,0.999999999347006
alpha158_SUMD5,alpha158_SUMN5,-0.9999485252012742,0.9999485252012742
alpha158_SUMD10,alpha158_SUMP10,0.9999987930256549,0.9999987930256549
alpha158_SUMD20,alpha158_SUMP20,0.9999997403557347,0.9999997403557347
alpha158_SUMD30,alpha158_SUMP30,0.999999998800607,0.999999998800607
alpha158_SUMD60,alpha158_SUMP60,0.9999999993526352,0.9999999993526352
alpha158_VMA5,alpha158_VMA10,0.8360741599569107,0.8360741599569107
alpha158_VMA10,alpha158_VMA20,0.8567677616995045,0.8567677616995045
alpha158_VMA20,alpha158_VMA30,0.9356224129774038,0.9356224129774038
alpha158_VMA30,alpha158_VMA20,0.9356224129774038,0.9356224129774038
alpha158_VMA60,alpha158_VMA30,0.8651399387337241,0.8651399387337241
alpha158_VSTD5,alpha158_VSTD10,0.567561714816417,0.567561714816417
alpha158_VSTD10,alpha158_VMA10,0.6725360703770079,0.6725360703770079
alpha158_VSTD20,alpha158_VSTD30,0.8305050753242913,0.8305050753242913
alpha158_VSTD30,alpha158_VSTD20,0.8305050753242913,0.8305050753242913
alpha158_VSTD60,alpha158_VMA60,0.849406966510138,0.849406966510138
alpha158_WVMA5,alpha158_WVMA10,0.5375608500973502,0.5375608500973502
alpha158_WVMA10,alpha158_WVMA20,0.5547318027862889,0.5547318027862889
alpha158_WVMA20,alpha158_WVMA30,0.7158006193094141,0.7158006193094141
alpha158_WVMA30,alpha158_WVMA20,0.7158006193094141,0.7158006193094141
alpha158_WVMA60,alpha158_WVMA30,0.5637101626387122,0.5637101626387122
alpha158_VSUMP5,alpha158_VSUMD5,0.9999999999553455,0.9999999999553455
alpha158_VSUMP10,alpha158_VSUMD10,0.9999999999117233,0.9999999999117233
alpha158_VSUMP20,alpha158_VSUMN20,-0.9999999998044846,0.9999999998044846
alpha158_VSUMP30,alpha158_VSUMN30,-0.9999999997740338,0.9999999997740338
alpha158_VSUMP60,alpha158_VSUMN60,-0.9999999995467955,0.9999999995467955
alpha158_VSUMN5,alpha158_VSUMD5,-0.9999999999493568,0.9999999999493568
alpha158_VSUMN10,alpha158_VSUMP10,-0.9999999999038992,0.9999999999038992
alpha158_VSUMN20,alpha158_VSUMP20,-0.9999999998044846,0.9999999998044846
alpha158_VSUMN30,alpha158_VSUMD30,-0.999999999774489,0.999999999774489
alpha158_VSUMN60,alpha158_VSUMP60,-0.9999999995467955,0.9999999995467955
alpha158_VSUMD5,alpha158_VSUMP5,0.9999999999553455,0.9999999999553455
alpha158_VSUMD10,alpha158_VSUMP10,0.9999999999117233,0.9999999999117233
alpha158_VSUMD20,alpha158_VSUMN20,-0.9999999997979934,0.9999999997979934
alpha158_VSUMD30,alpha158_VSUMN30,-0.999999999774489,0.999999999774489
alpha158_VSUMD60,alpha158_VSUMP60,0.9999999995453899,0.9999999995453899
