outer_split_id,factor,condition,bucket,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days
split_001,alpha158_QTLD60,momentum_proxy,q1,0.032866868442658265,0.19123989403985647,0.5666666666666667,120
split_001,alpha158_QTLD60,momentum_proxy,q2,0.05008538814436905,0.29675611011484915,0.625,120
split_001,alpha158_QTLD60,momentum_proxy,q3,0.10428646607729668,0.5660172411303744,0.6333333333333333,120
split_001,alpha158_RSQR30,momentum_proxy,q1,-0.0007762091371782234,-0.007151618101560226,0.55,120
split_001,alpha158_RSQR30,momentum_proxy,q2,-0.01027202252398044,-0.09158278232015249,0.4666666666666667,120
split_001,alpha158_RSQR30,momentum_proxy,q3,-0.06290220449730985,-0.7480276277781083,0.21666666666666667,120
split_001,alpha158_VMA30,momentum_proxy,q1,0.03257325079426627,0.261366023337144,0.6083333333333333,120
split_001,alpha158_VMA30,momentum_proxy,q2,0.01045616602936964,0.1121205271614531,0.5416666666666666,120
split_001,alpha158_VMA30,momentum_proxy,q3,0.048678800191790134,0.48521263026019007,0.6833333333333333,120
split_001,alpha158_VMA60,momentum_proxy,q1,0.0388801742808713,0.30659876565900956,0.5833333333333334,120
split_001,alpha158_VMA60,momentum_proxy,q2,0.031208946976079545,0.3343827289681155,0.6333333333333333,120
split_001,alpha158_VMA60,momentum_proxy,q3,0.03636584334796542,0.3153881510544582,0.625,120
split_001,alpha158_VSUMD60,momentum_proxy,q1,-0.029356310841483373,-0.27294978954708304,0.4,120
split_001,alpha158_VSUMD60,momentum_proxy,q2,-0.02463091803697113,-0.2534991232910735,0.43333333333333335,120
split_001,alpha158_VSUMD60,momentum_proxy,q3,-0.013647919840787748,-0.10905219445765335,0.4166666666666667,120
split_001,alpha360_LOW1,momentum_proxy,q1,0.018627316094965093,0.106033820305646,0.5583333333333333,120
split_001,alpha360_LOW1,momentum_proxy,q2,0.013067872154540253,0.07459409467788808,0.5416666666666666,120
split_001,alpha360_LOW1,momentum_proxy,q3,0.06274485502066719,0.4000501344283705,0.7,120
split_001,alpha360_VOLUME13,momentum_proxy,q1,0.022611477695827446,0.23898464866151292,0.6,120
split_001,alpha360_VOLUME13,momentum_proxy,q2,0.0077468692517595195,0.09087907318967949,0.5083333333333333,120
split_001,alpha360_VOLUME13,momentum_proxy,q3,0.03344041599036215,0.32664995313581924,0.6416666666666667,120
split_001,amount_cv_20,momentum_proxy,q1,-0.009212790182387177,-0.09593626996403871,0.4583333333333333,120
split_001,amount_cv_20,momentum_proxy,q2,-0.005070047259779563,-0.059004454232430954,0.4583333333333333,120
split_001,amount_cv_20,momentum_proxy,q3,0.045143861714801475,0.416723654818767,0.625,120
split_001,amount_std_20,momentum_proxy,q1,-0.08885965842384975,-0.6324528629288084,0.21666666666666667,120
split_001,amount_std_20,momentum_proxy,q2,-0.06723337283625971,-0.5277947894541549,0.3,120
split_001,amount_std_20,momentum_proxy,q3,-0.02012593324719721,-0.13255278303621745,0.45,120
split_001,corr_ret_amount_20,momentum_proxy,q1,0.05697601197216395,0.43673392486536705,0.65,120
split_001,corr_ret_amount_20,momentum_proxy,q2,0.03285737151965002,0.23163329382703193,0.6083333333333333,120
split_001,corr_ret_amount_20,momentum_proxy,q3,0.02971029179924054,0.3036949069021544,0.6916666666666667,120
split_001,kunquant_alpha101_alpha003,momentum_proxy,q1,-0.0074138109270747024,-0.07643183228639303,0.45,120
split_001,kunquant_alpha101_alpha003,momentum_proxy,q2,-0.011678157836115356,-0.12194988512182364,0.4,120
split_001,kunquant_alpha101_alpha003,momentum_proxy,q3,-0.016528812726726957,-0.1562805655493117,0.39166666666666666,120
split_001,kunquant_alpha101_alpha011,momentum_proxy,q1,0.06798957623147744,0.5627646961758921,0.6666666666666666,120
split_001,kunquant_alpha101_alpha011,momentum_proxy,q2,0.07053949669096164,0.6870796747286501,0.7833333333333333,120
split_001,kunquant_alpha101_alpha011,momentum_proxy,q3,0.021913784911362293,0.2394082550120858,0.6333333333333333,120
split_001,kunquant_alpha101_alpha012,momentum_proxy,q1,0.01299529942545401,0.1537863539079078,0.5083333333333333,120
split_001,kunquant_alpha101_alpha012,momentum_proxy,q2,0.00967898592186601,0.10900996477256651,0.5916666666666667,120
split_001,kunquant_alpha101_alpha012,momentum_proxy,q3,0.012170556417594455,0.1465937591546312,0.575,120
split_001,kunquant_alpha101_alpha013,momentum_proxy,q1,-0.0008831528986182164,-0.00789580736138801,0.4666666666666667,120
split_001,kunquant_alpha101_alpha013,momentum_proxy,q2,-0.019933234199031827,-0.16259404158383547,0.4,120
split_001,kunquant_alpha101_alpha013,momentum_proxy,q3,-0.01757230872760141,-0.1514834059450911,0.45,120
split_001,kunquant_alpha101_alpha020,momentum_proxy,q1,-0.02377421743381125,-0.21447053820420584,0.4,120
split_001,kunquant_alpha101_alpha020,momentum_proxy,q2,-0.025988181290149,-0.252418390926651,0.375,120
split_001,kunquant_alpha101_alpha020,momentum_proxy,q3,-0.017692687599789484,-0.20173070697999618,0.38333333333333336,120
split_001,kunquant_alpha101_alpha029,momentum_proxy,q1,0.019678501223520817,0.16347038054225912,0.5416666666666666,120
split_001,kunquant_alpha101_alpha029,momentum_proxy,q2,0.019102673509681145,0.1393734750285087,0.625,120
split_001,kunquant_alpha101_alpha029,momentum_proxy,q3,0.03674598346318849,0.31104471174935056,0.6833333333333333,120
split_001,kunquant_alpha101_alpha034,momentum_proxy,q1,0.007343140868219472,0.06630013827331782,0.55,120
split_001,kunquant_alpha101_alpha034,momentum_proxy,q2,0.0009850576183055557,0.008976408141573052,0.5,120
split_001,kunquant_alpha101_alpha034,momentum_proxy,q3,0.027026489151049802,0.2725688906985265,0.6083333333333333,120
split_001,kunquant_alpha101_alpha050,momentum_proxy,q1,-0.0218546134201262,-0.21681932707316154,0.3416666666666667,120
split_001,kunquant_alpha101_alpha050,momentum_proxy,q2,-0.034636022892482125,-0.28917953713166344,0.30833333333333335,120
split_001,kunquant_alpha101_alpha050,momentum_proxy,q3,-0.044074858337277804,-0.3716720588573669,0.30833333333333335,120
split_001,kunquant_alpha101_alpha055,momentum_proxy,q1,0.005652809905736608,0.056586918480115676,0.5,120
split_001,kunquant_alpha101_alpha055,momentum_proxy,q2,-0.012017884459819658,-0.1227763918745174,0.44166666666666665,120
split_001,kunquant_alpha101_alpha055,momentum_proxy,q3,-0.03582702482882058,-0.43446648947327166,0.39166666666666666,120
split_001,kunquant_alpha101_alpha062,momentum_proxy,q1,3.434191498449766e-05,0.0003784186771410069,0.5083333333333333,120
split_001,kunquant_alpha101_alpha062,momentum_proxy,q2,-0.0368077557419833,-0.423514642801111,0.36666666666666664,120
split_001,kunquant_alpha101_alpha062,momentum_proxy,q3,-0.04627133747687824,-0.6256021765778437,0.24166666666666667,120
split_001,kunquant_alpha101_alpha094,momentum_proxy,q1,0.04488676786514934,0.43406063271593553,0.675,120
split_001,kunquant_alpha101_alpha094,momentum_proxy,q2,0.038851934969208975,0.34382719202518536,0.6666666666666666,120
split_001,kunquant_alpha101_alpha094,momentum_proxy,q3,0.0917262653214074,0.9030018695426697,0.7916666666666666,120
split_001,ta_trend_mass_index,momentum_proxy,q1,-0.05666793517312479,-0.4419108759056885,0.325,120
split_001,ta_trend_mass_index,momentum_proxy,q2,-0.06360985901686893,-0.5311653742315295,0.3,120
split_001,ta_trend_mass_index,momentum_proxy,q3,-0.054558407843730033,-0.3849278464009389,0.36666666666666664,120
split_001,ta_volatility_bbhi,momentum_proxy,q1,-0.012717898129109312,-0.20749448818542804,0.32432432432432434,37
split_001,ta_volatility_bbhi,momentum_proxy,q2,-0.014154848370530874,-0.2601735141720636,0.38461538461538464,78
split_001,ta_volatility_bbhi,momentum_proxy,q3,-0.06136889678174572,-0.8699962903437587,0.18333333333333332,120
split_001,ta_volume_cmf,momentum_proxy,q1,0.03284381674772382,0.23204708206994523,0.6083333333333333,120
split_001,ta_volume_cmf,momentum_proxy,q2,0.02143029945622845,0.14608503840876488,0.6166666666666667,120
split_001,ta_volume_cmf,momentum_proxy,q3,-0.0841668260008263,-0.666147861618145,0.2916666666666667,120
split_001,ta_volume_sma_em,momentum_proxy,q1,-0.01565997761851303,-0.13197232350518548,0.44166666666666665,120
split_001,ta_volume_sma_em,momentum_proxy,q2,-0.019213846420085185,-0.1581565099643237,0.43333333333333335,120
split_001,ta_volume_sma_em,momentum_proxy,q3,-0.07782370407013854,-0.8506346811437148,0.225,120
split_002,alpha158_CNTP10,liquidity_proxy,q1,-0.03402980298181065,-0.29607798940158,0.46774193548387094,124
split_002,alpha158_CNTP10,liquidity_proxy,q2,-0.0541394803591005,-0.5731954803139987,0.33064516129032256,124
split_002,alpha158_CNTP10,liquidity_proxy,q3,-0.0521760635527904,-0.41907499797166015,0.3951612903225806,124
split_002,alpha158_CNTP5,liquidity_proxy,q1,-0.017396474028861027,-0.14301660030638144,0.4596774193548387,124
split_002,alpha158_CNTP5,liquidity_proxy,q2,-0.030180870299991804,-0.28494605330100237,0.4435483870967742,124
split_002,alpha158_CNTP5,liquidity_proxy,q3,-0.03267921460117893,-0.2601697092302453,0.4435483870967742,124
split_002,alpha158_CORD10,liquidity_proxy,q1,-0.02931761760479101,-0.33837707621359864,0.4112903225806452,124
split_002,alpha158_CORD10,liquidity_proxy,q2,-0.008118609438014925,-0.09670908033081091,0.4838709677419355,124
split_002,alpha158_CORD10,liquidity_proxy,q3,-0.01703008383140956,-0.17804646081743403,0.5241935483870968,124
split_002,alpha158_CORD20,liquidity_proxy,q1,-0.018741298422952326,-0.20998498815285913,0.5,124
split_002,alpha158_CORD20,liquidity_proxy,q2,-0.0032107055430169932,-0.03707290319357679,0.5080645161290323,124
split_002,alpha158_CORD20,liquidity_proxy,q3,-0.024833475732317263,-0.2613316314718388,0.4435483870967742,124
split_002,alpha158_CORD5,liquidity_proxy,q1,-0.03186367170803609,-0.3273107583899086,0.43548387096774194,124
split_002,alpha158_CORD5,liquidity_proxy,q2,-0.010328537423736241,-0.12239752173801992,0.49193548387096775,124
split_002,alpha158_CORD5,liquidity_proxy,q3,-0.018117268248279007,-0.18514797160528154,0.45161290322580644,124
split_002,alpha158_CORR5,liquidity_proxy,q1,-0.04673429971034662,-0.4571605404719942,0.3870967741935484,124
split_002,alpha158_CORR5,liquidity_proxy,q2,-0.043399725122871984,-0.4489455086289609,0.3709677419354839,124
split_002,alpha158_CORR5,liquidity_proxy,q3,-0.06180239829319659,-0.6187442517717625,0.24193548387096775,124
split_002,alpha158_HIGH0,liquidity_proxy,q1,0.010660145218329616,0.06855815258777462,0.5,124
split_002,alpha158_HIGH0,liquidity_proxy,q2,-0.01829724788635642,-0.12778193038405275,0.45161290322580644,124
split_002,alpha158_HIGH0,liquidity_proxy,q3,-0.06727374054916091,-0.3988519836143139,0.31451612903225806,124
split_002,alpha158_IMAX10,liquidity_proxy,q1,-0.03439555088285505,-0.3222218908688186,0.4274193548387097,124
split_002,alpha158_IMAX10,liquidity_proxy,q2,-0.04430102227817574,-0.464717524396396,0.3467741935483871,124
split_002,alpha158_IMAX10,liquidity_proxy,q3,-0.03500927640764046,-0.2763047750455938,0.4596774193548387,124
split_002,alpha158_IMAX20,liquidity_proxy,q1,-0.05934060527281112,-0.537177624108407,0.3225806451612903,124
split_002,alpha158_IMAX20,liquidity_proxy,q2,-0.058694734449884337,-0.6240340423280315,0.2903225806451613,124
split_002,alpha158_IMAX20,liquidity_proxy,q3,-0.04749258762428359,-0.452697326751054,0.3629032258064516,124
split_002,alpha158_IMAX60,liquidity_proxy,q1,-0.029085620697833162,-0.32716837833155227,0.4435483870967742,124
split_002,alpha158_IMAX60,liquidity_proxy,q2,-0.06250646299769676,-0.7786772136311934,0.24193548387096775,124
split_002,alpha158_IMAX60,liquidity_proxy,q3,-0.056093969438147,-0.5188244795463813,0.3064516129032258,124
