signal_date,execution_date,period_end_date,status,eligible_count,selected_count,turnover,cost,period_net_return,period_universe_return,period_net_excess_return,avg_selected_liquidity_bucket,avg_selected_tradability_score
2021-11-03,2021-11-04,2021-11-18,executed,1149,200,0.405,0.0008100000000000001,0.015756367026706464,0.027152813231569706,-0.011480904818497728,3.67,100.0
2021-11-17,2021-11-18,2021-12-02,executed,1128,200,0.385,0.0007700000000000001,0.021709591855391563,0.027504055811609085,-0.005843696112294849,3.63,100.0
2021-12-01,2021-12-02,2021-12-16,executed,1138,200,0.375,0.00075,0.02355049128211606,0.025663435100807597,-0.0023715026138676487,3.595,100.0
2021-12-15,2021-12-16,2021-12-30,executed,1136,200,0.405,0.0008100000000000001,0.010615841548171634,-0.006252081775786622,0.016439324935162425,3.585,100.0
2021-12-29,2021-12-30,2022-01-14,executed,1126,200,0.43999999999999995,0.0008799999999999999,0.014105569094870596,-0.016497828359900768,0.030405435470190367,3.685,100.0
2022-01-13,2022-01-14,2022-01-28,executed,1139,200,0.355,0.00071,-0.060198471280772936,-0.08783840073757732,0.028940633068540222,3.88,100.0
2022-01-27,2022-01-28,2022-02-18,executed,1133,200,0.31499999999999995,0.0006299999999999999,0.04248530565708197,0.05049728350181426,-0.008007969515814062,3.865,100.0
2022-02-17,2022-02-18,2022-03-04,executed,1143,200,0.345,0.00069,-0.016851761200399107,-0.0026225669936534857,-0.014687164945613618,3.785,100.0
2022-03-03,2022-03-04,2022-03-18,executed,1143,200,0.41500000000000004,0.0008300000000000001,-0.06742931978239186,-0.04822268355008119,-0.020434631355568778,3.75,100.0
2022-03-17,2022-03-18,2022-04-01,executed,1137,200,0.39,0.0007800000000000001,0.013272788971699256,0.0011159931105673149,0.011966368649752201,3.745,100.0
2022-03-31,2022-04-01,2022-04-19,executed,1134,200,0.395,0.00079,-0.021516825721179744,-0.0468506754440825,0.026022334838610606,3.685,100.0
2022-04-18,2022-04-19,2022-05-06,executed,1105,200,0.4,0.0008,-0.0880245213765527,-0.10400552910471472,0.015546600134564104,3.795,100.0
2022-05-05,2022-05-06,2022-05-20,executed,1074,200,0.405,0.0008100000000000001,0.03864325287318282,0.07435597566135299,-0.03348950872853795,3.97,100.0
2022-05-19,2022-05-20,2022-06-06,executed,1092,200,0.29500000000000004,0.0005900000000000001,0.028505055375065202,0.03895412913518248,-0.010889855304423768,3.81,100.0
2022-06-02,2022-06-06,2022-06-20,executed,1102,200,0.395,0.00079,0.025750466462514998,0.03298649136547405,-0.007328790089566328,3.745,100.0
2022-06-17,2022-06-20,2022-07-04,executed,1127,200,0.35,0.0007,0.013105771566747304,0.02546445303439704,-0.012592168695550798,3.78,100.0
2022-07-01,2022-07-04,2022-07-18,executed,1117,200,0.355,0.00071,-0.033849484315466416,-0.01832640033059363,-0.016126105822462322,3.63,100.0
2022-07-15,2022-07-18,2022-08-01,executed,1106,200,0.385,0.0007700000000000001,-0.00621618711558114,0.0151516074096949,-0.02130943281580744,3.695,100.0
2022-07-29,2022-08-01,2022-08-15,executed,1129,200,0.41500000000000004,0.0008300000000000001,0.01438370073687567,0.015471007948616444,-0.001527241888506059,3.745,100.0
2022-08-12,2022-08-15,2022-08-29,executed,1118,200,0.375,0.00075,-0.0018753196158588503,-0.026051415061529748,0.02403986628118826,3.79,100.0
2022-08-26,2022-08-29,2022-09-13,executed,1124,200,0.30500000000000005,0.0006100000000000001,0.008009361387851133,-0.01090316473730446,0.01820728277702721,3.82,100.0
2022-09-09,2022-09-13,2022-09-27,executed,1134,200,0.35,0.0007,-0.06255058866508834,-0.06943306357345547,0.006772518650121517,3.825,100.0
2022-09-26,2022-09-27,2022-10-18,executed,1134,200,0.33499999999999996,0.0006699999999999999,0.015370547643301924,0.00983461483421988,0.004481517801401047,3.785,100.0
2022-10-17,2022-10-18,2022-11-01,executed,1113,200,0.35,0.0007,-0.025494422548878237,-0.019103597462039157,-0.007051956392261416,3.75,100.0
2022-10-31,2022-11-01,2022-11-15,executed,1102,200,0.33999999999999997,0.0006799999999999999,0.05963023230797493,0.06385714404102472,-0.004277400045669455,3.72,100.0
2022-11-14,2022-11-15,2022-11-29,executed,1116,200,0.39,0.0007800000000000001,0.014347575965567794,-0.003340289623116055,0.017542440458212738,3.61,100.0
2022-11-28,2022-11-29,2022-12-13,executed,1136,200,0.37,0.00074,0.004085173086133764,0.008816813448191407,-0.004607170757078505,3.66,100.0
2022-12-12,2022-12-13,2022-12-27,executed,1131,200,0.375,0.00075,-0.03192608127683272,-0.038687720144823357,0.006904742917717588,3.665,100.0
