factor,split_id,selected,selection_eligible,eligible,eligibility_reason,selection_reason,frozen_direction,fdr_bh_q_value
alpha360_CLOSE54,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_HIGH18,split_002,True,True,True,eligible,selected,1,0.007104007104007104
alpha360_HIGH36,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_HIGH54,split_002,True,True,True,eligible,selected,1,0.005847810725859507
alpha360_LOW18,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_LOW36,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_LOW54,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_OPEN18,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_OPEN36,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_OPEN54,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_VOLUME18,split_002,True,True,True,eligible,selected,1,0.013832321524629218
alpha360_VOLUME36,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_VOLUME54,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_VWAP18,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_VWAP36,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_VWAP54,split_002,True,True,True,eligible,selected,1,0.00420631999579368
amount_mean_20,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
corr_ret_volume_20,split_002,False,True,True,eligible,direction_mismatch,-1,0.00420631999579368
downside_std_20,split_002,False,True,True,eligible,direction_mismatch,-1,0.016587186398507155
kunquant_alpha101_alpha005,split_002,True,True,True,eligible,selected,1,0.01962949331370384
kunquant_alpha101_alpha012,split_002,True,True,True,eligible,selected,1,0.00420631999579368
kunquant_alpha101_alpha020,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
kunquant_alpha101_alpha029,split_002,True,True,True,eligible,selected,1,0.00420631999579368
kunquant_alpha101_alpha038,split_002,False,True,True,eligible,fdr_not_passed,1,0.23428626168352196
kunquant_alpha101_alpha046,split_002,False,True,True,eligible,fdr_not_passed,1,0.06296733569460843
kunquant_alpha101_alpha054,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.9140859140859141
kunquant_alpha101_alpha071,split_002,True,True,True,eligible,selected,-1,0.04440004440004441
kunquant_alpha101_alpha083,split_002,True,True,True,eligible,selected,1,0.00420631999579368
kunquant_alpha101_alpha095,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.7715361561515407
ret_10,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
ret_5,split_002,True,True,True,eligible,selected,-1,0.01141715427429713
rev_5,split_002,True,True,True,eligible,selected,1,0.01141715427429713
std_20,split_002,False,True,True,eligible,direction_mismatch,-1,0.00420631999579368
ta_momentum_ppo_hist,split_002,False,True,True,eligible,fdr_not_passed,-1,0.2104937316204922
ta_momentum_rsi,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
ta_momentum_tsi,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
ta_trend_adx_pos,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
ta_trend_ema_fast,split_002,True,True,True,eligible,selected,-1,0.030133800625603904
ta_trend_ichimoku_conv,split_002,True,True,True,eligible,selected,-1,0.027091552515281326
ta_trend_macd_diff,split_002,False,True,True,eligible,fdr_not_passed,-1,0.20550877693734834
ta_trend_psar_up_indicator,split_002,True,True,True,eligible,selected,-1,0.007104007104007104
ta_trend_vortex_ind_diff,split_002,True,True,True,eligible,selected,-1,0.005847810725859507
ta_volatility_bbl,split_002,False,True,True,eligible,fdr_not_passed,-1,0.07276305783768469
ta_volatility_dcm,split_002,True,True,True,eligible,selected,-1,0.03222583867745158
ta_volatility_kcli,split_002,True,True,True,eligible,selected,1,0.01962949331370384
ta_volume_em,split_002,True,True,True,eligible,selected,-1,0.012536483124718419
ta_volume_sma_em,split_002,True,True,True,eligible,selected,-1,0.007104007104007104
volume_ratio_5_20,split_002,True,True,True,eligible,selected,-1,0.0462037962037962
alpha158_BETA30,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_CNTD30,split_003,True,True,True,eligible,selected,-1,0.00666000666000666
alpha158_CNTN30,split_003,True,True,True,eligible,selected,1,0.049805267196571544
alpha158_CNTP5,split_003,True,True,True,eligible,selected,-1,0.003196803196803197
alpha158_CORD30,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_CORR30,split_003,True,True,True,eligible,selected,-1,0.012685726971441257
alpha158_IMAX60,split_003,True,True,True,eligible,selected,-1,0.00560842666105824
alpha158_IMXD10,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
