factor,window_count,eligible_window_count,selected_window_count,selection_frequency,direction_adjusted_positive_window_ratio,direction_agreement_ratio,median_train_ic,median_validation_ic,median_test_ic,worst_test_ic,median_oos_degradation,worst_oos_degradation,fdr_pass_frequency,coverage_min,coverage_median,stability_role,role_reason
alpha158_MA10,3,3,3,1.0,1.0,1.0,0.029183882480111587,0.058214045566636036,0.041651519650049165,0.020515136195370254,-0.030335287806013383,-0.03310157648795625,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.03310157648795625
alpha158_MAX20,3,3,0,0.0,0.6666666666666666,1.0,-0.009066801359831282,-0.0214876829112199,-0.014661990276214988,-0.027029998358659175,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=nan
alpha158_MIN20,3,3,3,1.0,1.0,1.0,0.07593267444237128,0.09603091759610238,0.047331259328424906,0.036173323545322204,-0.04869965826767748,-0.08018413708673541,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.08018413708673541
alpha158_OPEN0,3,3,3,1.0,1.0,1.0,0.013246660691474857,0.014248445509828392,0.01640763009483228,0.01103547252510131,-0.003212972984727081,-0.01431579945936607,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01431579945936607
alpha158_QTLD30,3,3,3,1.0,1.0,1.0,0.07706980998914109,0.1359949434967226,0.087114534010199,0.04239228635967942,-0.048880409486523585,-0.11569827410929093,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.11569827410929093
alpha158_QTLU5,3,3,0,0.0,0.6666666666666666,0.6666666666666666,0.0010190104754094495,0.0066470651306864675,0.003352539069698504,0.0029150294987126007,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=0.667;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=nan
alpha158_RANK60,3,3,2,0.6666666666666666,1.0,1.0,-0.0693550315070308,-0.05749640111928475,-0.07006327758778767,-0.09249841748454911,-0.030233218146528427,-0.09546845265832121,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.09546845265832121
alpha158_ROC10,3,3,3,1.0,1.0,1.0,0.04115291297708472,0.09664652482430407,0.06457572624016876,0.024526295882471287,-0.02136611653602946,-0.07212022894183279,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.07212022894183279
alpha158_RSQR10,3,3,0,0.0,0.6666666666666666,1.0,0.008370706366185617,0.020408748640771163,0.00882546886329682,-0.00647705761675524,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=nan
alpha158_RSV20,3,3,3,1.0,1.0,1.0,-0.03568764851763244,-0.0752259643913031,-0.047724694031442104,-0.07201727195208849,-0.018792141637331956,-0.07365984836957422,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.07365984836957422
alpha158_STD30,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.053358615450620525,-0.09455454936507762,-0.014649379479299845,-0.05827903270557362,-0.08316233931554927,-0.08641950874532076,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.08641950874532076
alpha158_SUMD30,3,3,3,1.0,1.0,1.0,-0.06917062681799326,-0.0626686727663184,-0.07627595911526676,-0.0881946633476568,0.025525990581338392,-0.09472903961746039,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.09472903961746039
alpha158_SUMN30,3,3,3,1.0,1.0,1.0,0.0691705974678905,0.06266866411372309,0.0762759703953017,0.029572970428265424,0.02552607302723725,-0.09472909216762557,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.09472909216762557
alpha158_SUMP30,3,3,3,1.0,1.0,1.0,-0.06917059733840383,-0.06266867413788496,-0.0762759962044786,-0.08819471151743298,0.02552603737954802,-0.09472910718018399,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.09472910718018399
alpha158_VMA30,3,3,2,0.6666666666666666,1.0,1.0,0.02288360121842775,0.04402114080436931,0.04814680860136393,0.027771934507864728,-0.010779574061442879,-0.02568481591988038,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.02568481591988038
alpha158_VSTD30,3,3,0,0.0,0.6666666666666666,1.0,0.009140264982214945,0.014594070647487925,0.014648996258796194,-0.0008339351027330128,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=nan
alpha158_VSUMD30,3,3,3,1.0,1.0,1.0,-0.03800183485107606,-0.054488515876838145,-0.062089453790399804,-0.06584648147817376,0.007600937913561659,-0.034058202277655096,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.034058202277655096
alpha158_VSUMN30,3,3,3,1.0,1.0,1.0,0.03800183191232594,0.054488524908668984,0.06208946190022357,0.035683657976354845,0.007600936991554584,-0.03405827194673331,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.03405827194673331
alpha158_VSUMP30,3,3,3,1.0,1.0,1.0,-0.038001851534663476,-0.05448852049599334,-0.06208944357100381,-0.06584647950559297,0.007600923075010466,-0.03405819043704641,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.03405819043704641
alpha158_WVMA30,3,3,0,0.0,0.6666666666666666,1.0,-0.005300803479455232,0.020596316612451926,-0.014319179653502856,-0.032770202455079514,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=nan
alpha360_CLOSE18,3,3,3,1.0,1.0,1.0,0.05983509177801116,0.12767167883932098,0.09775177376723672,0.029372149304449983,-0.029919905072084266,-0.11634230044574653,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.11634230044574653
alpha360_CLOSE36,3,3,3,1.0,1.0,1.0,0.07939327923168574,0.07032409248721676,0.10623082579014125,0.04793465229721479,0.03921820342098485,-0.11801018803393716,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.11801018803393716
alpha360_CLOSE54,3,3,2,0.6666666666666666,1.0,1.0,0.06773846208615449,0.06951611495047483,0.1074929926321882,0.04641536215676486,-0.027938970272979105,-0.09621620366202843,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.09621620366202843
alpha360_HIGH18,3,3,3,1.0,1.0,1.0,0.05284143849097538,0.11545711661913466,0.09774693846449065,0.026862570995348677,-0.016059656211056914,-0.10727028845605442,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.10727028845605442
alpha360_HIGH36,3,3,3,1.0,1.0,1.0,0.0737184803513993,0.07710427778684212,0.10604670135630366,0.04711066978847818,0.028942423569461542,-0.11054055321308089,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.11054055321308089
alpha360_HIGH54,3,3,2,0.6666666666666666,1.0,1.0,0.06375763573819582,0.07459445175421628,0.10478297828254265,0.046699772008250484,-0.028002784917388363,-0.0861940963631031,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.0861940963631031
alpha360_LOW18,3,3,3,1.0,1.0,1.0,0.0681793104398872,0.14328217810408805,0.09829777496545225,0.03368985022770373,-0.0449844031386358,-0.1225807113548684,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.1225807113548684
alpha360_LOW36,3,3,3,1.0,1.0,1.0,0.08507867957630012,0.06622678018189221,0.10389183266467347,0.050012445466635844,0.049808027858135054,-0.12586905995970288,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.12586905995970288
alpha360_LOW54,3,3,2,0.6666666666666666,1.0,1.0,0.07172631340710714,0.06580043255571111,0.10364443848724643,0.04591107554417936,-0.028026221167969968,-0.10453199250537146,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.10453199250537146
alpha360_OPEN18,3,3,3,1.0,1.0,1.0,0.0626079825037267,0.13203294620342956,0.098798117636063,0.0325509983172748,-0.033234828567366564,-0.11607295365238422,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.11607295365238422
alpha360_OPEN36,3,3,3,1.0,1.0,1.0,0.07984814888533562,0.06966538525707991,0.10704379322937428,0.04969305958567068,0.04296323843153127,-0.1193751666370027,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.1193751666370027
alpha360_OPEN54,3,3,2,0.6666666666666666,1.0,1.0,0.06777317813143485,0.07031607658812702,0.10668170581125803,0.04647976440202281,-0.028054998986151915,-0.09635167402298397,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.09635167402298397
alpha360_VOLUME18,3,3,3,1.0,1.0,1.0,0.02104957409851112,0.02750171862084975,0.05230148696018465,0.0302881849598736,0.024799768339334897,-0.027890405553679748,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.027890405553679748
alpha360_VOLUME36,3,3,3,1.0,1.0,1.0,0.04342193414473986,0.06779754074333909,0.057104657140826215,0.04053757545112347,-0.015071302872011472,-0.027259965292215617,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.027259965292215617
alpha360_VOLUME54,3,3,3,1.0,1.0,1.0,0.049870693587087914,0.07077658198219167,0.050786072776312384,0.049954106335356165,-0.020822475646835502,-0.02523591848526987,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.02523591848526987
alpha360_VWAP18,3,3,3,1.0,1.0,1.0,0.06054767185733567,0.1288485701858037,0.09965267898305359,0.029752877641673017,-0.02919589120275011,-0.1157422571308578,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.1157422571308578
alpha360_VWAP36,3,3,3,1.0,1.0,1.0,0.07924697785629232,0.07221611581732579,0.10763864026928313,0.0486095995796753,0.038751192123468725,-0.11822889682106717,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.11822889682106717
alpha360_VWAP54,3,3,2,0.6666666666666666,1.0,1.0,0.06764601009108276,0.07046862692145978,0.10871445129590489,0.0465018439829652,-0.02811864238112756,-0.09564408642822853,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.09564408642822853
amount_mean_20,3,3,3,1.0,1.0,1.0,-0.09646570634949135,-0.12130852655767276,-0.07851114398230225,-0.12386568860798566,0.0025571620503129083,-0.15036635610645957,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.15036635610645957
corr_ret_volume_20,3,3,2,0.6666666666666666,0.3333333333333333,1.0,-0.03861034537164764,-0.010335068983556121,0.006371464212327971,-0.006371184646721751,-0.006911867392526177,-0.009860130013824204,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.333;worst_oos_degradation=-0.009860130013824204
downside_std_20,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.06308372104489915,-0.10958878715456868,-0.04616314353298159,-0.06664301775631164,-0.06055171706511437,-0.06342564362158709,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.06342564362158709
kunquant_alpha101_alpha005,3,3,2,0.6666666666666666,0.6666666666666666,1.0,0.033345980010938386,0.053222741030961494,0.027525331968692588,-0.009929347215723078,-0.0721470967774035,-0.10100079973956858,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.10100079973956858
kunquant_alpha101_alpha012,3,3,3,1.0,1.0,1.0,0.02381350123954378,0.04940807545000761,0.025159647495151673,0.01914137077849866,-0.03026670467150895,-0.03192700790682296,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.03192700790682296
kunquant_alpha101_alpha020,3,3,3,1.0,1.0,1.0,-0.02525786573871018,-0.026668980488572358,-0.02552408486183056,-0.03102028934541191,-0.0011448956267417973,-0.03095486199919267,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.03095486199919267
kunquant_alpha101_alpha029,3,3,3,1.0,1.0,1.0,0.014517263401703945,0.039283464571508594,0.013540250717548311,0.009441763189243387,-0.008603847217454927,-0.025743213853960285,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.025743213853960285
kunquant_alpha101_alpha038,3,3,0,0.0,1.0,1.0,0.00812351542549091,0.03688772524881058,0.010785946898182385,0.007127664908676176,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=nan
kunquant_alpha101_alpha046,3,3,1,0.3333333333333333,1.0,1.0,0.009395005617441568,0.04021542598095474,0.017056418234733903,0.006787062741472697,-0.015720216376116557,-0.015720216376116557,0.3333333333333333,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.015720216376116557
kunquant_alpha101_alpha054,3,3,0,0.0,0.6666666666666666,0.6666666666666666,-0.0010453362918561374,0.007477527868687933,0.007963682298821348,-0.011442352276456852,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=0.667;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=nan
kunquant_alpha101_alpha071,3,3,1,0.3333333333333333,0.6666666666666666,1.0,-0.015437932439500672,-0.04658405675818206,-0.006530079366981369,-0.05780637489099252,-0.04439074910472514,-0.04439074910472514,0.6666666666666666,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.04439074910472514
kunquant_alpha101_alpha083,3,3,3,1.0,1.0,1.0,0.07414643378718166,0.059589631267519545,0.03508764491451824,0.009973739461726066,0.01524078703657833,-0.12694036344264584,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.12694036344264584
kunquant_alpha101_alpha095,3,3,0,0.0,0.6666666666666666,1.0,-0.0004344203452612764,0.010740784684801113,-0.0037113799694028825,-0.004030773991290735,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=nan
ret_10,3,3,3,1.0,1.0,1.0,-0.04115290537859752,-0.09664652054942187,-0.06457571757610771,-0.07969553514736973,-0.02136628159934828,-0.0721202171723308,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.0721202171723308
ret_5,3,3,3,1.0,1.0,1.0,-0.02299701146860721,-0.04859264368869799,-0.032307734743864815,-0.07341315189299503,-0.014071203728923846,-0.038752007691592656,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.038752007691592656
rev_5,3,3,3,1.0,1.0,1.0,0.02299701146860721,0.04859264368869799,0.032307734743864815,0.02303105525979623,-0.014071203728923846,-0.038752007691592656,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.038752007691592656
std_20,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.0939573627961373,-0.13767570063973375,-0.053443466872069065,-0.08250205960308361,-0.09283410051603357,-0.10061938208868891,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.10061938208868891
ta_momentum_ppo_hist,3,3,0,0.0,1.0,1.0,-0.014871620917411376,-0.044932023380639854,-0.027935042389220097,-0.03978844682387714,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=nan
ta_momentum_rsi,3,3,3,1.0,1.0,1.0,-0.05946813440511895,-0.0728080654024239,-0.08092077843273547,-0.08312197379051572,0.008112713030311566,-0.0909089678543849,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.0909089678543849
ta_momentum_tsi,3,3,3,1.0,1.0,1.0,-0.0708654009011893,-0.05641101695960224,-0.07668407072089291,-0.10338203942756226,0.04697102246796002,-0.12013210434450623,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.12013210434450623
ta_trend_adx_pos,3,3,3,1.0,1.0,1.0,-0.06483636422574234,-0.09194171617634617,-0.04715022452643833,-0.08300990260235903,-0.04479149164990784,-0.0686014012414329,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.0686014012414329
ta_trend_ema_fast,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.030846147649502147,-0.04895887219462613,-0.024535608888716,-0.08434174769834951,-0.06914750038814567,-0.10078582774155731,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.10078582774155731
ta_trend_ichimoku_conv,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.03208985387386722,-0.05164352805048657,-0.026497099424442387,-0.08516356380893851,-0.0702546686489312,-0.09920981717089578,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.09920981717089578
ta_trend_macd_diff,3,3,0,0.0,1.0,1.0,-0.011916285181505394,-0.04786510600039546,-0.023498730931635344,-0.042703325783291904,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=nan
ta_trend_psar_up_indicator,3,3,2,0.6666666666666666,1.0,1.0,-0.004015861381277549,-0.010674338009597729,-0.005213336934628892,-0.015810506416961353,-0.002399701175981095,-0.009935570759325814,1.0,0.974025974025974,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.009935570759325814
ta_trend_vortex_ind_diff,3,3,3,1.0,1.0,1.0,-0.04254035099606645,-0.088561044685809,-0.059171236922205654,-0.07194359095804669,-0.02567100398159705,-0.07742442430970055,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.07742442430970055
ta_volatility_bbl,3,3,1,0.3333333333333333,0.6666666666666666,1.0,-0.025097917512091752,-0.03739586298608592,-0.015814376262230454,-0.07811973515106371,-0.020804462670670744,-0.020804462670670744,0.6666666666666666,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.020804462670670744
ta_volatility_dcm,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.029963057184224786,-0.04797116217046503,-0.023811260476713343,-0.08152657706001756,-0.06824244613469337,-0.0993176570176659,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.0993176570176659
ta_volatility_kcli,3,3,3,1.0,1.0,1.0,0.01952151921098448,0.028851173364615564,0.010134121526435039,0.009609883525774464,-0.019241289838841102,-0.04387605242596762,1.0,0.948051948051948,0.995049504950495,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.04387605242596762
ta_volume_em,3,3,2,0.6666666666666666,1.0,1.0,-0.01051883696466061,-0.02259651276055002,-0.009325720304555071,-0.023806084991896775,-0.008000420192028007,-0.017210412615402768,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.017210412615402768
